# Please keep tags sorted alphabetically when you add/remove country tags #

### Special "Countries"... ###

	#CIV		= "countries/Civilized nation.txt"
	REB		= "countries/rebels.txt"
	#UCV		= "countries/Uncivilized nation.txt"
	UTI		= "countries/Utility Tag.txt"
	U01		= "countries/Assimilation Manager.txt"
	U02		= "countries/Statehood Manager.txt"

### Apocalypse 1836 ###
	
	ZOM 	= "countries/Zombie Wasteland.txt"
	WAS		= "countries/Wasteland.txt"

### Fantasy Formables  ###
	ANC		= "countries/Andean Confederation.txt"

### Europe ###

	## Balkans ##
		ALB		= "countries/Albania.txt"
		ATH		= "countries/Athos.txt"
		BAN		= "countries/Banat.txt"
		BOS		= "countries/Bosnia-Herzegovina.txt"
		BUL		= "countries/Bulgaria.txt"
		BYZ		= "countries/Byzantium.txt"
		CRE		= "countries/Crete.txt"
		CRO		= "countries/Croatia.txt"
		DLM		= "countries/Dalmatia.txt"
		FIU		= "countries/Fiume.txt"
		GRE		= "countries/Greece.txt"
		ION		= "countries/Ionian Islands.txt"
		MCD		= "countries/Macedonia.txt"
		MON		= "countries/Montenegro.txt"
		RUM		= "countries/Eastern Rumelia.txt"
		SER		= "countries/Serbia.txt"
		SLO		= "countries/Slovenia.txt"
		TUR		= "countries/Ottoman Empire.txt"
		URP		= "countries/United Principalities.txt"
		VOJ		= "countries/Vojvodina.txt"
		YUG		= "countries/Yugoslavia.txt"

	## British Isles ##
		ENG		= "countries/United Kingdom.txt"
		ENL		= "countries/England.txt"
		IRE		= "countries/Ireland.txt"
		SCO		= "countries/Scotland.txt"
		WHA		= "countries/Wales.txt"

	## Caucasus ##
		ABK		= "countries/Abkhazia.txt"
		ARM		= "countries/Armenia.txt"
		AZB		= "countries/Azerbaijan.txt"
		CHY		= "countries/Chechnya.txt"
		CIR		= "countries/Circassia.txt"
		DAG		= "countries/Dagestan.txt"
		GEO		= "countries/Georgia.txt"
		KMK		= "countries/Kalmykia.txt"
		MIG		= "countries/Mingrelia.txt"
		SVA		= "countries/Svaneti.txt"
		TCA		= "countries/Transcaucasia.txt"
		

	## Eastern Europe ##
		AKH		= "countries/Astrakhan.txt"
		BKV		= "countries/Bukovina.txt"
		BOH		= "countries/Bohemia-Moravia.txt"
		BYE		= "countries/Belarus.txt"
		CPL		= "countries/Congress Poland.txt"
		CRI		= "countries/Crimea.txt"
