CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
AAA_anarcho_liberal_1;Free Trade Party;;;;;;;;;;;;;x
AAA_anarcho_liberal_2;Radicals;;;;;;;;;;;;;x
AAA_communist_1;Workers’ Party;;;;;;;;;;;;;x
AAA_communist_2;Internationalists;;;;;;;;;;;;;x
AAA_conservative_1;Loyalists;;;;;;;;;;;;;x
AAA_conservative_2;Centrists;;;;;;;;;;;;;x
AAA_conservative_3;Monarchists;;;;;;;;;;;;;x
AAA_conservative_4;Moderates;;;;;;;;;;;;;x
AAA_conservative_5;National Democratic Party;;;;;;;;;;;;;x
AAA_fascist_1;Patriotic Front;;;;;;;;;;;;;x
AAA_fascist_2;Phalanxists;;;;;;;;;;;;;x
AAA_liberal_1;Republican Party;;;;;;;;;;;;;x
AAA_liberal_2;Parliamentarists;;;;;;;;;;;;;x
AAA_liberal_3;Reformists;;;;;;;;;;;;;x
AAA_liberal_4;Liberal Democrats;;;;;;;;;;;;;x
AAA_liberal_5;National Liberal Party;;;;;;;;;;;;;x
AAA_reactionary_1;Traditionalists;;;;;;;;;;;;;x
AAA_reactionary_2;Restorationists;;;;;;;;;;;;;x
AAA_socialist_1;National Socialists;;;;;;;;;;;;;x
AAA_socialist_2;Labour Party;;;;;;;;;;;;;x
AAA_socialist_3;People’s Party;;;;;;;;;;;;;x
AAA_socialist_4;Social Democrats;;;;;;;;;;;;;x
AAA_socialist_5;Progressivists;;;;;;;;;;;;;x
ABK_anarcho_liberal;Radical Faction;;;;;;;;;;;;;x
ABK_communist;People’s Party of Abkhazia;;;;;;;;;;;;;x
ABK_conservative;Conservative Faction;;;;;;;;;;;;;x
ABK_fascist;United Abkhazia Party;;;;;;;;;;;;;x
ABK_liberal;Reformist Faction;;;;;;;;;;;;;x
ABK_reactionary;Traditionalists;;;;;;;;;;;;;x
ABK_socialist;Socialist Party;;;;;;;;;;;;;x
ABU_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;x
ABU_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;x
ABU_conservative;Sheikhs Council;Conseil des Sheikhs;Scheichrat;;;;;;;;;;;x
