CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
cancel_internment_camps_desc;Too much international attention has been drawn to $CAPITAL$ due to Directive No. 1. The $COUNTRY_ADJ$ government decided that it’s time to dismantle the apparatus that facilitated the Directive, in order to cast aside any international doubt over the integrity of the $COUNTRY_ADJ$ government. After this, rebuilding such infrastructure back could take a while.;;;;;;;;;;;;;x
cancel_internment_camps_title;Revoke Directive No. 1;;;;;;;;;;;;;x
internment_camps_desc;Directives for the prosecution of offences committed against the $COUNTRY_ADJ$ State\n\nWithin our nation’s territories, elements hostile to $COUNTRY$ have increased their efforts against the $COUNTRY_ADJ$ State. The amount and the danger of these machinations oblige us to take severe measures as a determent. First of all, the following directives are to be applied:\nI. Within the occupied territories, the adequate punishment for offences committed against the $COUNTRY_ADJ$ State or the occupying power which endanger their security or a state of readiness is on principle the death penalty.\nII. The offences listed in paragraph I as a rule are to be dealt with in the occupied countries only if it is probable that sentence of death will be passed upon the offender, at least the principal offender, and if the trial and the execution can be completed in a very short time.\nIII. Prisoners are subjected to military procedure only if particular military interests require this. In case $COUNTRY_ADJ$ or foreign authorities inquire about such prisoners, they are to be told that they were arrested, but that the proceedings do not allow any further information.\nIV. Commanders and the Court authorities within the framework of their jurisdiction, are personally responsible for the observance of this decree.\nV. The Chief of the High Command of the Armed Forces determines in which occupied territories this decree is to be applied. He is authorized to explain and to issue executive orders and supplements. The $COUNTRY_ADJ$ Minister of Justice will issue executive orders within his own jurisdiction.;;;;;;;;;;;;;x
internment_camps_title;Directive No. 1;;;;;;;;;;;;;x
internment_camps_decisions_close_desc;Unclutter your decision view.;;;;;;;;;;;;;x
internment_camps_decisions_close_title;Hide Internment decisions;;;;;;;;;;;;;x
internment_camps_decisions_open_desc;Display all the possible internment decisions available.;;;;;;;;;;;;;x
internment_camps_decisions_open_title;Show Internment decisions;;;;;;;;;;;;;x
internment_camps_intern_religions_desc;Display all the possible internment decisions available.;;;;;;;;;;;;;x
internment_camps_intern_religions_title;Show Internment Religion decisions;;;;;;;;;;;;;x
internment_camps_intern_cultures_desc;Display all the possible internment decisions available.;;;;;;;;;;;;;x
internment_camps_intern_cultures_title;Show Internment Culture decisions;;;;;;;;;;;;;x
intern_african_diaspora_cultures_desc;§W‘The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the people from the §YAfrican Diaspora—that is, the Afro-American, Afro-Caribbean, Afro-Latinos, Afro-Brazilians, Afro-Antillean and Kreol§W—from the rest of the population. In the execution of this, first of all, is the seizing of the African population by the introduction of a registration order and similar appropriate measures. All rights of freedom for Africans are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own African self-government with African officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police’.\n\n§YAdds 3 points to the ‘slowdown’ scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;x
intern_african_diaspora_cultures_title;Article 3: African Diaspora Internment;;;;;;;;;;;;;x
intern_american_cultures_desc;§W‘The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the §YAmericans—that is, the Yankees, Dixies and Texans §W—from the rest of the population. In the execution of this, first of all, is the seizing of the American population by the introduction of a registration order and similar appropriate measures. All rights of freedom for the Americans are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own American self-government with American officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police’.\n\n§YAdds 4 points to the ‘slowdown’ scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;x
intern_american_cultures_title;Article 3: American Internment;;;;;;;;;;;;;x
intern_animist_desc;The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the Animists from the rest of the population. In the execution of this, first of all, is the seizing of the Animist population by the introduction of a registration order and similar appropriate measures. All rights of freedom for the Animists are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own Animist self-government with Animist officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police.\n\n§YAdds 4 points to the ‘slowdown’ scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;x
intern_animist_title;Article 3: Animist Internment Camps;;;;;;;;;;;;;x
intern_arab_desc;§W ‘The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the §YArabs—that is, the Maghrebi, Misri, Mashriqi, Bedouins, Berbers, Maures and Sudanese §W—from the rest of the population. In the execution of this, first of all, is the seizing of the Arab population by the introduction of a registration order and similar appropriate measures. All rights of freedom for Arabs are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own Arab self-government with Arab officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police’.\n\n§YAdds 3 points to the ‘slowdown’ scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;x
intern_arab_title;Article 3: Arab Internment;;;;;;;;;;;;;x
intern_baltic_desc;§W ‘The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the people from §YBaltics—that is, the Lithuanians, Latvians, and Estonians §W—from the rest of the population. In the execution of this, first of all, is the seizing of the Baltic population by the introduction of a registration order and similar appropriate measures. All rights of freedom for Baltics are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own Baltic self-government with Baltic officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police’.\n\n§YAdds 2 points to the ‘slowdown’ scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;x
intern_baltic_title;Article 3: Baltic Internment;;;;;;;;;;;;;x
intern_bektashi_desc;The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the Alevis from the rest of the population. In the execution of this, first of all, is the seizing of the Alevi population by the introduction of a registration order and similar appropriate measures. All rights of freedom for Alevis are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own Alevi self-government with Alevi officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police.\n\n§YAdds 2 points to the ‘slowdown’ scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;x
intern_bektashi_title;Article 3: Bektashi Internment Camps;;;;;;;;;;;;;x
intern_beneluxian_desc;§W ‘The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the people from the §YBenelux region—that is, the Dutch, Flemish, and Walloons §W—from the rest of the population. In the execution of this, first of all, is the seizing of the Benelux population by the introduction of a registration order and similar appropriate measures. All rights of freedom for the Benelux are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own Benelux self-government with Benelux officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police’.\n\n§YAdds 2 points to the ‘slowdown’ scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;x
intern_beneluxian_title;Article 3: Beneluxian Internment;;;;;;;;;;;;;x
intern_british_desc;§W ‘The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the people from the §YBritish Islands—that is, the British, Irish, and Scottish §W—from the rest of the population. In the execution of this, first of all, is the seizing of the British population by the introduction of a registration order and similar appropriate measures. All rights of freedom for the British are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own British self-government with British officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police’.\n\n§YAdds 4 points to the ‘slowdown’ scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;x
intern_british_title;Article 3: British Internment;;;;;;;;;;;;;x
intern_catholic_desc;The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the Catholics from the rest of the population. In the execution of this, first of all, is the seizing of the Catholic population by the introduction of a registration order and similar appropriate measures. All rights of freedom for Catholics are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own Catholic self-government with Catholic officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police.\n\n§YAdds 6 points to the ‘slowdown’ scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;x
intern_catholic_title;Article 3: Catholic Internment Camps;;;;;;;;;;;;;x
intern_caucasian_desc;§W ‘The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the people from the §YCaucasus—that is, the Dagestani, Chechens, and Circassians §W—from the rest of the population. In the execution of this, first of all, is the seizing of the Caucasus population by the introduction of a registration order and similar appropriate measures. All rights of freedom for the Caucasus peoples are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own Caucasus self-government with officials from the Caucasus. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police’.\n\n§YAdds 2 points to the ‘slowdown’ scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;x
intern_caucasian_title;Article 3: Caucasus Internment;;;;;;;;;;;;;x
intern_central_african_desc;§W’The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the people from §YCentral Africa—that is, the Bakongo, Baguirmi, Fang, Kanuri, Bakuba, Luba, Lunda, Lendu, Kingwana, Chokwe, Kavango-Kimbundu, Mongo, Sara-Baguirmi, Toubou, Ubangi, Northwest Bantu and Central Bantu §W—from the rest of the population. In the execution of this, first of all, is the seizing of the African population by the introduction of a registration order and similar appropriate measures. All rights of freedom for Africans are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own African self-government with African officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police’.\n\n§YAdds 3 points to the ‘slowdown’ scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;x
intern_central_african_title;Article 3: Central African Internment;;;;;;;;;;;;;x
intern_central_asian_desc;§W ‘The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the people from §YCentral Asia—that is, the Mongols, Siberians, Yakut, Tibetans and Nepali §W—from the rest of the population. In the execution of this, first of all, is the seizing of the Asian population by the introduction of a registration order and similar appropriate measures. All rights of freedom for Asians are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own Asian self-government with Asian officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police’.\n\n§YAdds 2 points to the ‘slowdown’ scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;x
intern_central_asian_title;Article 3: Central Asian Internment;;;;;;;;;;;;;x
intern_coptic_desc;The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the Oriental Orthodox Christians from the rest of the population. In the execution of this, first of all, is the seizing of the Oriental Orthodox population by the introduction of a registration order and similar appropriate measures. All rights of freedom for Oriental Orthodox Christians are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own Oriental Orthodox self-government with Oriental Orthodox officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police.\n\n§YAdds 3 points to the ‘slowdown’ scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;x
intern_coptic_title;Article 3: Internment Camps for the Oriental Orthodox;;;;;;;;;;;;;x
intern_czecho_slovak_culture_group_desc;§W ‘The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the §YCzech-Slovak population§W from the rest of the population. In the execution of this, first of all, is the seizing of the Czech-Slovak population by the introduction of a registration order and similar appropriate measures. All rights of freedom for the Czech-Slovak peoples are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own Czech-Slovak self-government with Czech-Slovak officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police’.\n\n§YAdds 2 points to the ‘slowdown’ scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;x
intern_czecho_slovak_culture_group_title;Article 3: Czech-Slovak Internment;;;;;;;;;;;;;x
intern_druze_desc;The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the Druze from the rest of the population. In the execution of this, first of all, is the seizing of the Druze population by the introduction of a registration order and similar appropriate measures. All rights of freedom for the Druze are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own Druze self-government with Druze officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police.\n\n§YAdds 1 point to the ‘slowdown’ scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;x
intern_druze_title;Article 3: Druze Internment Camps;;;;;;;;;;;;;x
intern_east_african_desc;§W’The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the people from §YEast Africa—that is, the Amhara, Afar, Azande, Baganda, Beja, Dinka, Fur, Harari, Kefficho, Kikuyu–Kamba, Luo, Kalenjin-Maasai, Nuer, Nuba, Oromo, Banyarwanda, Somali, Sukuma, Swahili, Tigray, Unyamwezi, Kilombero, Northeast Bantu, Cushitic and Nilotic §W—from the rest of the population. In the execution of this, first of all, is the seizing of the African population by the introduction of a registration order and similar appropriate measures. All rights of freedom for Africans are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own African self-government with African officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police’.\n\n§YAdds 3 points to the ‘slowdown’ scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;x
intern_east_african_title;Article 3: East African Internment;;;;;;;;;;;;;x
intern_east_asian_desc;§W ‘The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the people from §YEast Asia—that is, the Manchu, Beifaren, Nanfaren, Hakka, Miao, Min, Zhuang, Yi and Yue §W—from the rest of the population. In the execution of this, first of all, is the seizing of the Asian population by the introduction of a registration order and similar appropriate measures. All rights of freedom for Asians are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own Asian self-government with Asian officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police’.\n\n§YAdds 8 points to the ‘slowdown’ scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;x
intern_east_asian_title;Article 3: East Asian Internment;;;;;;;;;;;;;x
