CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
organize_algeria_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule—dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x
organize_algeria_title;Organize Algeria;;;;;;;;;;;;;x
organize_angola_desc;Angola is becoming a true $COUNTRY_ADJ$ colony. We must create the proper colonial structures, so that it stands on par with our mainland provinces.;;;;;;;;;;;;;x
organize_angola_title;Organize the Angolan Colony;;;;;;;;;;;;;x
organize_botswana_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule—dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x
organize_botswana_title;Organize Bechuanaland;;;;;;;;;;;;;x
organize_burkina_faso_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule—dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x
organize_burkina_faso_title;Organize Upper Volta;;;;;;;;;;;;;x
organize_cameroon_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule—dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x
organize_cameroon_title;Organize Cameroon;;;;;;;;;;;;;x
organize_CAR_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule—dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x
organize_CAR_title;Organize Ubangi-Chari;;;;;;;;;;;;;x
organize_chad_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule—dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x
organize_chad_title;Organize Chad;;;;;;;;;;;;;x
organize_congo_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule—dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x
organize_congo_title;Organize Congo;;;;;;;;;;;;;x
organize_dahomey_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule—dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x
organize_dahomey_title;Organize Dahomey;;;;;;;;;;;;;x
organize_gabon_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule—dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x
organize_gabon_title;Organize Gabon;;;;;;;;;;;;;x
organize_gambia_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule—dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x
