CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
option_disable_anarcho_liberals_desc;This tweak will stop anarcho-liberal ideology from spawning. It may help performance a bit. Some people think they are too unrealistic for them, so they might want to disable it. I didn’t test any balance issues that might arise without them in the game though.;;;;;;;;;;;;;x
option_disable_anarcho_liberals_title;Option: Disable Anarcho-Liberal Ideology;;;;;;;;;;;;;x
option_disable_bankruptcy_events_desc;Disabling the Bankruptcy events will stop you from getting the CB and effects that happen when a country goes bankrupt on you. It won’t stop the event for the AI nor will it stop countries going bankrupt.;;;;;;;;;;;;;x
option_disable_bankruptcy_events_title;Option: Disable Bankruptcy Events;;;;;;;;;;;;;x
option_disable_colonial_railroading_desc;Within TGC are a number of flavour events and decisions which help both the AI and the player to follow a historical colonisation path in Africa and Asia. You may prefer to play without these leading to more unpredictable colonisation.;;;;;;;;;;;;;x
option_disable_colonial_railroading_title;Option: Disable Colonial Railroading;;;;;;;;;;;;;x
option_disable_commiemod_desc;The Commie Mod content is a bit volatile and buggy at the moment so if that's not your thing until it's tuned down you can disable it via this decision.;;;;;;;;;;;;;x
option_disable_commiemod_title;Option: Disable Commie Mod;;;;;;;;;;;;;x
option_disable_extra_flavour_desc;TGC has intergrated many ahistorical and fantasy submods allowing players to take their nation down plausible alternative paths. You may prefer to play without these. (The AI will never take major ahistorical options regardless of this decision);;;;;;;;;;;;;x
option_disable_extra_flavour_title;Option: Disable Extra Flavour;;;;;;;;;;;;;x
option_disable_hpm_crisis_desc;In TGC, crises only start after 1870, when Revolution and Counter-revolution is researched and an event fires. This is to stop stuff like independent Ireland in 1840 because of the militancy that the famine generates, among other weird crises. Selecting this option will remove these restrictions and allow crises to happen from the start of the game, like it happens in vanilla Victoria 2.;;;;;;;;;;;;;x
option_disable_hpm_crisis_title;Option: Enable Crisis From The Start;;;;;;;;;;;;;x
option_disable_microstates_desc;Activate this if you do not want the microstates of Andorra, Liechtenstein, Monaco, San Marino, Couto Misto, Mt. Athos,and Neutral Moresnet in the game.  It removes their cores and annexes them to the nearest country.;;;;;;;;;;;;;x
option_disable_microstates_title;Option: Disable Microstates;;;;;;;;;;;;;x
option_disable_options_desc;This will hide all optional tweaks to vanilla TGC. You still have until 1837 to change your mind though.;;;;;;;;;;;;;x
option_disable_options_title;Hide ‘Options’ Decisions;;;;;;;;;;;;;x
option_disable_starting_party_loyalty_desc;This option will remove all starting party loyalty.;;;;;;;;;;;;;x
option_disable_starting_party_loyalty_title;Option: Remove Starting Party Loyalty;;;;;;;;;;;;;x
option_disable_uk_isolation_desc;Historically the UK did not ally major european powers, and so in TGC the UK is forced to break alliances with any Great Powers who aren't Portugal, Belgium, Japan or the Ottomans. You may wish to turn this off.;;;;;;;;;;;;;x
option_disable_uk_isolation_title;Option: Disable Splendid Isolation For The UK;;;;;;;;;;;;;x
option_disable_leader_events_desc;Disable events for political leader modifiers.;;;;;;;;;;;;;x
option_disable_leader_events_title;Option: Disable Leader Events;;;;;;;;;;;;;x
option_disable_workplace_events_desc;A few province events related to the workplace, such as ‘The Old Man and the Sea’, ‘All the Tea in PROVINCENAME’ and ‘Blood and Iron Mine’ can get quite spammy. I increased the MTTH and tried to balance it out, adding more requirements, but if you still find it spammy, you can use this option to completely disable them. Keep in mind that I didn’t test balance with these events disabled or anything like this, and this might help improve performance a little bit. A few events that only trigger because you have no or low workplace safety standards are still in though. Pass workplace reforms if you want to get rid of them.;;;;;;;;;;;;;x
option_disable_workplace_events_title;Option: Disable Workplace Events;;;;;;;;;;;;;x
option_enable_lucky_nations_desc;Sometimes in this world, nations seem to be blessed by God in certain periods. Their leaders are brilliant, their people are hardy, they excel in warfare, produce amazing works of culture, and their economies boom. Do we live in such a world? If Lucky Nations are enabled ten random (non-great power) civilized nations and five random uncivilized nations will be given special powerful bonuses that will enable them to shake up the status quo.;;;;;;;;;;;;;x
option_enable_lucky_nations_title;Option: Enable Lucky Nations;;;;;;;;;;;;;x
option_enable_options_desc;This decision shows all optional decisions to tweak and change the game’s behaviour from vanilla TGC. This, along with all decisions it enables, will disappear January 1st 1837 to reduce clutter, so you have a year in-game to pick and choose what you want. Once a tweak is chosen, you can’t disable it anymore, so if you mis-click you need to edit your save or start a new game.;;;;;;;;;;;;;x
option_enable_options_title;Show ‘Options’ Decisions;;;;;;;;;;;;;x
option_enable_overrides_desc;This decision allows players to access override decisions which give them greater control of their country's borders and conscription by bypassing some vanilla mechanics.;;;;;;;;;;;;;x
option_enable_overrides_title;Option: Enable Override Decisions;;;;;;;;;;;;;x
option_enable_spectator_mode_desc;Disable ‘Winds of Westernization’ events for spectator games as an uncivilized nation.;;;;;;;;;;;;;x
option_enable_spectator_mode_title;Option: Set Up Game In Spectator Mode;;;;;;;;;;;;;x
option_enable_usa_gtfo_africa_desc;With this option, AI USA will get events to reduce its influence in Africa, as historically the USA was not interested in Africa beyond Liberia. This will not affect a player USA.;;;;;;;;;;;;;x
option_enable_usa_gtfo_africa_title;Option: USA influence in Africa;;;;;;;;;;;;;x
override_activate_immigration_desc;Building province selectors will force people to move out of the province towards provinces with an immigrator. administration spending below 100% means that they will move towards a state with an immigrator, with 100% spending, they will move towards a colony. The same is for education spending, 100% means accepted pops only and below 100% is non-accepted pops only.;;;;;;;;;;;;;x
override_activate_immigration_title;Activate Direct Immigration;;;;;;;;;;;;;x
override_change_border_policy_desc;Our immigration laws and our policies towards the borders of our country are ours and ours alone to decide, and we think it might be time to revise a few rules.;;;;;;;;;;;;;x
override_change_border_policy_title;Change our Border Policy;;;;;;;;;;;;;x
