CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
global_population_reduction1_desc;Reduce all pops globally by 10%;;;;;;;;;;;;;x
global_population_reduction1_title;Global Pop Reduction: 10%;;;;;;;;;;;;;x
global_population_reduction2_desc;Reduce all pops globally by 20%;;;;;;;;;;;;;x
global_population_reduction2_title;Global Pop Reduction: 20%;;;;;;;;;;;;;x
global_population_reduction3_desc;Reduce all pops globally by 30%;;;;;;;;;;;;;x
global_population_reduction3_title;Global Pop Reduction: 30%;;;;;;;;;;;;;x
global_population_reduction4_desc;Reduce all pops globally by 40%;;;;;;;;;;;;;x
global_population_reduction4_title;Global Pop Reduction: 40%;;;;;;;;;;;;;x
global_population_reduction5_desc;Reduce all pops globally by 50%;;;;;;;;;;;;;x
global_population_reduction5_title;Global Pop Reduction: 50%;;;;;;;;;;;;;x
global_population_reduction6_desc;Reduce all pops globally by 60%;;;;;;;;;;;;;x
global_population_reduction6_title;Global Pop Reduction: 60%;;;;;;;;;;;;;x
global_population_reduction7_desc;Reduce all pops globally by 70%;;;;;;;;;;;;;x
global_population_reduction7_title;Global Pop Reduction: 70%;;;;;;;;;;;;;x
global_population_reduction8_desc;Reduce all pops globally by 80%;;;;;;;;;;;;;x
global_population_reduction8_title;Global Pop Reduction: 80%;;;;;;;;;;;;;x
global_population_reduction9_desc;Reduce all pops globally by 90%;;;;;;;;;;;;;x
global_population_reduction9_title;Global Pop Reduction: 90%;;;;;;;;;;;;;x
