CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
rename_RUS_349_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_349_title;Rename Estonia!;;;;;;;;;;;;;x
rename_RUS_351_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_351_title;Rename North Livonia!;;;;;;;;;;;;;x
rename_RUS_354_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_354_title;Rename South Livonia!;;;;;;;;;;;;;x
rename_RUS_356_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_356_title;Rename Vitebsk!;;;;;;;;;;;;;x
rename_RUS_1005_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_1005_title;Rename Pskov!;;;;;;;;;;;;;x
rename_RUS_357_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_357_title;Rename Courland!;;;;;;;;;;;;;x
rename_RUS_360_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_360_title;Rename Vilnius!;;;;;;;;;;;;;x
rename_RUS_361_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_361_title;Rename Lithuania!;;;;;;;;;;;;;x
rename_RUS_984_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_984_title;Rename Karelia!;;;;;;;;;;;;;x
rename_RUS_336_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_336_title;Rename Ostrobothnia!;;;;;;;;;;;;;x
rename_RUS_339_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_339_title;Rename Eastern Finland!;;;;;;;;;;;;;x
rename_RUS_343_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_343_title;Rename Western Finland!;;;;;;;;;;;;;x
rename_RUS_994_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_994_title;Rename Ingria!;;;;;;;;;;;;;x
rename_AUS_662_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_AUS_662_title;Rename East Galicia!;;;;;;;;;;;;;x
rename_AUS_702_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_AUS_702_title;Rename West Galicia!;;;;;;;;;;;;;x
rename_RUS_706_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_706_title;Rename Masovia!;;;;;;;;;;;;;x
rename_RUS_708_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_708_title;Rename Plotsk!;;;;;;;;;;;;;x
rename_RUS_715_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_715_title;Rename Lesser Poland!;;;;;;;;;;;;;x
rename_RUS_718_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_718_title;Rename Minsk!;;;;;;;;;;;;;x
rename_RUS_940_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_940_title;Rename Brest!;;;;;;;;;;;;;x
rename_RUS_947_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_947_title;Rename Mogilev!;;;;;;;;;;;;;x
rename_RUS_954_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_954_title;Rename Podolia!;;;;;;;;;;;;;x
rename_RUS_958_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_958_title;Rename Kiev!;;;;;;;;;;;;;x
rename_RUS_959_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_959_title;Rename Volyn!;;;;;;;;;;;;;x
rename_RUS_968_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_968_title;Rename Kherson!;;;;;;;;;;;;;x
rename_RUS_978_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_978_title;Rename Kharkov!;;;;;;;;;;;;;x
rename_RUS_973_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_973_title;Rename Tavrida!;;;;;;;;;;;;;x
rename_RUS_964_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_964_title;Rename Crimea!;;;;;;;;;;;;;x
rename_RUS_974_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_974_title;Rename Ekaterinoslav!;;;;;;;;;;;;;x
rename_RUS_962_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_962_title;Rename Chernigov!;;;;;;;;;;;;;x
rename_RUS_977_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_977_title;Rename Kursk!;;;;;;;;;;;;;x
rename_RUS_979_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_979_title;Rename the Don Cossack Oblast!;;;;;;;;;;;;;x
rename_RUS_980_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_980_title;Rename Voronezh!;;;;;;;;;;;;;x
rename_RUS_1048_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_RUS_1048_title;Rename Kuban!;;;;;;;;;;;;;x
rename_2776_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_2776_title;Rename the Sea of Azov!;;;;;;;;;;;;;x
rename_MOL_676_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_MOL_676_title;Rename Bessarabia!;;;;;;;;;;;;;x
rename_AUS_663_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_AUS_663_title;Rename Bukovina!;;;;;;;;;;;;;x
rename_MOL_673_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_MOL_673_title;Rename Moldova!;;;;;;;;;;;;;x
rename_WAL_665_desc;Another batch of maps has been made obsolete.;;;;;;;;;;;;;x
rename_WAL_665_title;Rename Muntenia!;;;;;;;;;;;;;x
