CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
1836_denmark_setup_desc;Token Localization;;;;;;;;;;;;;x
1836_denmark_setup_title;Token Localization;;;;;;;;;;;;;x
1836_initial_setup_desc;A few changes that can only be made this way.;;;;;;;;;;;;;x
1836_initial_setup_title;AI: 1836 Setup;;;;;;;;;;;;;x
1836_switzerland_setup_desc;Placeholder Localization;;;;;;;;;;;;;x
1836_switzerland_setup_title;AI: Setup;;;;;;;;;;;;;x
abkhazia_1836_setup_desc;Token Localization;;;;;;;;;;;;;x
abkhazia_1836_setup_title;Token Localization;;;;;;;;;;;;;x
ARC_1836_setup_desc;Placeholder Localization;;;;;;;;;;;;;x
ARC_1836_setup_title;AI: Setup;;;;;;;;;;;;;x
AUS_setup_1836_desc;Token Localization;;;;;;;;;;;;;x
AUS_setup_1836_title;Token Localization;;;;;;;;;;;;;x
BOL_1836_setup_desc;Token Localization;;;;;;;;;;;;;x
BOL_1836_setup_title;Token Localization;;;;;;;;;;;;;x
BRZ_1836_setup_desc;Token Localization;;;;;;;;;;;;;x
BRZ_1836_setup_title;Token Localization;;;;;;;;;;;;;x
caucasus_muslims_1836_setup_desc;Token Localization;;;;;;;;;;;;;x
caucasus_muslims_1836_setup_title;Token Localization;;;;;;;;;;;;;x
CHL_1836_setup_desc;Token Localization;;;;;;;;;;;;;x
CHL_1836_setup_title;Token Localization;;;;;;;;;;;;;x
CLM_1836_setup_desc;Token Localization;;;;;;;;;;;;;x
CLM_1836_setup_title;Token Localization;;;;;;;;;;;;;x
ECU_1836_setup_desc;Token Localization;;;;;;;;;;;;;x
ECU_1836_setup_title;Token Localization;;;;;;;;;;;;;x
EGY_1836_setup_desc;Token localization.;;;;;;;;;;;;;x
EGY_1836_setup_title;Egypt Setup;;;;;;;;;;;;;x
eic_effects_desc;EIC Setup Modifiers;;;;;;;;;;;;;x
eic_effects_title;Setup: EIC;;;;;;;;;;;;;x
FIN_1836_setup_actual_desc;Token Localization;;;;;;;;;;;;;x
FIN_1836_setup_actual_title;Token Localization;;;;;;;;;;;;;x
france_1836_setup_desc;Token Localization;;;;;;;;;;;;;x
france_1836_setup_title;Token Localization;;;;;;;;;;;;;x
FRCA_1836_setup_desc;Token Localization;;;;;;;;;;;;;x
FRCA_1836_setup_title;Token Localization;;;;;;;;;;;;;x
GRE_1836_setup_desc;Token Localization;;;;;;;;;;;;;x
GRE_1836_setup_title;Token Localization;;;;;;;;;;;;;x
kurdish_1836_setup_desc;Token localization.;;;;;;;;;;;;;x
kurdish_1836_setup_title;Kurdish Setup;;;;;;;;;;;;;x
LEB_1836_setup_desc;Token localization.;;;;;;;;;;;;;x
LEB_1836_setup_title;Lebanon Setup;;;;;;;;;;;;;x
literacy_all_desc;Token Localization;;;;;;;;;;;;;x
literacy_all_title;Token Localization;;;;;;;;;;;;;x
literacy_AUS_desc;Token Localization;;;;;;;;;;;;;x
literacy_AUS_title;Token Localization;;;;;;;;;;;;;x
literacy_EGY_desc;Token Localization;;;;;;;;;;;;;x
literacy_EGY_title;Token Localization;;;;;;;;;;;;;x
literacy_EIC_desc;EIC Setup Literacy;;;;;;;;;;;;;x
literacy_EIC_title;Setup: EIC;;;;;;;;;;;;;x
literacy_ENG_desc;Token Localization;;;;;;;;;;;;;x
literacy_ENG_title;Token Localization;;;;;;;;;;;;;x
