CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;
1850_compromise_desc;Senators Henry Clay and Stephen A. Douglas have presented a draft proposal for a compromise on the slavery issue centred around the premise of popular sovereignty as the determinant for slavery or abolitionism in the territories. By supporting the draft proposal, we could calm tensions over the slavery issue for at least some time. The compromise is a package of five separate bills which will defuse a four-year political confrontation between slave and free states regarding the status of territories acquired during the Mexican-American War. The mains points are:\n1. Texas surrenders its claim to New Mexico, over which it had threatened war, as well as its claims north of the Missouri Compromise Line. It retains the Texas Panhandle and the federal government will took over the state’s public debt.\n2. California is admitted as a free state with its current boundaries.\n3.The Wilmot Proviso will be fully rejected.\n4.The slave trade (but not slavery altogether) will be banned in Washington D.C.;;;;;;;;;;;;;x
1850_compromise_title;The $YEAR$ Compromise;;;;;;;;;;;;;x
a_telegraph_line_to_uruguay_title;A Telegraph Line to Uruguay;;;;;;;;;;;;;x
a_telegraph_line_to_uruguay_desc;The laying of a telegraph line to connect Buenos Aires with Montevideo has been proposed. This would greatly improve communications and relations between the two countries.;;;;;;;;;;;;;x
AUS_build_the_northern_railway_desc;The Kaiser Ferdinands-Nordbahn was Austria’s first steam railway company and financed by Salomon Mayer von Rothschild (1774-1855). The first track was built between Floridsdorf and Deutsch Wagram in 1837. The extension to Vienna was built in 1838, and the track through Breclav (Lundenburg) to Brünn in 1839. The first train from Vienna arrived to Breclav on 6. June 1839.;;;;;;;;;;;;;x
AUS_build_the_northern_railway_title;Build the Kaiser Ferdinands–Railway;;;;;;;;;;;;;x
AUS_build_the_southern_railway_desc;In 1829, Austrian railway pioneer Franz Xaver Riepl proposed a railway connection from Vienna to the Adriatic Sea, bypassing the Eastern Alps via Bruck an der Leitha, Magyarovar and Szombathely in Western Hungary, Maribor and Ljubljana to Trieste. His plans were adopted by the entrepreneur Georgios Sinas, who in 1836 had engineer Matthias von Schonerer lay out a first railroad section from Vienna to Gyor (Raab), Hungary with a branch-off to Bratislava.;;;;;;;;;;;;;x
AUS_build_the_southern_railway_title;Build the Southern Railway;;;;;;;;;;;;;x
BRZ_USA_desc;The United States has declared itself the protector of democracy in the New World, and while the foreign powers of Europe may have been completely banished, traces of their reign remain. In Brazil, the European ties of the ruling Braganza family are undeniable. What is the place of monarchies in this New World, and how should the United States act towards the Braganza families in Brazil?;;;;;;;;;;;;;x
BRZ_USA_title;Imperial Questions in Brazil;;;;;;;;;;;;;x
CAL_tristate_desc;With our western border under our control, California must now expand north into the lands of Cascadia. It is the destiny of California to be the protector of the Pacific.;;;;;;;;;;;;;x
CAL_tristate_title;Secure the North;;;;;;;;;;;;;x
CHL_andean_desc;Although this might be considered a radical idea by some, it is necessary that Chile be joined with the Andes Federation to ensure that the whole mountain range is under our control and supervision. The United States will dispatch our intentions the Chilean government, but we have no way of knowing if they will agree to such a union. It is the hope of everyone that the use of force will not be necessary.;;;;;;;;;;;;;x
CHL_andean_force_desc;Sadly, democracy had to be defended in Chile through less than peaceful means. Now that peace has come, and the calm restored, we can begin our process of joining Chile to the Andes Federation. By doing so, we can put the War of the Pacific behind us all for good.;;;;;;;;;;;;;x
CHL_andean_force_title;Force Chile into the Andes Federation;;;;;;;;;;;;;x
CHL_andean_title;Join Chile to the Andes Federation;;;;;;;;;;;;;x
CSA_columbia_desc;Transfer control of the Columbia district to Oregon Country.;;;;;;;;;;;;;x
CSA_columbia_title;Give Columbia to Oregon Country;;;;;;;;;;;;;x
FIL_manifest_destiny_title;Central American Manifest Destiny;;;;;;;;;;;;;x
FIL_manifest_destiny_desc;"From the day the Americans landed at Realejo dates a new epoch, not only for Nicaragua, but for all Central America. Thenceforth it was impossible for the worn- out society of those countries to evade or escape the changes the new elements were to work in their domestic as well as in their political organization." - W.W. We shall form a union of all of Central America in which democracy can thrive. United, we will be safe from the efforts of England who seeks to keep the region under weak governments to allows her merchants to benefit from exploitative trade.;;;;;;;;;;;;;x
FIL_declare_republic_title;The Call to Arms;;;;;;;;;;;;;x
FIL_declare_republic_desc;We have ended the civil war and secured our control over Nicaragua. We shall issue a call to arms asking Americans to help secure our position as a new republic.;;;;;;;;;;;;;x
FIL_join_CSA_title;Join the Confederacy!;;;;;;;;;;;;;x
FIL_join_CSA_desc;"The necessary consequence of the triumph of free labor will be the destruction, by a slow and cruel process, of the colored races which now inhabit the central and southern portions of the continent. The labor of the inferior races cannot compete with that of the white race unless you give it a white master to direct its energies; and without such protection as slavery affords, the colored races must inevitably succumb in the struggle with white labor. Hence a Nicaraguan can not be an indifferent spectator of the contest between the two forms of labor in the United States" - W.W.;;;;;;;;;;;;;x
FRA_USA_QUE_desc;Relations between the France and the United States have always been rather cordial ever since the days of Lafayette. With Quebec now in their hands after the so-called Crusader for Canada, the Americans may be more willing to negotiate with France over returning Quebec back to its rightful rulers. Surely the Americans of all people will understand how important it is to undo the damage done by the British.;;;;;;;;;;;;;x
FRA_USA_QUE_title;Attempt to Purchase Quebec from the Americans;;;;;;;;;;;;;x
FRA_cancel_elasstreaty_desc;When those cowardly pacifists decided to negotiate with the Germans over Alsace-Lorraine, they betrayed the French people by acknowledging German claims to rightful French territory. It is up to $COUNTRY$ to correct to mistakes of the past and reclaim every inch of French land.;;;;;;;;;;;;;x
FRA_cancel_elasstreaty_title;Revoke the Treaty of Elsaß-Lorraine;;;;;;;;;;;;;x
FSA_NAF_revolt_CSA_desc;The Free States of America was founded on the principles of liberty and the abolition of slavery. It is time for us to turn those principles in into practices through funding and organizing a slave revolt in the South.;;;;;;;;;;;;;x
FSA_NAF_revolt_CSA_title;Fund a Slave Revolt in the South;;;;;;;;;;;;;x
FSA_NAF_revolt_USA_desc;The Free States of America was founded on the principles of liberty and the abolition of slavery. It is time for us to turn those principles in into practices through funding and organizing a slave revolt in the South.;;;;;;;;;;;;;x
FSA_NAF_revolt_USA_title;Fund a Slave Revolt in the South;;;;;;;;;;;;;x
FSA_right_to_secede_desc;The Civil War is over, and despite our wishes the United States stands divided. Our only option is to extend official recognition of the north’s right to secede. If we cannot live under the same roof, we shall be kind neighbours, and perhaps even brothers in arms. May God help us all.;;;;;;;;;;;;;x
FSA_right_to_secede_title;The Right to Secede;;;;;;;;;;;;;x
FSA_second_declaration_of_independence_desc;As the founding fathers did before us, so shall we stand up for our sovereign rights and not permit the interests of the South override what the North knows to be right and proper in our eyes. We shall be free, and let no free man say otherwise.;;;;;;;;;;;;;x
FSA_second_declaration_of_independence_title;The Second Declaration of Independence;;;;;;;;;;;;;x
