CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
EVTDESC94;The nation of $FROMCOUNTRY$ has requested to have their territories returned. What will be our response?;;;;;;;;;;;;;x
EVTNAME94;$FROMCOUNTRY$ requests territories;;;;;;;;;;;;;x
EVTOPTA94;Grant their request, they shall have their lands returned!;;;;;;;;;;;;;x
EVTOPTB94;Deny their requests, their lands are of vital interest to our cause!;;;;;;;;;;;;;x
EVTDESC95;$FROMCOUNTRY$ has asked if we would be intersted in seeing some of our territory returned. Now is our chance to formally request our core territories back.;;;;;;;;;;;;;x
EVTNAME95;Our lands returned?;;;;;;;;;;;;;x
EVTDESC96;On what continent is the nation you would like to restore provinces to? All eligible nations on said continent will send you an event asking for the return of their provinces. Accept this request for the nations you want to give provinces to.;;;;;;;;;;;;;x
EVTNAME96;Return Cores;;;;;;;;;;;;;x
EVTDESC97;The nation of $FROMCOUNTRY$ has requested to be released from their vassalage. What will be our response?;;;;;;;;;;;;;x
EVTNAME97;$FROMCOUNTRY$ requests independence;;;;;;;;;;;;;x
EVTOPTA97;Grant their request, they shall be free once more!;;;;;;;;;;;;;x
EVTOPTB97;Deny their request, they are of vital interest to our cause!;;;;;;;;;;;;;x
EVTDESC98;Our Overlord has asked all it's subjects which one among them would prefer independence. Now is our chance to ask to regain our freedom.;;;;;;;;;;;;;x
EVTNAME98;Freedom?;;;;;;;;;;;;;x
EVTOPTA98;Send the request!;;;;;;;;;;;;;x
EVTOPTB98;We prefer staying with them.;;;;;;;;;;;;;x
EVTDESC99;On what continent would you like to release a subject? All subjects on said continent will send you an event asking to be released. Accept this request for the vassals you wanted to get rid off.;;;;;;;;;;;;;x
EVTNAME99;Release a Vassal;;;;;;;;;;;;;x
EVTOPTA99;Exit Menu;;;;;;;;;;;;;x
EVTOPTB99;Europe;;;;;;;;;;;;;x
EVTOPTC99;Asia;;;;;;;;;;;;;x
EVTOPTD99;Africa;;;;;;;;;;;;;x
EVTOPTE99;North & South America + Oceania;;;;;;;;;;;;;x
EVTNAME59;TGC Setup Options;;;;;;;;;;;;;x
EVTDESC59;Welcomes to TGC's Setup Menu! Here you have a couple of options:\n\n§BReset All Options:§!Sets all options to the correct Default Setting, basically resetting any change you made.\n§BExtra Random:§! Disables all and any Railroading and sets up Lucky Nations, aiming for the most unpredictable campaign possible.\n§BSee All Options:§!Take a look at every setup option individually and hand pick whatever you want.;;;;;;;;;;;;;x
EVTOPTA59;Reset All Options.;;;;;;;;;;;;;x
EVTOPTB59;Extra Random mode.;;;;;;;;;;;;;x
EVTOPTC59;See All Options;;;;;;;;;;;;;x
EVTOPTD59;I'm done with the setup.;;;;;;;;;;;;;x
EVTNAME60;Setup Options, 1/4;;;;;;;;;;;;;x
EVTDESC60;§BRailroading Menu§!: Open a menu with special options to control certain aspects of Railroading in the mod, stuff like forcing the ACW or the Crimea War to happen.\n§BEarly Crisis§!: In TGC, crisis only start after 1862, when Revolution and Counter-revolution is researched. Enabling Early Crisis will allow then to happen at any point. \n§BUK's Splendid Isolation§!: Historically the UK did not ally major european powers, and so in TGC the UK is forced to break alliances with any Great Powers who aren't Portugal, Belgium, Japan or the Ottomans. You may wish to turn this off. \n§BUSA African Colonization§!: USA has reduced influence in Africa, as historically the USA was not interested in Africa beyond Liberia. You may wish to remove this constraint. This will not affect an USA player.;;;;;;;;;;;;;x
EVTOPTA60;Railroading Menu;;;;;;;;;;;;;x
EVTOPTB60;Early Crisis (Default: §RDisabled§!);;;;;;;;;;;;;x
EVTOPTC60;UK's Splendid Isolation (Default: §GEnabled§!);;;;;;;;;;;;;x
EVTOPTD60;USA's African Colonization (Default: §RDisabled§!);;;;;;;;;;;;;x
EVTNAME61;Setup Options, 2/4;;;;;;;;;;;;;x
EVTDESC61;§BExtra Flavor§!: TGC has integrated some ahistorical and wacky submods allowing players (not the AI) to take their nation down implausible alternative paths. You may prefer to play without these.\n§BMicrostates§!: TGC has plenty of somewhat isolated microstates, like the classic San Marino. You may wish to disable those, which makes them be annexed by bigger countries.\n§BEarly Colonial Conquest§!: This will enable you (and the AI) to justify protectorates/concessions on any province anywhere except China. By default, you can justify these CBs on bordering or port countries, while inland gets unlocked by Scramble.\n§BMinor Great Power Diplomancy Ban§!: Bans the 7th and 8th Great-Power from influencing nations through diplomacy (although not through the use of CB's and other ways of earning influence). For people that like a game with less nations meddling with global affairs.;;;;;;;;;;;;;x
EVTOPTA61;Extra Flavor (Default: §GEnabled§!);;;;;;;;;;;;;x
EVTOPTB61;Microstates (Default: §GEnabled§!);;;;;;;;;;;;;x
EVTOPTC61;Early Colonial Conquest (Default: §RDisabled§!);;;;;;;;;;;;;x
EVTOPTD61;Minor Great Power Diplomancy Ban (Default: §RDisabled§!);;;;;;;;;;;;;x
EVTNAME62;Setup Options, 3/4;;;;;;;;;;;;;x
EVTDESC62;§BWork Place Events§!: A few province events related to the workplace, such as 'The Old Man and the Sea', 'All the Tea in PROVINCENAME' and 'Blood and Iron Mine' can get quite spammy. You may prefer to disable those.\n§BLeader System§!: There is a National Leader system which will randomly assigned prime ministers/presidents to your country, you may wish to disable this.\n§BUnite as Puppet options§!: This allows a Great Power to unite some of their spherelings into a culture union puppet (Italy, Iberia, Scandinavia, Yugoslavia, Romania, Arabia, Transcaucasia, Turkestan and the United Baltic Duchy), some players consider these to be OP and prefer to play without them.\n§BMobilization Limiter for the AI§!: Sets some limits on when the AI can mobilize, so it doesn't ruin it's economy mobilizing in every single small war.;;;;;;;;;;;;;x
