CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
EVTDESC100000;We have requested aid from foreign powers. We can only hope they respond kindly.;;;;;;;;;;;;;x
EVTNAME100000;Aid Requested;;;;;;;;;;;;;x
EVTOPTA100000;It is out of our hands.;;;;;;;;;;;;;x
EVTDESC100001;$FROMCOUNTRY$ has asked we give them a grant. How much should we give?;;;;;;;;;;;;;x
EVTNAME100001;$FROMCOUNTRY$ Requests Aid;;;;;;;;;;;;;x
EVTOPTA100001;Our money is better spent at home.;;;;;;;;;;;;;x
EVTOPTB100001;Thousands of Pounds;;;;;;;;;;;;;x
EVTOPTC100001;Tens of Thousands of Pounds;;;;;;;;;;;;;x
EVTOPTD100001;Hundreds of Thousands of Pounds;;;;;;;;;;;;;x
EVTOPTE100001;Millions of Pounds;;;;;;;;;;;;;x
EVTDESC100002;$FROMCOUNTRY$ has decided to give us aid on the order of thousands of pounds.;;;;;;;;;;;;;x
EVTNAME100002;$FROMCOUNTRY$ Grants Aid;;;;;;;;;;;;;x
EVTOPTA100002;Great!;;;;;;;;;;;;;x
EVTDESC100003;How much money would you like to give $FROMCOUNTRY$ (thousands)?;;;;;;;;;;;;;x
EVTNAME100003;Choose Aid for $FROMCOUNTRY$;;;;;;;;;;;;;x
EVTOPTA100003;0 pounds;;;;;;;;;;;;;x
EVTOPTB100003;1000 pounds;;;;;;;;;;;;;x
EVTOPTC100003;2000 pounds;;;;;;;;;;;;;x
EVTOPTD100003;3000 pounds;;;;;;;;;;;;;x
EVTOPTE100003;4000 pounds;;;;;;;;;;;;;x
EVTOPTF100003;5000 pounds;;;;;;;;;;;;;x
EVTOPTG100003;6000 pounds;;;;;;;;;;;;;x
EVTOPTH100003;7000 pounds;;;;;;;;;;;;;x
EVTOPTI100003;8000 pounds;;;;;;;;;;;;;x
EVTOPTJ100003;9000 pounds;;;;;;;;;;;;;x
EVTDESC100004;$FROMCOUNTRY$ has decided to give us aid on the order of tens of thousands of pounds.;;;;;;;;;;;;;x
EVTDESC100005;How much money would you like to give $FROMCOUNTRY$ (tens of thousands)?;;;;;;;;;;;;;x
EVTOPTB100005;10000 pounds;;;;;;;;;;;;;x
EVTOPTC100005;20000 pounds;;;;;;;;;;;;;x
EVTOPTD100005;30000 pounds;;;;;;;;;;;;;x
EVTOPTE100005;40000 pounds;;;;;;;;;;;;;x
EVTOPTF100005;50000 pounds;;;;;;;;;;;;;x
EVTOPTG100005;60000 pounds;;;;;;;;;;;;;x
EVTOPTH100005;70000 pounds;;;;;;;;;;;;;x
EVTOPTI100005;80000 pounds;;;;;;;;;;;;;x
EVTOPTJ100005;90000 pounds;;;;;;;;;;;;;x
EVTDESC100006;$FROMCOUNTRY$ has decided to give us aid on the order of hundereds of thousands of pounds.;;;;;;;;;;;;;x
EVTDESC100007;How much money would you like to give $FROMCOUNTRY$ (hundreds of thousands)?;;;;;;;;;;;;;x
EVTOPTB100007;100000 pounds;;;;;;;;;;;;;x
EVTOPTC100007;200000 pounds;;;;;;;;;;;;;x
EVTOPTD100007;300000 pounds;;;;;;;;;;;;;x
EVTOPTE100007;400000 pounds;;;;;;;;;;;;;x
EVTOPTF100007;500000 pounds;;;;;;;;;;;;;x
EVTOPTG100007;600000 pounds;;;;;;;;;;;;;x
EVTOPTH100007;700000 pounds;;;;;;;;;;;;;x
EVTOPTI100007;800000 pounds;;;;;;;;;;;;;x
EVTOPTJ100007;900000 pounds;;;;;;;;;;;;;x
EVTDESC100008;$FROMCOUNTRY$ has decided to give us aid on the order of millions of pounds.;;;;;;;;;;;;;x
EVTDESC100009;How much money would you like to give $FROMCOUNTRY$ (millions)?;;;;;;;;;;;;;x
EVTOPTB100009;1000000 pounds;;;;;;;;;;;;;x
EVTOPTC100009;2000000 pounds;;;;;;;;;;;;;x
EVTOPTD100009;3000000 pounds;;;;;;;;;;;;;x
EVTOPTE100009;4000000 pounds;;;;;;;;;;;;;x
EVTOPTF100009;5000000 pounds;;;;;;;;;;;;;x
EVTOPTG100009;6000000 pounds;;;;;;;;;;;;;x
EVTOPTH100009;7000000 pounds;;;;;;;;;;;;;x
EVTOPTI100009;8000000 pounds;;;;;;;;;;;;;x
EVTOPTJ100009;9000000 pounds;;;;;;;;;;;;;x
EVTDESC100010;$FROMCOUNTRY$ decided against giving us a grant;;;;;;;;;;;;;x
EVTNAME100010;$FROMCOUNTRY$ Declines Aid Request;;;;;;;;;;;;;x
EVTOPTA100010;I guess we just have to print more money...;;;;;;;;;;;;;x
EVTDESC100013;How much aid would you like to give $FROMCOUNTRY$ (hundreds of pounds);;;;;;;;;;;;;x
EVTOPTB100013;100 pounds;;;;;;;;;;;;;x
EVTOPTC100013;200 pounds;;;;;;;;;;;;;x
EVTOPTD100013;300 pounds;;;;;;;;;;;;;x
EVTOPTE100013;400 pounds;;;;;;;;;;;;;x
EVTOPTF100013;500 pounds;;;;;;;;;;;;;x
EVTOPTG100013;600 pounds;;;;;;;;;;;;;x
EVTOPTH100013;700 pounds;;;;;;;;;;;;;x
EVTOPTI100013;800 pounds;;;;;;;;;;;;;x
EVTOPTJ100013;900 pounds;;;;;;;;;;;;;x
