CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
EVTDESC100040001;Our new first minister is an expert diplomat.;;;;;;;;;;;;;x
EVTDESC100040002;Our new first minister is a successful industrialist.;;;;;;;;;;;;;x
EVTDESC100040003;Our new first minister is a gifted academic.;;;;;;;;;;;;;x
EVTDESC100040004;Our new first minister is a popular figure.;;;;;;;;;;;;;x
EVTDESC100040005;Our new first minister is an old guard aristocrat.;;;;;;;;;;;;;x
EVTDESC100040006;Our new first minister is a retired general.;;;;;;;;;;;;;x
EVTDESC100040007;Our new first minister is an old admiral.;;;;;;;;;;;;;x
EVTDESC100040008;Our new first minister is, erm, highly unorthodox...;;;;;;;;;;;;;x
EVTDESC100040009;Our new first minister is a firm traditionalist.;;;;;;;;;;;;;x
EVTDESC100040010;Our new first minister is a marvellous statesman.;;;;;;;;;;;;;x
EVTDESC100040011;Our new first minister is a quiet genius.;;;;;;;;;;;;;x
EVTDESC100040012;Our new first minister is a great believer in reform.;;;;;;;;;;;;;x
EVTDESC100040013;Our new first minister is a member of the royal family.;;;;;;;;;;;;;x
EVTDESC100060013;Our new first minister is an inbred halfwit.;;;;;;;;;;;;;x
EVTDESC100040014;Our new first minister is a brilliant administrator.;;;;;;;;;;;;;x
EVTDESC100040015;Our new first minister is a true visionary.;;;;;;;;;;;;;x
EVTDESC100040016;Our new first minister is nothing special, I'm afraid.;;;;;;;;;;;;;x
EVTDESC100040017;Our new first minister is a true aristocrat.;;;;;;;;;;;;;x
EVTDESC100040018;Our new first minister is a firm disciplinarian. Very firm.;;;;;;;;;;;;;x
EVTDESC100040019;Our new first minister is a marvel of efficiency.;;;;;;;;;;;;;x
EVTDESC100040020;Our new first minister is a true patriot.;;;;;;;;;;;;;x
EVTDESC100040021;Our new First Minister is a union man.;;;;;;;;;;;;;x
EVTDESC100040022;Our new First Minister is a grumpy economist.;;;;;;;;;;;;;x
EVTDESC100050001;Our new Great Leader is an expert diplomat.;;;;;;;;;;;;;x
EVTDESC100050002;Our new Great Leader is a successful industrialist.;;;;;;;;;;;;;x
EVTDESC100050003;Our new Great Leader is a gifted academic.;;;;;;;;;;;;;x
EVTDESC100050004;Our new Great Leader is a popular figure.;;;;;;;;;;;;;x
EVTDESC100050005;Our new Great Leader is an old guard aristocrat.;;;;;;;;;;;;;x
EVTDESC100050006;Our new Great Leader is a retired general.;;;;;;;;;;;;;x
EVTDESC100050007;Our new Great Leader is an old admiral.;;;;;;;;;;;;;x
EVTDESC100050008;Our new Great Leader is, erm, highly unorthodox...;;;;;;;;;;;;;x
EVTDESC100050009;Our new Great Leader is a firm traditionalist.;;;;;;;;;;;;;x
EVTDESC100050010;Our new Great Leader is a marvellous statesman.;;;;;;;;;;;;;x
EVTDESC100050014;Our new Great Leader is a brilliant administrator.;;;;;;;;;;;;;x
EVTDESC100050015;Our new Great Leader is a true visionary.;;;;;;;;;;;;;x
EVTDESC100050017;Our new Great Leader is a true aristocrat;;;;;;;;;;;;;x
EVTDESC100050018;Our new Great Leader is a firm disciplinarian. Very firm.;;;;;;;;;;;;;x
EVTDESC100050019;Our new Great Leader is a marvel of efficiency.;;;;;;;;;;;;;x
EVTDESC100050020;Our new Great Leader is a true patriot.;;;;;;;;;;;;;x
EVTDESC100050022;Our new Great Leader is an old union man;;;;;;;;;;;;;x
EVTDESC100050050;Our new Great Leader is a grumpy economist.;;;;;;;;;;;;;x
EVTNAMEMINISTERAPPOINTED;First Minister Appointed;;;;;;;;;;;;;x
EVTNAMELEADEREMERGES;Great Leader emerges;;;;;;;;;;;;;x
EVTOPTAMINISTERAPPOINTED;I'm sure he'll be perfect for the job.;;;;;;;;;;;;;x
EVTOPTALEADERASSASSINATED;A tragedy!;;;;;;;;;;;;;x
EVTDESCLEADERDIED;He will be sorely missed.;;;;;;;;;;;;;x
EVTDESC100040120;Our first minister has been murdered!;;;;;;;;;;;;;x
EVTNAME100040120;First Minister Assassinated!;;;;;;;;;;;;;x
EVTDESC100050120;Our Great Leader has been murdered!;;;;;;;;;;;;;x
EVTNAME100050120;Dictator Assassinated!;;;;;;;;;;;;;x
EVTNAME100080123;First Minister Dies in Office!;;;;;;;;;;;;;x
EVTDESC100080123;Our hardworking First minister was found dead at his desk this morning.;;;;;;;;;;;;;x
EVTDESC100080124;After he declared Thursdays to be Compulsory Pie-wearing day, our First minister has been 'retired'...;;;;;;;;;;;;;x
EVTNAME100080124;First Minister Committed!;;;;;;;;;;;;;x
EVTDESC100080125;Our hardworking Great Leader was found dead at his chateaux this morning, by the six young ladies who were in his care...;;;;;;;;;;;;;x
EVTNAME100080125;Great Leader Dies in Office!;;;;;;;;;;;;;x
EVTOPTA100080125;Truly, he loved his people too much. Literally, in this case.;;;;;;;;;;;;;x
