CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
EVTDESC1004;The action of expelling Anarchists from the First Internationale proves that these ‘Marxists’ have no real interest in actually freeing workers from the oppression of the state. The State should not simply be taken over, it should be abolished completely. We must organize the workers in unions and federations to achieve this goal, not bourgeoisies style political parties. Bourgeoisie isn’t for the good of the workers but the good of the capitalist class hence we must destroy it as well.;;;;;;;;;;;;;x
EVTNAME1004;St. Imier International.;;;;;;;;;;;;;x
EVTOPTA1004;Power breeds parasites. Long live Anarchy!;;;;;;;;;;;;;x
EVTDESC1141;A rich vein of metal ores with industrial applications has been located in $PROVINCENAME$. This is a strategically significant resource, and we should begin extracting it immediately.;;;;;;;;;;;;;x
EVTNAME1141;Lead Struck-$PROVINCENAME$;;;;;;;;;;;;;x
EVTDESC1200;Less money for crime fighting results in lowered ability to respond to security threats like anarchist uprisings.;La baisse des dépenses consacrées à la lutte contre le crime se traduit par une moindre efficacité en termes de réponse aux atteintes à la sécurité comme les soulèvements d'anarchistes.;Weniger Geld für die Verbrechensbekämpfung führt zu einer verringerten Reaktionsfähigkeit auf Sicherheitsrisiken wie anarchistische Rebellionen.;;;;;;;;;;;x
EVTNAME1200;Anarchic Bomb-throwers;Lanceurs de bombes anarchistes;Anarchistische Bombenleger;;;;;;;;;;;x
EVTOPTA1200;Ok;Ok;OK;;;;;;;;;;;x
EVTDESC1201;Less money for crime fighting results in lowered ability to respond to security threats like battling street gangs.;La baisse des dépenses consacrées à la lutte contre le crime se traduit par une moindre efficacité en termes de réponse aux atteintes à la sécurité tels que les combats entre gangs.;Weniger Geld für die Verbrechensbekämpfung führt zu einer verringerten Reaktionsfähigkeit auf Sicherheitsrisiken wie Straßenbanden.;;;;;;;;;;;x
EVTNAME1201;Citizen Guards;Gardes citoyennes;Bürgerwachen;;;;;;;;;;;x
EVTOPTA1201;Ok;Ok;OK;;;;;;;;;;;x
EVTDESC1202;With rising crime rates and less government control, businessmen would become more and more centred on their own profits. This results in a higher risk of collapse for the entire system, as everybody strives for personal interests.;Avec la hausse du taux de criminalité et moins de contrôle du gouvernement, les hommes d'affaires seraient de plus en plus centrés sur leurs propres bénéfices. Il en résulte un risque accru d'effondrement de l'ensemble du système, comme tout le monde s'affaire pour ses intérêts personnels.;Mit steigenden Kriminalitätsraten und weniger Regierungskontrolle werden sich Geschäftsleute vermehrt auf ihre eigenen Profite konzentrieren. Dies führt zu einem höheren Zusammenbruchsrisiko für das gesamte System, da jeder seinen persönlichen Interessen nachgeht.;;;;;;;;;;;x
EVTNAME1202;Immoral Business;Activité immorale;Unmoralische Geschäfte;;;;;;;;;;;x
EVTOPTA1202;Ok;Ok;OK;;;;;;;;;;;x
EVTDESC1203;The system of machine politics was in essence the bribery of mainly minorities by politicians using their influence. It was common to use the appointment for government jobs as a means of bribery within this system.;Le système du clientélisme se traduit, par essence, par la corruption des principales minorités par les politiciens usant de leur influence. Les nominations à des postes gouvernementaux sont des moyens de corruption.;Beim Politikmaschinerie-System ging es um Bestechungsgelder, die Politiker mit Hilfe ihres Einflusses hauptsächlich Minoritäten zukommen ließen. Innerhalb dieses Systems war es gang und gäbe, Regierungsjobs zu Bestechungszwecken auszunutzen.;;;;;;;;;;;x
EVTNAME1203;Machine Politics;Clientélisme;Politikmaschinerie;;;;;;;;;;;x
EVTOPTA1203;Ok;Ok;OK;;;;;;;;;;;x
EVTDESC1204;If the crime fighting institutions in a province become overstretched, organized crime in form of a mafia would develop. Such organizations resulted in lowered productivity in the province.;Si les institutions de lutte contre le crime d'une province sont trop sollicitées, le crime organisé se transforme en mafia. Et la productivité de la province baisse.;Wenn die Institutionen zur Verbrechensbekämpfung in einer Provinz überlastet sind, entwickelt sich organisiertes Verbrechen in Form einer Mafia. Solche Organisationen verringern die Produktion in der Provinz.;;;;;;;;;;;x
EVTNAME1204;Mafia;Mafia;Mafia;;;;;;;;;;;x
EVTOPTA1204;Ok;Ok;OK;;;;;;;;;;;x
EVTDESC1205;The system of rotten boroughs was a system to create such small voting districts that a certain victory could be won through plain bribery.;Le système des bourgs pourris consiste à créer des circonscriptions électorales si petites qu'elles permettent une victoire certaine par le biais de la corruption.;Das System der Rotten Boroughs erschuf so kleine Wahldistrikte, dass Wahlsiege durch Bestechung gewonnen werden konnten.;;;;;;;;;;;x
EVTNAME1205;Rotten Boroughs;Bourgs pourris;Rotten Boroughs;;;;;;;;;;;x
EVTOPTA1205;Ok;Ok;OK;;;;;;;;;;;x
EVTDESC1206;Lacking sufficient control institutions, politicians would eventually use their power and influence for their personal wealth and glory. This results in increased militancy of the whole population in the province.;À défaut d'institutions de contrôle suffisantes, les politiciens usent de leur pouvoir et de leur influence pour assurer leur fortune et leur gloire personnelle. Cela se traduit par un militantisme accru de toute la population de la province.;Ohne ausreichende Kontrollinstitutionen nutzten Politiker schließlich ihre Vorrechte und ihren Einfluss, um sich persönliche Vorteile in Form von Reichtum und Ruhm zu verschaffen. Dies führt zu erhöhter Militanz der gesamten Bevölkerung in der Provinz.;;;;;;;;;;;x
EVTNAME1206;Spoil System;Système des dépouilles;Verdorbenes System;;;;;;;;;;;x
EVTOPTA1206;Ok;Ok;OK;;;;;;;;;;;x
EVTDESC1207;With less security personnel around in the province, terrorists have an easier time hiding and waiting for opportunities to strike.;Avec la réduction du personnel de sécurité de la province, les terroristes ont moins de mal à se cacher en attendant l'occasion de frapper.;Mit weniger Sicherheitspersonal in der Provinz können Terroristen leichter in ihren Verstecken auf Gelegenheiten zum Zuschlagen warten.;;;;;;;;;;;x
EVTNAME1207;Terrorist Cells;Cellules terroristes;Terroristenzellen;;;;;;;;;;;x
EVTOPTA1207;Ok;Ok;OK;;;;;;;;;;;x
EVTDESC1208;Less government investment into crime fighting results in a very unfair distribution of the wealth in a province. The rich would get even richer, while the poor would get poorer.;La baisse des investissements de l'État dans la lutte contre le crime se traduit par une répartition très injuste des richesses dans une province. Les riches deviennent encore plus riches et les pauvres encore plus pauvres.;Weniger Regierungsinvestitionen in die Verbrechensbekämpfung führt zu einer sehr ungerechten Verteilung des Reichtums in einer Provinz. Die Reichen werden noch reicher, während die Armen immer ärmer werden.;;;;;;;;;;;x
EVTNAME1208;Trusts;Cartels;Trusts;;;;;;;;;;;x
EVTOPTA1208;Ok;Ok;OK;;;;;;;;;;;x
EVTDESC1209;By investing more money in crime fighting we have increased our ability to respond to security threats like anarchist uprisings.;En investissant davantage dans la lutte contre le crime, nous avons été à même de mieux répondre aux atteintes à la sécurité comme les soulèvements d'anarchistes.;Mehr Ausgaben für die Verbrechensbekämpfung führten zu einer besseren Reaktionsfähigkeit auf Sicherheitsrisiken wie anarchistische Rebellionen.;;;;;;;;;;;x
EVTNAME1209;Anarchic Bomb-throwers-No Longer an Issue;Lanceurs de bombes anarchistes—Problème réglé;Anarchistische Bombenleger—kein Problem mehr;;;;;;;;;;;x
EVTOPTA1209;Good;Bien;Gut;;;;;;;;;;;x
EVTDESC1210;By investing more money in crime fighting we have increased our ability to respond to security threats like battling street gangs.;En investissant davantage dans la lutte contre le crime, nous avons été à même de mieux répondre aux atteintes à la sécurité tels que les combats entre gangs des rues.;Mehr Ausgaben für die Verbrechensbekämpfung führten zu einer besseren Reaktionsfähigkeit auf Sicherheitsrisiken wie Straßenbanden.;;;;;;;;;;;x
EVTNAME1210;Street Gangs-No Longer an Issue;Gangs des rues—Problème réglé;Straßenbanden—kein Problem mehr;;;;;;;;;;;x
EVTOPTA1210;Good;Bien;Gut;;;;;;;;;;;x
EVTDESC1211;By investing more money in crime fighting we have managed to increase government control and decrease crime rates. Businessmen are becoming less and less centred on their own profits, and the risk of the system collapsing has decreased considerably, as fewer are striving for personal interests.;En investissant plus d'argent dans la lutte contre la criminalité, nous avons réussi à augmenter le contrôle du gouvernement et les taux de criminalité est en baisse. Les hommes d'affaires sont de moins en moins centrés sur leurs propres bénéfices, et le risque d'effondrement du système a considérablement diminué, car ils ne s'intéressent plus que à leurs intérêts personnels.;Mehr Ausgaben in die Verbrechensbekämpfung haben zu besserer Regierungskontrolle und geringeren Kriminalitätsraten geführt. Geschäftsleute konzentrieren sich immer weniger auf ihre eigenen Profite, und das Risiko des Systemzusammenbruchs ist beträchtlich zurückgegangen, da die Menschen weniger eigensüchtig handeln.;;;;;;;;;;;x
