CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
EVTNAME6261783;The Treaty of Miami;;;;;;;;;;;;;
EVTOPTA6261783;Cleaning up the pieces.;;;;;;;;;;;;;
EVTNAME5596858;The Treaty of Miami;;;;;;;;;;;;;
EVTOPTA5596858;Ok.;;;;;;;;;;;;;
EVTNAME807575;The Treaty of Miami;;;;;;;;;;;;;
EVTOPTA807575;The dream has died.;;;;;;;;;;;;;
EVTNAME1033676;End of the Union?;;;;;;;;;;;;;
EVTOPTA1033676;It is for the best.;;;;;;;;;;;;;
EVTNAME4102182;The Second Treaty of Guadalupe Hidalgo;;;;;;;;;;;;;
EVTOPTA4102182;Long live South America!;;;;;;;;;;;;;
EVTNAME5084910;The Second Treaty of Guadalupe Hidalgo;;;;;;;;;;;;;
EVTOPTA5084910;Ok.;;;;;;;;;;;;;
EVTNAME3755286;The Second Treaty of Guadalupe Hidalgo;;;;;;;;;;;;;
EVTOPTA3755286;How could we let this happen?;;;;;;;;;;;;;
