CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
african_integration_policy;African Integration Enacted;;;;;;;;;;;;;x
berlin_conference;Berlin Conference Happened;;;;;;;;;;;;;x
congo_master;Owns the Congo;;;;;;;;;;;;;x
civilizing_congo;Civilizing the Congo;;;;;;;;;;;;;x
direct_immigration;Enabled Direct Immigration;;;;;;;;;;;;;x
dual_monarchy;Is Austria-Hungary;;;;;;;;;;;;;x
france;Is France;;;;;;;;;;;;;x
FRA_willem_i_alliance;Dutch-French Alliance;;;;;;;;;;;;;x
had_liberal_revolution;Had Liberal Revolution;;;;;;;;;;;;;x
german_confederation_member;Member of the German Confederation;;;;;;;;;;;;;x
in_great_war;Fighting in a Great War;;;;;;;;;;;;;x
is_swiss;Is Switzerland;;;;;;;;;;;;;x
islamic_law;Islamic Law;;;;;;;;;;;;;x
jewish_country;Jewish Country;;;;;;;;;;;;;x
lacking_writing_system;Lacks Writing System;;;;;;;;;;;;;x
liberal_revolution_fired;Liberal Revolution Happened;;;;;;;;;;;;;x
liberal_revolution_in_progress;Liberal Revolution Happening;;;;;;;;;;;;;x
liberal_revolution_somewhere;Liberal Revolution Happening Somewhere;;;;;;;;;;;;;x
liberal_revolutions_should_now_fire;Liberal Revolution Imminent;;;;;;;;;;;;;x
native_assimilation_enacted;Native Assimilation Enacted;;;;;;;;;;;;;x
new_world_nation;New World Nation;;;;;;;;;;;;;x
pol_reform_blocker;Political Reform Blocker;;;;;;;;;;;;;x
post_colonial_country;Former Colony;;;;;;;;;;;;;x
PRU_willem_i_alliance;Dutch-Prussian Alliance;;;;;;;;;;;;;x
serfdom_not_abolished;Serfdom not abolished;;;;;;;;;;;;;x
slave_revolution;Slave Revolution;;;;;;;;;;;;;x
soc_reform_blocker;Social Reform Blocker;;;;;;;;;;;;;x
the_slavery_debate;The Slavery Debate;;;;;;;;;;;;;x
using_foreign_ships;Using Foreign Ships;;;;;;;;;;;;;x
using_foreign_shipyards;Using Foreign Shipyards;;;;;;;;;;;;;x
using_foreign_weapons;Using Foreign Weapons;;;;;;;;;;;;;x
using_foreign_artillery;Using Foreign Artillery;;;;;;;;;;;;;x
vote_reform_blocker;Voting Reform Blocker;;;;;;;;;;;;;x
yes_to_congo;Voted Yes in the Congo Question;;;;;;;;;;;;;x
