CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
anti_military;Anti-Military;Anti-militaire;Anti-Militär;;;;;;;;;;;x
anti_military_desc;The armed forces are a drain on the state coffers and the government feels money is better spent elsewhere.;Les forces armées grèvent les finances de l'État et le gouvernement estime que cet argent serait mieux utilisé ailleurs.;Die Streitkräfte belasten den Staatshaushalt und die Regierung ist der Ansicht, dass sie das Geld woanders besser einsetzen könnte.;;;;;;;;;;;x
anti_military_l;Anti-Military;Anti-militaire;Anti-Militär;;;;;;;;;;;x
economic_policy;Economic Policy;Politique économique;Wirtschaftspolitik;;Política económica;;;;;;;;;x
free_trade;Free Trade;Libre échange;Handelsfreiheit;;;;;;;;;;;x
free_trade_desc;Traders are able to act and transact without interference from the government.;Les marchands peuvent commercer sans interférence du gouvernement.;Händler können ihre Geschäfte ohne Einmischung der Regierung betreiben.;;;;;;;;;;;x
free_trade_l;Free Trade;Libre échange;Freihandel;;;;;;;;;;;x
full_citizenship;Full Citizenship;Pleine citoyenneté;Volles Bürgerrecht;;;;;;;;;;;x
full_citizenship_desc;This party supports that every vote is equal.;;;;;;;;;;;;;x
full_citizenship_l;Full Citizenship;Pleine citoyenneté;Volles Bürgerrecht;;;;;;;;;;;x
interventionism;Interventionism;Interventionnisme;Interventionismus;;;;;;;;;;;x
interventionism_desc;In general, this is a free market economy but the government reserves the right to intervene when the national interest requires it.;En général, il s'agit d'une économie de libre échange, mais le gouvernement se réserve le droit d'intervenir lorsque l'intérêt national l'exige.;Im Allgemeinen ist dies eine Freihandelswirtschaft, aber die Regierung behält sich das Eingriffsrecht zum Wohle der Nation vor.;;;;;;;;;;;x
interventionism_l;Interventionism;Interventionnisme;Interventionismus;;;;;;;;;;;x
jingoism;Jingoism;Chauvinisme;Hurrapatriotismus;;;;;;;;;;;x
jingoism_desc;The military is the centrepiece of the state and military spending is prioritised.;L'armée est la pièce maîtresse de l'État et les dépenses militaires sont privilégiées.;Das Militär ist das Kernstück des Staats und der Wehretat hat oberste Priorität.;;;;;;;;;;;x
jingoism_l;Jingoism;Chauvinisme;Hurrapatriotismus;;;;;;;;;;;x
laissez_faire;Laissez Faire;Laissez-faire;Laissez Faire;;;;;;;;;;;x
laissez_faire_desc;Industry is free from government interference;Le gouvernement n'interfère pas dans l'industrie;Die Regierung mischt sich nicht in die Industrie ein.;;;;;;;;;;;x
laissez_faire_l;Laissez Faire;Laissez-faire;Laissez Faire;;;;;;;;;;;x
limited_citizenship;Limited Citizenship;Citoyenneté limitée;Eingeschränktes Bürgerrecht;;;;;;;;;;;x
limited_citizenship_desc;This party supports politics to limit citizenship and political rights to people of the same cultural group of this nation.;;;;;;;;;;;;;x
limited_citizenship_l;Limited Citizenship;Citoyenneté limitée;Eingeschränktes Bürgerrecht;;;;;;;;;;;x
moralism;Moralism;Moralisme;Moralismus;;;;;;;;;;;x
moralism_desc;Church and state are a single body, and religious minorities face discrimination.;L'Église et l'État forment une même entité et les minorités religieuses sont discriminées.;Kirche und Staat sind eine unzertrennbare Einheit und religiöse Minderheiten werden diskriminiert.;;;;;;;;;;;x
moralism_l;Moralism;Moralisme;Moralismus;;;;;;;;;;;x
pacifism;Pacifism;Pacifisme;Pazifismus;;;;;;;;;;;x
pacifism_desc;The government is actively hostile to the interests of the military, feeling they are opposed to the government policies.;Le gouvernement est activement hostile aux intérêts de l'armée qu'il juge contraires à ses politiques.;Die Regierung ist den Interessen des Militärs gegenüber feindlich eingestellt und sieht sie als gegen die Regierungspolitik gerichtet an.;;;;;;;;;;;x
pacifism_l;Pacifism;Pacifisme;Pazifismus;;;;;;;;;;;x
party_issues;Party Issues;Enjeux de parti;Parteiangelegenheiten;;Temas de partido;;;;;;;;;x
planned_economy;Planned Economy;Économie planifiée;Planwirtschaft;;;;;;;;;;;x
planned_economy_desc;The government makes all decisions on the production and consumption of goods and services.;Le gouvernement prend toutes les décisions sur la production et la consommation des biens et des services.;Die Regierung trifft sämtliche Entscheidungen hinsichtlich der Produktion und des Verbrauchs von Gütern und Dienstleistungen.;;;;;;;;;;;x
planned_economy_l;Planned Economy;Économie planifiée;Planwirtschaft;;;;;;;;;;;x
pluralism;Pluralism;Pluralisme;Pluralismus;;;;;;;;;;;x
pluralism_desc;The state religion is actively promoted but other religions are tolerated.;La religion d'État est activement promue, mais d'autres religions sont tolérées.;Die Staatsreligion wird aktiv gefördert, aber andere Religionen werden auch toleriert.;;;;;;;;;;;x
pluralism_l;Pluralism;Pluralisme;Pluralismus;;;;;;;;;;;x
pro_atheism;Atheism;Athéisme;Atheismus;;;;;;;;;;;x
pro_atheism_desc;Total separation between church and state, religion is purely a private matter.;Séparation totale entre l'Église et l'État , la religion est une affaire purement privée.;Totale Trennung zwischen Kirche und Staat—die Religion ist eine strikt private Angelegenheit.;;;;;;;;;;;x
pro_atheism_l;Atheism;Athéisme;Atheismus;;;;;;;;;;;x
pro_military;Pro Military;Pro-militaire;Pro Militär;;;;;;;;;;;x
