CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
africa;North Africa;Afrique;Afrika;;;;;;;;;;;x
asia;Asia;Asie;Asien;;;;;;;;;;;x
australia_new_zealand;Oceania;;;;;;;;;;;;;x
central_africa;Equatorial Africa;;;;;;;;;;;;;x
east_africa;East Africa;;;;;;;;;;;;;x
east_indies;East-Indies;;;;;;;;;;;;;x
europe;Europe;Europe;Europa;;;;;;;;;;;x
indochina;Indo-China;;;;;;;;;;;;;x
north_america;North America;Nord Amérique;Nordamerika;;;;;;;;;;;x
oceania;Near East;;;;;;;;;;;;;x
polynesia;Pacific Islands;Océanie;Ozeanien;;;;;;;;;;;x
south_america;South America;Sud Amérique;Südamerika;;;;;;;;;;;x
south_africa;South Africa;;;;;;;;;;;;;x
west_africa;West Africa;;;;;;;;;;;;;x
