CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
able;Able §m+1 Attack +1 Defense§!;Capable;Fähig;;;;;;;;;;;x
active_p;Active §m+1 Attack§!;Actif;Aktiv;;;;;;;;;;;x
adventurer;Adventurer §M+2 Attack§!;Aventurier;Abenteurer;;;;;;;;;;;x
aggressive;Aggressive §m+1 Attack§!;Agressif;Aggressiv;;;;;;;;;;;x
amateur;Amateur §R-1 Defense§!;Amateur;Amateur;;;;;;;;;;;x
aristocrat;Aristocrat;Aristocrate;Aristokrat;;;;;;;;;;;x
armchair_general;Armchair General;Général de façade;Sesselgeneral;;;;;;;;;;;x
arrogant;Arrogant §R-2 Attack -2 Defense§!;Arrogant;Arrogant;;;;;;;;;;;x
artillerist;Artillerist §m+1 Defense§!;Artilleur;Artillerist;;;;;;;;;;;x
au_fait;Au Fait §G+3 Attack §m+1 Defense§!;Au fait;Sicher;;;;;;;;;;;x
audacious;Audacious §M+2 Attack +2 Defense§!;Audacieux;Kühn;;;;;;;;;;;x
aweless;Aweless;Casse-cou;Respektlos;;;;;;;;;;;x
balanced_p;Balanced §m+1 Attack +1 Defense§!;Pondéré;Ausgewogen;;;;;;;;;;;x
ballsy;Ballsy §m+1 Attack§!;Valeureux;Forsch;;;;;;;;;;;x
bastard;Bastard §R-1 Defense§!;Goujat;Bastard;;;;;;;;;;;x
bg_engineer;Engineer;;;;;;;;;;;;;x
bigoted;Bigoted §R-1 Attack -1 Defense§!;Sectaire;Engstirnig;;;;;;;;;;;x
bold;Bold §M+2 Attack§!;Téméraire;Mutig;;;;;;;;;;;x
bootlicker;Bootlicker §m+1 Defense§!;Lèche-bottes;Speichellecker;;;;;;;;;;;x
brash;Brash §m+1 Attack §R-1 Defense§!;Impudent;Forsch;;;;;;;;;;;x
brilliant;Brilliant §+3 Attack +3 Defense§!;Brillant;Brilliant;;;;;;;;;;;x
brownnoser;Brownnoser §m+1 Attack§!;Lèche-cul;Stiefellecker;;;;;;;;;;;x
brutish;Brutish §m+1 Attack§!;Brutal;Brutal;;;;;;;;;;;x
bureaucrat_speed;Bureaucrat Speed;Vitesse de bureaucrate;Bürokratische Geschwindigkeit;;;;;;;;;;;x
butcher;Butcher;Boucher;Schlächter;;;;;;;;;;;x
calm;Calm §m+1 Attack §M+2 Defense§!;Calme;Ruhig;;;;;;;;;;;x
careful;Careful §m+1 Defense§!;Attentif;Sorgsam;;;;;;;;;;;x
careless;Careless §R-1 Defense§!;Négligent;Achtlos;;;;;;;;;;;x
cartographer;Cartographer;Cartographe;Kartograf;;;;;;;;;;;x
cautious;Cautious §G+3 Defense§!;Prudent;Vorsichtig;;;;;;;;;;;x
