CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
3rd_international;3rd International;;;;;;;;;;;;;x
5yp_army;Five Year Plan: Army;;;;;;;;;;;;;x
5yp_industry;Five Year Plan: Industry;;;;;;;;;;;;;x
5yp_rank;Five Year Plan: Rank;;;;;;;;;;;;;x
Backed-Down-Cuba;Abandoned Cuba;;;;;;;;;;;;;x
Backed-Down-Cuba_desc;Despite our military might the government has chosen to abandon the American dream of kicking out imperialism from American soil. This will have grave consequences on our support and view on the world stage!;;;;;;;;;;;;;x
Backed-Down-Texas;Abandoned Texas;;;;;;;;;;;;;x
Backed-Down-Texas_desc;Despite our military might the government has chosen to abandon the American dream of kicking out imperialism from American soil. This will have grave consequences on our support and view on the world stage!;;;;;;;;;;;;;x
Bla;Blah;;;;;;;;;;;;;x
Bla_desc;Yes, I said, ‘Blah’.;;;;;;;;;;;;;x
Bonus_Immigration;Bonus Immigration;;;;;;;;;;;;;x
Bonus_Immigration_desc;This country is a target for immigration. It should expect more immigrants than comparable countries.;;;;;;;;;;;;;x
british_sanctions;British Sanctions;;;;;;;;;;;;;x
british_sanctions_desc;The British are outraged at our actions in Europe and have imposed sanctions on us for the foreseeable future.;;;;;;;;;;;;;x
NAF_Tuskegee_Uni;Tuskegee Institute;;;;;;;;;;;;;x
NAF_Tuskegee_Uni_desc;The Tuskegee Institute serves as the leading voice of academic thought and scientific research in New Africa.;;;;;;;;;;;;;x
The-German-Royal-Family;The German Royal Family;;;;;;;;;;;;;x
The-German-Royal-Family_desc;The country of German has been overtaken by ideas that seek to kill the royal family. Luckily, we can accept them.;;;;;;;;;;;;;x
abdulmejid_i_reforms;Reforms of Sultan Abdulmejid I;;;;;;;;;;;;;x
abdulmejid_i_reforms_desc;In compliance with his father’s express instructions, Abdulmejid immediately carried out the reforms to which Mahmud II had devoted himself. In November 1839 an edict known as the Hatt-i Serif of Gülhane, also known as Tanzimat Fermani was proclaimed, consolidating, and enforcing these reforms. The edict was supplemented at the close of the Crimean War by a similar statute issued in February 1856, named the Hatt-i Hümayun. By these enactments it was provided that all classes of the sultan’s subjects should have their lives and property protected that taxes should be fairly imposed and justice impartially administered.;;;;;;;;;;;;;x
abolitionist_pamphlets;Abolitionist Pamphlets;;;;;;;;;;;;;x
abolitionist_society;Abolitionist Society;;;;;;;;;;;;;x
abolitionist_society_desc;An abolitionist society in this province is spreading pamphlets decrying slavery, and calling for its abolition.;;;;;;;;;;;;;x
academic_confusion;Academic Confusion;;;;;;;;;;;;;x
academic_confusion_desc;Our academia is in a state of disarray, following a paradigm shift within our academic establishment. Our prestige and research will be hampered while the effect lasts.;;;;;;;;;;;;;x
acceptable_health_care_fully_funded;Fully Funded Healthcare;;;;;;;;;;;;;x
access_to_the_sea;Foreign Port Access to the Sea;;;;;;;;;;;;;x
admin_spen;AI Administration Spending;;;;;;;;;;;;;x
administrative_efficiency_modifier;Administrative Efficiency;;;;;;;;;;;;;x
administrative_genius;Administrative Genius;;;;;;;;;;;;;x
administrative_genius_desc;Under our leader’s guidance, the country’s bureaucracy has never run more efficiently. Nothing escapes his notice.;;;;;;;;;;;;;x
african_exodus;African Exodus;;;;;;;;;;;;;x
african_extermination;Afrikaanse Oplossing;;;;;;;;;;;;;x
agrarian_reform;Begin the Agrarian Land Reform;;;;;;;;;;;;;x
agrarian_reform_beginning;The Agrarian Reform has begun!;;;;;;;;;;;;;x
agrarian_reform_desc;We are fifty or a hundred years behind the rest of the world. We must make up for this in ten.;;;;;;;;;;;;;x
ai_militancy_fix;AI: Militancy Fix;;;;;;;;;;;;;x
ai_warships_cooldown;AI Warship Cooldown Timer;;;;;;;;;;;;;x
alexandru_ioan_cuza;Alexandru Ioan Cuza;;;;;;;;;;;;;x
alexandru_ioan_cuza_desc;Born into the ranks of the Boyar aristocracy of Moldavia, Cuza supported the Liberal Revolution of 1848 and became a political exile for a time. As the new Prince of Romania, he advocates reform and modernisation, However, he faces significant Conservative opposition from within and the machinations of the European Powers from without.;;;;;;;;;;;;;x
am_everywhere;I Am Everywhere;;;;;;;;;;;;;x
am_everywhere_desc;A fascist newspaper has released its first copy in the province.;;;;;;;;;;;;;x
ambitious_union_boss;Ambitious Union Boss;;;;;;;;;;;;;x
ambitious_union_boss_desc;Our leader hails from the ranks of the blue-collar unions, a man who has worked his way up through the ranks… right to the very top.;;;;;;;;;;;;;x
america_new_world;The New World;;;;;;;;;;;;;x
america_new_world_desc;Many immigrants from the old world are arriving on our shores;;;;;;;;;;;;;x
american_anti_slavery_society;American Anti-Slavery Society;;;;;;;;;;;;;x
american_anti_slavery_society_desc;A society dedicated to the abolition of slavery operates in this province.;;;;;;;;;;;;;x
amir_kabir;Amir Kabir;;;;;;;;;;;;;x
amir_kabir_desc;Amir Kabir Mirza Taghi Khan Farahani is overseeing great works of reform in our country, to the anger of some.;;;;;;;;;;;;;x
anaconda_plan;The Anaconda Plan;Le plan Anaconda;Der Anaconda-Plan;;;;;;;;;;;x
anaconda_plan_desc;The Union is blockading our ports using Winfield Scott’s Anaconda Plan. While they do, our war exhaustion will increase at an increased rate, slowly choking us to death. We must secure port access!;;;;;;;;;;;;;x
anglification;Anglicisation;;;;;;;;;;;;;x
angostura_iron;Angostura Iron;;;;;;;;;;;;;x
angostura_iron_desc;Rich deposits of high quality iron are being mined here.;;;;;;;;;;;;;x
ansei_purge;Ansei Purge;;;;;;;;;;;;;x
anti_jacobin_tract;Anti-Jacobin Tract;;;;;;;;;;;;;x
anti_jacobin_tract_desc;A tract arguing the causes of counter-revolution, order, religion, and monarchy has received widespread circulation in our country.;;;;;;;;;;;;;x
anti_manchu_sentiment;Anti-Manchu Sentiment;;;;;;;;;;;;;x
anti_manchu_sentiment_desc;There is a great deal of bitterness against the Qing Dynasty’s rulers in this province.;;;;;;;;;;;;;x
apache_raiders;Apache Raiders;;;;;;;;;;;;;x
armenian_diaspora;Armenian Diaspora;;;;;;;;;;;;;x
armenian_diaspora_desc;This province contains a minority population that comes from the Armenian diaspora.;;;;;;;;;;;;;x
assegai;Impi;;;;;;;;;;;;;x
assegai_desc;Military innovations such as the assegai, the age-grade regimental system and encirclement tactics helped make the Zulu one of the most powerful nations in southern and south-eastern Africa.;;;;;;;;;;;;;x
atlantic_slave_trade;The Atlantic Slave Trade;;;;;;;;;;;;;x
australia_goldrush;Australian Gold Rush;;;;;;;;;;;;;x
australia_migrations;Australian Gold Age;;;;;;;;;;;;;x
australia_migrations_vic;Australian Gold Age;;;;;;;;;;;;;x
baby_boom;Baby Boom;;;;;;;;;;;;;x
baby_boom_desc;Improvements in life conditions in our country are leading to a country-wide baby boom.;;;;;;;;;;;;;x
backed_down_on_promise;Backed Down on Promises;;;;;;;;;;;;;x
backed_down_on_promise_desc;Our government broke one or more important promises to our population.;;;;;;;;;;;;;x
backroom_boy;Backroom Boy;;;;;;;;;;;;;x
backroom_boy_desc;Our leader hails from the ranks of the bureaucracy, possessing a way of ensuring the country’s administration is run smoothly.;;;;;;;;;;;;;x
bad_badboy;International Isolation;;;;;;;;;;;;;x
bad_badboy_desc;Our great nation has acquired many enemies and now most of the nations in the world see us as an international threat. They joined forces to isolate us in an attempt to bring us down.;;;;;;;;;;;;;x
bad_debter;Bad debtor;;;;;;;;;;;;;x
bad_debter_desc;Due to your country’s history of flaky economy banks will demand a higher interest on your loans;;;;;;;;;;;;;x
bad_iron;Inefficient Mining;;;;;;;;;;;;;x
inefficient_farming;Inefficient Farming;;;;;;;;;;;;;x
lean_stomachs;Our people are sated easily;;;;;;;;;;;;;x
balkan_assim_program;Balkan Assimilation Program;;;;;;;;;;;;;x
balkan_assim_program_desc;The Glorious Balkan Assimilation Program seeks to assimilate the foreign non-accepted cultures in the Balkans in order to properly bring them to Turkishness. Higher militancy and consciousness is to be expected, and the program has bled over into other parts of the nation as well.;;;;;;;;;;;;;x
banner_of_the_red;Banner of the Red;;;;;;;;;;;;;x
bazaari_strike;Bazaari strike;;;;;;;;;;;;;x
bazaari_strike_desc;Our merchant elites shut down all activities. The economy is taking a heavy blow.;;;;;;;;;;;;;x
beer_hall_putsch;Beer Hall Putsch;;;;;;;;;;;;;x
beer_halls;Beer Halls;;;;;;;;;;;;;x
beer_halls_desc;This province has a Beer Hall, a Saloon or a Bar for every occasion, and the citizens spend a fair amount of their time in them.;;;;;;;;;;;;;x
begin_disunited_states;Disunited States;;;;;;;;;;;;;x
begin_disunited_states_desc;With the transition of the United States away from democracy, the Sons of Liberty have arisen in an effort fight what they call tyranny. It will take time for this resistance to calm, and until it does there shall be much talk of secession and even open revolt.;;;;;;;;;;;;;x
begin_revolution;Revolutionary State;;;;;;;;;;;;;x
begin_revolution_desc;Our country is a fledgling state, founded in the midst of chaos and rebellion. But the people are willing to fight!;;;;;;;;;;;;;x
being_dismantled;Under Dismantlement;;;;;;;;;;;;;
being_dismantled_desc;Our country has lost and its empire is being divided by the winners.;;;;;;;;;;;;;
benefactor_ai;Benevolent Ruler;;;;;;;;;;;;;x
benefactor_ai_desc;The ruler of this country is benevolent and non-bellicose.;;;;;;;;;;;;;x
better_buisness_rights;Increased Business Rights;;;;;;;;;;;;;x
better_buisness_rights_desc;Social Programs are expensive and not needed, however, we still needed to appeal to the subjects in the Lowland areas. Therefore, we have lifted restrictions on local business and allow the employers to do our work. Though, we had to do the same in all areas of Germany, as to not favour them over the rest of Germany.;;;;;;;;;;;;;x
better_representation;Reform the Local Governments;;;;;;;;;;;;;x
better_representation_desc;Cutting Taxes is out of the question, however, we have reformed to local state governments to the wishes of our Lowland subjects. Though, we had to do the same in all areas of Germany, as to not favour them over the rest of Germany.;;;;;;;;;;;;;x
big_ukrainian_breadbasket;Ukrainian Breadbasket;;;;;;;;;;;;;x
big_ukrainian_breadbasket_desc;A region fast becoming the ‘breadbasket’ of the empire, Our Ukrainian governates are experiencing significant increases in the birth-rate of their populations!;;;;;;;;;;;;;x
bigben_construction;Reconstruction of the Palace of Westminster;;;;;;;;;;;;;x
bigben_construction_desc;The Palace of Westminster is being reconstructed and with it, a huge clock tower.;;;;;;;;;;;;;x
bioweapon_cooldown;Solomon Virus Under Cooldown;;;;;;;;;;;;;x
bioweapon_cooldown_desc;You must wait till the modifier disappears before deploying The Solomon Virus again.;;;;;;;;;;;;;x
birthrate_push_high;State Enforced Birthing Campaign;;;;;;;;;;;;;x
birthrate_push_high_desc;State Enforced Birthing Campaign;;;;;;;;;;;;;x
birthrate_push_low;Basic Growth Incentives;;;;;;;;;;;;;x
birthrate_push_low_desc;Basic Growth Incentives;;;;;;;;;;;;;x
birthrate_push_medium;Aggressive Pop-growth Campaign;;;;;;;;;;;;;x
birthrate_push_medium_desc;Aggressive Pop-growth Campaign;;;;;;;;;;;;;x
black_shirts;Blackshirts;;;;;;;;;;;;;x
black_shirts_desc;Blackshirts are provoking the residents in the province.;;;;;;;;;;;;;x
blacks_to_liberia;Afro American Resettlement;;;;;;;;;;;;;x
blanco_sympathies;Blanco Agitation;;;;;;;;;;;;;x
blanco_sympathies_desc;This region is under Blanco influence and it’s likely to cause trouble.;;;;;;;;;;;;;x
