CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
aborigine;Aborigine;Aborigène;Aborigine;;;;;;;;;;;x
acadian;Acadien;;;;;;;;;;;;;x
afar;Afar;Afar;Afar;;;;;;;;;;;x
african_minor;African Minor;Africain (petits États);Afrikanische Kleinstaaten;;;;;;;;;;;x
afro_american;Afro-American;Afro-américain;Afroamerikanisch;;;;;;;;;;;x
afro_antillean;Afro-Caribéens;;;;;;;;;;;;;x
afro_brazilian;Afro-Brazilian;Afro-brésilien;Afrobrasilianisch;;;;;;;;;;;x
afro_caribbean;Afro-Caribbean;Afro-caraïbe;Afrokaribisch;;;;;;;;;;;x
afro_caribeno;Afrocaribeño;;;;;;;;;;;;;x
aimara;Aymara;Aymara;Aimara;;;;;;;;;;;x
ainu;Ainu;Aïnou;Ainu;;;;;;;;;;;x
akan;Akan;Akan;Akan;;;;;;;;;;;x
alaskan;Alaskan;;;;;;;;;;;;;x
alawites;Alawite;;;;;;;;;;;;;x
albanian;Albanian;Albanais;Albanisch;;;;;;;;;;;x
aleut;Aleut;;;;;;;;;;;;;x
amazonian;Amazonian;Amazonien;Amazonisch;;;;;;;;;;;x
ambundu;Ambundu;;;;;;;;;;;;;x
amhara;Amhara;Amharique;Amhara;;;;;;;;;;;x
andanamese;Andanamese;;;;;;;;;;;;;x
anglo_canadian;Anglo-Canadian;Anglo-canadien;Anglokanadisch;;;;;;;;;;;x
anglo_indian;Anglo-Indian;;;;;;;;;;;;;x
anishinaabe;Chippewa;;;;;;;;;;;;;x
apache;Apache;;;;;;;;;;;;;x
arawak;Arawak;;;;;;;;;;;;;x
argentinian;Argentine;;;;;;;;;;;;;x
armenian;Armenian;Arménien;Armenisch;;;;;;;;;;;x
arpitan;Arpitan;;;;;;;;;;;;;x
ashkenazi;Ashkenazi;Ashkénaze;Aschkenasisch;;;;;;;;;;;x
asian_minor;Asian Minor;Asiatique (Asie mineure);Asiatische Kleinstaaten;;;;;;;;;;;x
assamese;Assamese;Assamais;Assamisch;;;;;;;;;;;x
assyrian;Assyrian;;;;;;;;;;;;;x
athabaskan;Athabaskan;;;;;;;;;;;;;x
australian;Australasian;;;;;;;;;;;;;x
avadhi;Avadhi;Avadhi;Avadhi;;;;;;;;;;;x
avars;Avars;;;;;;;;;;;;;x
azande;Azande;Zandé;Azande;;;;;;;;;;;x
azerbaijani;Azeri;;;;;;;;;;;;;x
baganda;Baganda;Baganda;Baganda;;;;;;;;;;;x
baguirmi;Maban;;;;;;;;;;;;;x
bakongo;Bakongo;Bakongo;Bakongo;;;;;;;;;;;x
baluchi;Baluchi;Baloutche;Baluchisch;;;;;;;;;;;x
bambara;Bambara;Bambara;Bambara;;;;;;;;;;;x
basque;Basque;Basque;Baskisch;;;;;;;;;;;x
bedouin;Bedouin;Bédouin;Beduinisch;;;;;;;;;;;x
beifaren;North Han;;;;;;;;;;;;;x
beja;Beja;Bedja;Beja;;;;;;;;;;;x
bengali;Bengali;Bengali;Bengalisch;;;;;;;;;;;x
berber;Berber;Berbère;Berber;;;;;;;;;;;x
bihari;Bihari;Bihari;Bihari;;;;;;;;;;;x
blackfoot;Blackfoot;;;;;;;;;;;;;x
boer;Afrikaner;;;;;;;;;;;;;x
bolivian;Bolivian;;;;;;;;;;;;;x
bosniak;Bosniak;Bosniaque;Bosnisch;;;;;;;;;;;x
brazilian;Brazilian;Brésilien;Brasilianisch;;;;;;;;;;;x
breton;Breton;Breton;Bretonisch;;;;;;;;;;;x
british;English;;;;;;;;;;;;;x
bulgarian;Bulgarian;Bulgare;Bulgarisch;;;;;;;;;;;x
burmese;Burmese;Birman;Burmesisch;;;;;;;;;;;x
byelorussian;Byelorussian;Biélorusse;Weißrussisch;;;;;;;;;;;x
cajun;Cajun;;;;;;;;;;;;;x
californian;Californian Indian;;;;;;;;;;;;;x
carib;Carib;;;;;;;;;;;;;x
caribeno;Caribeno;Caribe;Caribeno;;;;;;;;;;;x
catalan;Catalan;Catalan;Katalanisch;;;;;;;;;;;x
central_american;Central American;Centre-américain;Mittelamerikanisch;;;;;;;;;;;x
chechen;Chechen;;;;;;;;;;;;;x
cherokee;Cherokee;Cherokee;Cherokee;;;;;;;;;;;x
chewa;Chewa;Chichewa;Chewa;;;;;;;;;;;x
cheyenne;Cheyenne;;;;;;;;;;;;;x
chibchan;Guaymí;;;;;;;;;;;;;x
chickasaw;Chickasaw;;;;;;;;;;;;;x
chilean;Chilean;;;;;;;;;;;;;x
chipewyan;Chipewyan;;;;;;;;;;;;;x
choctaw;Choctaw;;;;;;;;;;;;;x
chokwe;Chokwe;;;;;;;;;;;;;x
circassian;Circassian;;;;;;;;;;;;;x
coastal_indian;Northwest Coast Indian;;;;;;;;;;;;;x
colombian;Colombian;;;;;;;;;;;;;x
comanche;Comanche;;;;;;;;;;;;;x
copt;Copt;;;;;;;;;;;;;x
cossack;Cossack;;;;;;;;;;;;;x
cree;Cree;Cri;Cree;;;;;;;;;;;x
croat;Croatian;Croate;Kroatisch;;;;;;;;;;;x
crow;Crow;;;;;;;;;;;;;x
cushitic;Cushitic;;;;;;;;;;;;;x
czech;Czech;Tchèque;Tschechisch;;;;;;;;;;;x
dagestani;Nogais;;;;;;;;;;;;;x
dakota;Sioux;;;;;;;;;;;;;x
danish;Danish;Danois;Dänisch;;;;;;;;;;;x
dargins;Dargins;;;;;;;;;;;;;x
dayak;Dajak;Dayak;Dayak;;;;;;;;;;;x
dinka;Dinka;Dinka;Dinka;;;;;;;;;;;x
dixie;Dixie;Dixie;Dixie;;;;;;;;;;;x
dutch;Dutch;Néerlandais;Niederländisch;;;;;;;;;;;x
druzes;Druze;;;;;;;;;;;;;x
dyula;Dyula;Dioula;Dyula;;;;;;;;;;;x
east_kwa;Kwa;;;;;;;;;;;;;x
ecuadorian;Ecuadorian;;;;;;;;;;;;;x
edo;Edo;Edo;Edo;;;;;;;;;;;x
estonian;Estonian;Estonien;Estnisch;;;;;;;;;;;x
ewe;Ewe;Ewe;Ewe;;;;;;;;;;;x
fang;Fang;Fang;Fang;;;;;;;;;;;x
filipino;Filipino;Philippin;Filipino;;;;;;;;;;;x
finnish;Finnish;Finlandais;Finnisch;;;;;;;;;;;x
flemish;Flemish;Flamand;Flämisch;;;;;;;;;;;x
fon;Fon;Fon;Fon;;;;;;;;;;;x
forest_bantu;Equatorial Bantu;;;;;;;;;;;;;x
formosan;Formosan;;;;;;;;;;;;;x
french;French;Français;Französisch;;;;;;;;;;;x
french_australian;French-Australasien;;;;;;;;;;;;;x
french_canadian;French-Canadien;Franco-canadien;Frankokanadisch;;;;;;;;;;;x
neolatin;Neolatin;;;;;;;;;;;;;x
frisian;Frisian;;;;;;;;;;;;;x
fuegian;Fuegian;;;;;;;;;;;;;x
fulbe;Fulbe;Fulbe;Fulbe;;;;;;;;;;;x
fur;Fur;Fur;Fur;;;;;;;;;;;x
galician;Galician;;;;;;;;;;;;;x
georgian;Georgian;Géorgien;Georgisch;;;;;;;;;;;x
greek;Greek;Grec;Griechisch;;;;;;;;;;;x
griqua;Cape Coloured;;;;;;;;;;;;;x
guarani;Guaraní;Guarani;Guarani;;;;;;;;;;;x
gujarati;Gujarati;Gujrati;Gujarati;;;;;;;;;;;x
gur;Gur;;;;;;;;;;;;;x
gypsy;Roma;;;;;;;;;;;;;x
haida;Haida;;;;;;;;;;;;;x
hakka;Hakka;Hakka;Hakka;;;;;;;;;;;x
han_chinese;Han;;;;;;;;;;;;;x
hanhui;Hui;;;;;;;;;;;;;x
harari;Harari;;;;;;;;;;;;;x
hausa;Hausa;Haoussa;Hausa;;;;;;;;;;;x
hawaiian;Hawaiian;Hawaïen;Hawaiianisch;;;;;;;;;;;x
hazara;Hazara;Hazaréen;Hazara;;;;;;;;;;;x
herero;Owambo;Héréro;Herero;;;;;;;;;;;x
hungarian;Hungarian;Hongrois;Ungarisch;;;;;;;;;;;x
ibibio;Ibibio;Ibibio;Ibibio;;;;;;;;;;;x
ibo;Ibo;Ibo;Ibo;;;;;;;;;;;x
icelandic;Icelandic;Islandais;Isländisch;;;;;;;;;;;x
innu;Montagnais;;;;;;;;;;;;;x
inuit;Inuit;Inuit-Yup’ik;Inuit-Yup’ik;;;;;;;;;;;x
irish;Irish;Irlandais;Irisch;;;;;;;;;;;x
iroquois;Iroquois;;;;;;;;;;;;;x
itsekari;Ijaw;;;;;;;;;;;;;x
japanese;Japanese;Japonais;Japanisch;;;;;;;;;;;x
javan;Javan;Javanais;Javanisch;;;;;;;;;;;x
kachin;Kachin;Kachin;Kachin;;;;;;;;;;;x
kanauji;Kanauji;Kanauji;Kanauji;;;;;;;;;;;x
kannada;Kannada;Kannara;Kannada;;;;;;;;;;;x
kanuri;Kanuri;Kanuri;Kanuri;;;;;;;;;;;x
karen;Karen;Karen;Karen;;;;;;;;;;;x
karamanlides;Karamanlides;;;;;;;;;;;;;x
kashmiri;Kashmiri;Kashmiri;Kaschmirisch;;;;;;;;;;;x
kazak;Kazak;Kazak;Kasachisch;;;;;;;;;;;x
kefficho;Omotic;;;;;;;;;;;;;x
khasi;Khasi;;;;;;;;;;;;;x
khmer;Khmer;Khmer;Khmer;;;;;;;;;;;x
khmu;Khmu;;;;;;;;;;;;;x
khoisan;San;Khoïsan;Khoisan;;;;;;;;;;;x
kikuyu;Kikuyu–Kamba;;;;;;;;;;;;;x
kingwana;Kingwana;;;;;;;;;;;;;x
kirgiz;Kirgiz;Kirghize;Kirgisisch;;;;;;;;;;;x
korean;Korean;Coréen;Koreanisch;;;;;;;;;;;x
