CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
animist;Animist;Animistes;Animistisch;;;;;;;;;;;x
animist_country;Animist Country;;;;;;;;;;;;;x
bektashi;Alevi Muslim;Alevi Muslim;Alevi Muslim;;;;;;;;;;;x
bektashi_country;Alevi Islamic Country;;;;;;;;;;;;;x
catholic;Catholic;Catholiques;Katholisch;;;;;;;;;;;x
catholic_country;Roman Catholic Country;;;;;;;;;;;;;x
coptic;Oriental Orthodox;;;;;;;;;;;;;x
coptic_country;Oriental Orthodox Country;;;;;;;;;;;;;x
druze;Druze;Sunni Muslim;Sunni Muslim;;;;;;;;;;;x
druze_country;Druze Country;;;;;;;;;;;;;x
gelugpa;Vajrayana Buddhist;Gelugpa;Gelugpa;;;;;;;;;;;x
gelugpa_country;Vajrayana Buddhist Country;;;;;;;;;;;;;x
hindu;Hindu;Hindous;Hindu;;;;;;;;;;;x
hindu_country;Hindu Country;;;;;;;;;;;;;x
ibadi;Ibadi Muslim;Ibadi Muslim;Ibadi Muslim;;;;;;;;;;;x
ibadi_country;Ibadi Islamic Country;;;;;;;;;;;;;x
jewish;Jewish;Juifs;Jüdisch;;;;;;;;;;;x
jewish_country;Jewish Country;;;;;;;;;;;;;x
mahayana;Mahayana Buddhist;Mahayana;Mahayana;;;;;;;;;;;x
mahayana_country;Mahayana Buddhist Country;;;;;;;;;;;;;x
mormon;Mormon;;;;;;;;;;;;;x
mormon_country;Church of Latter-Day Saints Country;;;;;;;;;;;;;x
orthodox;Eastern Orthodox;Orthodoxes;Orthodox;;;;;;;;;;;x
orthodox_country;Orthodox Catholic Country;;;;;;;;;;;;;x
protestant;Protestant;Protestants;Protestantisch;;;;;;;;;;;x
protestant_country;Protestant Country;;;;;;;;;;;;;x
shiite;Shia Muslim;Shia Muslim;Shia Muslim;;;;;;;;;;;x
shiite_country;Shia Islamic Country;;;;;;;;;;;;;x
shinbutsu;Shinbutsu-shugo;;;;;;;;;;;;;x
shinbutsu_country;Shinbutsu-shugo Country;;;;;;;;;;;;;x
shinto;Shinto;Shintoïstes;Shinto;;;;;;;;;;;x
shinto_country;Shinto Country;;;;;;;;;;;;;x
sikh;Sikh;Sikhs;Sikh;;;;;;;;;;;x
sikh_country;Sikhi Country;;;;;;;;;;;;;x
sunni;Sunni Muslim;Sunni Muslim;Sunni Muslim;;;;;;;;;;;x
sunni_country;Sunni Islamist Country;;;;;;;;;;;;;x
theravada;Theravada Buddhist;Theravada;Theravada;;;;;;;;;;;x
theravada_country;Theravada Buddhist Country;;;;;;;;;;;;;x
yazidi;Yazidi;;;;;;;;;;;;;x
yazidi_country;Yazidist Country;;;;;;;;;;;;;x
zoroastrian;Zoroastrian;;;;;;;;;;;;;x
zoroastrian_country;Zoroastrian Country;;;;;;;;;;;;;x
