CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
aristocrats;Landowners;;;;;;;;;;;;;x
artisans;Artisans;;;;;;;;;;;;;x
bureaucrats;Bureaucrats;;;;;;;;;;;;;x
capitalists;Capitalists;;;;;;;;;;;;;x
clergymen;Intellectuals;;;;;;;;;;;;;x
clerks;Clerks;;;;;;;;;;;;;x
craftsmen;Craftsmen;;;;;;;;;;;;;x
farmers;Farmers;;;;;;;;;;;;;x
labourers;Labourers;;;;;;;;;;;;;x
nomads;Nomads;;;;;;;;;;;;;x
officers;Officers;;;;;;;;;;;;;x
pioneers;Pioneers;;;;;;;;;;;;;x
post_revolt_bureau;Apparatchiks;;;;;;;;;;;;;x
serfs;Serfs;;;;;;;;;;;;;x
slaves;Slaves;;;;;;;;;;;;;x
soldiers;Soldiers;;;;;;;;;;;;;x
tribals;Tribesmen;;;;;;;;;;;;;x
