CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
acceptable_health_care;Acceptable Healthcare;;;;;;;;;;;;;x
acceptable_health_care_desc;Medicine is a fully-fledged profession, with doctors and nurses graduating with complete understanding of the human body and a vast knowledge of diseases and how to treat them. Sterilization of the facilities and equipment is common, with Chamberland Filters used to filter water and the Chamberland Autoclave used for heating solutions above their boiling point to destroy dangerous microorganisms. Government agencies exist to enforce sanitation controls and ensure there’s no overcrowding. Finding a clinic in an urban centre is a relatively easy job and hospitals abandoned oil lamps in favour of gaslights that increase the efficiency of staff.\n§YFor the full effects of this reform, your administration spending should be at least 40%.§W;;;;;;;;;;;;;x
acceptable_health_care_l;Acceptable Healthcare;Système de santé acceptable;Akzeptable Gesundheitsfürsorge;;;;;;;;;;;x
acceptable_minimum_wage;Acceptable Minimum Wage;Salaire minimum acceptable;Akzeptabler Mindestlohn;;;;;;;;;;;x
acceptable_minimum_wage_desc;Minimum wages are acceptable to most people.;Les salaires minimum sont acceptables.;Die Mindestlöhne sind für die meisten akzeptabel.;;;;;;;;;;;x
acceptable_minimum_wage_l;Acceptable Min. Wage;Salaire min. acceptable;Akzeptabler Mindestlohn;;;;;;;;;;;x
acceptable_pensions;Acceptable Pensions;Pensions acceptables;Akzeptable Renten;;;;;;;;;;;x
acceptable_pensions_desc;Acceptable state pensions.;Pensions d'État acceptables.;Akzeptable staatliche Renten.;;;;;;;;;;;x
acceptable_pensions_l;Acceptable Pensions;Pensions acceptables;Akzeptable Renten;;;;;;;;;;;x
acceptable_safety;Regular Safety Regulations;;;;;;;;;;;;;x
acceptable_safety_desc;Safety regulations extend to all workplaces in our country. Government agencies label agricultural chemicals for toxicity and potential health impacts, mining and construction workers are required to use protection gear and hand brakes operated by workers riding on top of train cars were abolished. Employees have their rights guaranteed and getting compensation for accidents that happen due to employer negligence is a common occurrence. Government help to the victims is reasonable.;;;;;;;;;;;;;x
acceptable_safety_l;Acceptable Safety;Sécurité acceptable;Akzeptable Sicherheitsvorschriften;;;;;;;;;;;x
acceptable_schools;Acceptable School System;;;;;;;;;;;;;x
acceptable_schools_desc;Schools can be found in every major and most of the medium cities. A government agency exists to ensure quality standards in education and to inspect that proper facilities are used for it. Enrolment is encouraged and sometimes it’s outright mandatory, but it’s not properly enforced and pupils often don’t go to school for a variety of reasons. Children are also taught math and a few other subjects. Education institutions for teenagers are starting to appear, and secular, higher education institutions for adults are common. Teachers are formally trained, but oftentimes poorly.\n§YFor the full effects of this reform, your education spending should be at least 40%.§W\n§RIf average literacy is more than 25%, education funding needs to be more than 10%. If it is 50%, funding needs to be at least 20%. If it is 75%, funding needs to be at least 30%. Otherwise literacy will start to fall.§W;;;;;;;;;;;;;x
acceptable_schools_fully_funded;Fully Funded Education;;;;;;;;;;;;;x
acceptable_schools_l;Acceptable School System;;;;;;;;;;;;;x
acceptable_subsidies;Extended Subsidies;Allocations étendues;Ausgedehnte Unterstützung;;;;;;;;;;;x
acceptable_subsidies_desc;Extended unemployment subsidies.;Allocations chômage étendues.;Ausgedehnte Arbeitlosenunterstützung.;;;;;;;;;;;x
acceptable_subsidies_l;Extended Subsidies;;;;;;;;;;;;;x
admin_reform;Administrative Reform;;;;;;;;;;;;;x
admin_reform_l;Administrative Reform;;;;;;;;;;;;;x
admin_reform_two;Foreign-Trained Civil Service;;;;;;;;;;;;;x
admin_reform_two_desc;The national administration is now run by western-educated bureaucrats;;;;;;;;;;;;;x
all_trade_unions;All Unions Allowed;;;;;;;;;;;;;x
all_trade_unions_desc;All trade unions are allowed.;Tous les syndicats sont autorisés.;Alle Gewerkschaften werden gestattet.;;;;;;;;;;;x
all_trade_unions_l;All Trade Unions;Tous les syndicats;Alle Gewerkschaften;;;;;;;;;;;x
all_voting_pops;All Allowed Rights;;;;;;;;;;;;;x
all_voting_pops_desc;All state populace, regardless of the culture, is allowed to vote. Acquiring citizenship status is facilitated.;;;;;;;;;;;;;x
all_voting_pops_l;All Allowed Rights;;;;;;;;;;;;;x
anti_industrial;Luddites;;;;;;;;;;;;;x
anti_industrial_desc;The government is opposed to industrial development.;;;;;;;;;;;;;x
anti_industrial_l;Laddish;;;;;;;;;;;;;x
anti_jacobin_movement;Anti-Jacobin;;;;;;;;;;;;;x
anti_jacobin_movement_desc;A reaction to the Jacobins and the struggle for democracy, reactionary elements in countries became very entrenched against democracy as a concept-calling it ‘inherently flawed’ and misguided, as well as a source of chaos, rather than holding the possibility of anything useful or good.;;;;;;;;;;;;;x
appointed;UH Appointed;;;;;;;;;;;;;x
appointed_desc;Aristocrats or capitalists have been assigned seats in the Upper House by the leader of the country.;Le dirigeant du pays a attribué aux aristocrates ou aux capitalistes des sièges à la Chambre haute.;Aristokraten oder Kapitalisten wurden vom Anführer des Landes Sitze im Oberhaus zugeteilt.;;El líder del país asigna los escaños de la cámara alta a Aristócratas o Capitalistas.;;;;;;;;;x
appointed_l;Appointed UH;Chambre haute nommée;Ernanntes UH;;;;;;;;;;;x
army_academies_desc;We have established a national college to train our officers.;;;;;;;;;;;;;x
army_academies_l;Army academies;;;;;;;;;;;;;x
army_schools;Army Training;;;;;;;;;;;;;x
army_schools_l;Army Training;;;;;;;;;;;;;x
army_schools_two;Military academies;;;;;;;;;;;;;x
army_schools_two_desc;Our officers are instructed in advanced military tactics before leading men into battle;;;;;;;;;;;;;x
bankruptcy;Bankruptcy;;;;;;;;;;;;;x
bankruptcy_desc;Debtors are allowed to declare bankruptcy and have their previous debts declared null and void.;;;;;;;;;;;;;x
bankruptcy_l;Bankruptcy;;;;;;;;;;;;;x
border_policy;Border Policy;;;;;;;;;;;;;x
capital_punishment;Capital Punishment;;;;;;;;;;;;;x
capital_punishment_desc;Convicts are killed for relatively minor crimes.;;;;;;;;;;;;;x
capital_punishment_l;Capital Punishment;;;;;;;;;;;;;x
censored_press;Censored Press;Presse censurée;Pressezensur;;;;;;;;;;;x
censored_press_desc;While allowed a relative amount of freedom, the press is still censored by the government.;La liberté de la presse est autorisée, mais censurée par le gouvernement.;Freie Presse ist gestattet, wird aber von der Regierung zensiert.;;;;;;;;;;;x
censored_press_l;Censored Press;Presse censurée;Pressezensur;;;;;;;;;;;x
centralization;Centralization;;;;;;;;;;;;;x
child_labor;Child Labour;;;;;;;;;;;;;x
child_labor_illegal;Child Labour Illegal;;;;;;;;;;;;;x
child_labor_illegal_desc;Child Labour is viewed as immoral and is illegal.;;;;;;;;;;;;;x
child_labor_illegal_l;Child Labour Illegal;;;;;;;;;;;;;x
child_labor_legal;Child Labour Legal;;;;;;;;;;;;;x
child_labor_legal_desc;No child labour regulation exists.;;;;;;;;;;;;;x
child_labor_legal_l;Child Labour Legal;;;;;;;;;;;;;x
child_labor_restricted;Child Labour Restricted;;;;;;;;;;;;;x
child_labor_restricted_desc;Children cannot work in certain dangerous professions.;Restricted;Restricted;;;;;;;;;;;x
child_labor_restricted_l;Child Labour Restricted;;;;;;;;;;;;;x
citizens_rights;Political Rights;;;;;;;;;;;;;x
citizenship_policy;Citizenship Policy;Polit. de citoyenneté;Bürgerrechtspolitik;;Política de ciudadanía;;;;;;;;;x
