CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x;
13in_main_battery;13.5-in Main Battery;;;;;;;;;;;;;x;
13in_main_battery_desc;Description goes here.;;;;;;;;;;;;;x;
15_inch_main_armament;15-inch Main Armament;;;;;;;;;;;;;x;
15_inch_main_armament_desc;The main armament of the first dreadnoughts consisted in most cases of 12-inch or 13.5-inch guns, but modern navies soon began to desire a larger calibre main armament. This resulted in later battleships being armed with 15-inch or 16-inch main guns, which had significantly greater destructive power and range than their predecessors.;;;;;;;;;;;;;x;
76_millimeter_gun;76 Millimetre Gun;;;;;;;;;;;;;x;
76_millimeter_gun_desc;Artillery weapons have become even larger, and capable of delivering even larger ordinance. These weapons are the future of modern warfare.;;;;;;;;;;;;;x;
8in_secondary_guns;8-inch Secondary Guns;;;;;;;;;;;;;x;
8in_secondary_guns_desc;Description goes here.;;;;;;;;;;;;;x;
9in_secondary_guns;9.2-inch Secondary Guns;;;;;;;;;;;;;x;
9in_secondary_guns_desc;Description goes here.;;;;;;;;;;;;;x;
academic_training;Naval Academic Training;;;;;;;;;;;;;x;
academic_training_desc;This meant that to become an officer it was no longer enough to be of gentle blood. You also had to attend a formal education which could at best be as good as any college. This was one of the most important causes behind the professionalization of the officers corps.;;;;;;;;;;;;;x;
accelerated_vulcanization;Accelerated Sulfur Vulcanisation;;;;;;;;;;;;;x;
accelerated_vulcanization_desc;Description goes here.;;;;;;;;;;;;;x;
adam_smith;Adam Smith;;;;;;;;;;;;;x;
adam_smith_desc;Adam Smith was a Scottish Enlightenment philosopher of political economy. He was author of The Theory of Moral Sentiments and An Inquiry into the Nature and Causes of the Wealth of Nations. Smith promoted the central tenement of Capitalism as the individual pursuing his own self-interest, and in so doing, promoting the greater good. He talked about the ‘invisible hand’ that would guide the actions of individuals and argued against government interference in all but a few aspects of the economy.;;;;;;;;;;;;;x;
adolph_wagner;Adolph Wagner;;;;;;;;;;;;;x;
adolph_wagner_desc;Although one of the more active members of Schmoller’s Verein, Wagner actually supported Menger in the Methodenstreit. His work on public finance is what he is best known for in economics. Outside economics, he was a companion of Lassalle and Rodbertus—although not sharing wholly in their socialist ideals and of more conservative instincts in political matters, Wagner was a severe critic of unfettered capitalism and recommended state alleviation of the burden upon labour. He wrote ‘Science of Finance Vol 1–4’ (1877–1901), and ‘Foundations of Political Economy’ (1876).;;;;;;;;;;;;;x;
advanced_battlecruisers;Advanced Battlecruisers;;;;;;;;;;;;;x;
advanced_battlecruisers_desc;Description goes here.;;;;;;;;;;;;;x;
advanced_battleships;Advanced Battleships;;;;;;;;;;;;;x;
advanced_battleships_desc;The experiences of the First World War lead to a series of design improvements for battleships, including a more effective use of armour protection to defend against plunging fire, improved protection against torpedoes, the widespread use of oil-driven propulsion, and further refinements in armament and fire control. Though few battleships were constructed in the first years after the First World War, due to economic constraints and treaty limitations, existing battleships were refitted to incorporate these advances in design.;;;;;;;;;;;;;x;
advanced_cruisers;Advanced Cruisers;;;;;;;;;;;;;x;
advanced_cruisers_desc;By the early 1920s cruiser design focussed on two main types: light cruisers, generally with 6-inch main armament, and heavy cruisers, generally with 8-inch main armament. Their primary roles were fleet support in combination with destroyers, defence of sea lanes, and raiding.;;;;;;;;;;;;;x;
advanced_destroyers;Advanced Destroyers;;;;;;;;;;;;;x;
advanced_destroyers_desc;Description goes here.;;;;;;;;;;;;;x;
advanced_drilling_techniques;Advanced Drilling Techniques;;;;;;;;;;;;;x;
