CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
ad_hoc_money_bill_printing;Ad-Hoc Banknote Printing;;;;;;;;;;;;;x
ad_hoc_money_bill_printing_desc;Ad-Hoc Banknote Printing;;;;;;;;;;;;;x
advanced_metallurgy;Open-Hearth Furnace;;;;;;;;;;;;;x
advanced_metallurgy_desc;Open-Hearth Furnace;;;;;;;;;;;;;x
advanced_naval_design;Advanced Naval Design;;;;;;;;;;;;;x
advanced_naval_design_desc;Advanced Naval Design;;;;;;;;;;;;;x
aeronautics;Military Aeronautics;;;;;;;;;;;;;x
aeronautics_desc;Military Aeronautics;;;;;;;;;;;;;x
aesthetics;Modern Aesthetic;;;;;;;;;;;;;x
aesthetics_desc;This area involves the development and refinements in Literature, Art and Music.;;;;;;;;;;;;;x
alphabetic_flag_signaling;Alphabetic Flag Signalling;;;;;;;;;;;;;x
alphabetic_flag_signaling_desc;Alphabetic Flag Signalling;;;;;;;;;;;;;x
analytic_philosophy;Analytic Philosophy;;;;;;;;;;;;;x
analytic_philosophy_desc;Analytic Philosophy;;;;;;;;;;;;;x
anti__rationalism;Anti-Rationalism;;;;;;;;;;;;;x
anti__rationalism_desc;Anti-Rationalism;;;;;;;;;;;;;x
army_command_principle;Military Command Principle;;;;;;;;;;;;;x
army_command_principle_desc;Military Command Principle;;;;;;;;;;;;;x
army_decision_making;Army Decision Making;;;;;;;;;;;;;x
army_decision_making_desc;Army Decision Making;;;;;;;;;;;;;x
army_doctrine;Army Doctrine;;;;;;;;;;;;;x
army_doctrine_desc;This is the doctrinal change of your army. New ideas of how to move and defend while increase the defence of your units, increase their speed, and give you the possibility to enhance your fortifications.;;;;;;;;;;;;;x
army_leadership;Army Leadership;;;;;;;;;;;;;x
army_leadership_desc;This is the education and leadership principles used by your officer corps. Better leadership procedures will increase the organization and morale values of your units.;;;;;;;;;;;;;x
army_nco_training;NCO Military Training;;;;;;;;;;;;;x
army_nco_training_desc;NCO Military Training;;;;;;;;;;;;;x
army_professionalism;Army Professionalism;;;;;;;;;;;;;x
army_professionalism_desc;Army Professionalism;;;;;;;;;;;;;x
army_risk_management;Army Risk Management;;;;;;;;;;;;;x
army_risk_management_desc;Army Risk Management;;;;;;;;;;;;;x
army_tech;Army;;;;;;;;;;;;;x
army_tech_school;Military-Industrial Complex;;;;;;;;;;;;;x
assembly_line;Assembly Line;;;;;;;;;;;;;x
assembly_line_desc;Assembly Line;;;;;;;;;;;;;x
associationism;Associationism;;;;;;;;;;;;;x
associationism_desc;Associationism;;;;;;;;;;;;;x
bank_inspection_board;Bank Inspection Board;;;;;;;;;;;;;x
bank_inspection_board_desc;Bank Inspection Board;;;;;;;;;;;;;x
basic_chemistry;Basic Chemistry;;;;;;;;;;;;;x
basic_chemistry_desc;Basic Chemistry;;;;;;;;;;;;;x
battleship_column_doctrine;Battleship Column Doctrine;;;;;;;;;;;;;x
battleship_column_doctrine_desc;Battleship Column Doctrine;;;;;;;;;;;;;x
behaviorism;Behaviourism;;;;;;;;;;;;;x
behaviorism_desc;Behaviourism;;;;;;;;;;;;;x
biologism;Biologism;;;;;;;;;;;;;x
biologism_desc;Biologism;;;;;;;;;;;;;x
blue_and_brown_water_schools;Blue & Brown Water Schools;;;;;;;;;;;;;x
blue_and_brown_water_schools_desc;Blue and Brown Water Schools;;;;;;;;;;;;;x
bolt_action_rifles;Bolt-Action Rifles;;;;;;;;;;;;;x
bolt_action_rifles_desc;Bolt-Action Rifles;;;;;;;;;;;;;x
