CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
chapter_name_0;Introduction;Introduction;Einführung;;Introducción;;;;;;;;;x
chapter_name_1;Armies and Navies;Armées et flottes;Armeen und Flotten;;Ejércitos y flotas;;;;;;;;;x
chapter_name_2;Production;Production;Produktion;;Producción;;;;;;;;;x
chapter_name_3;Budget;Budget;Haushalt;;Presupuesto;;;;;;;;;x
chapter_name_4;Technology;Technologie;Technologie;;Tecnología;;;;;;;;;x
chapter_name_5;Politics;Politique;Politik;;Política;;;;;;;;;x
chapter_name_6;Population;Population;Bevölkerung;;Población;;;;;;;;;x
chapter_name_7;Trade;Commerce;Handel;;Comercio;;;;;;;;;x
chapter_name_8;Diplomacy;Diplomatie;Diplomatie;;Diplomacia;;;;;;;;;x
tut_0a_1;Welcome to Victoria 2;Bienvenue dans Victoria 2;Willkommen zu Victoria 2;;Bienvenido a Victoria 2;;;;;;;;;x
tut_0a_10;Technology—Here you control research of new technologies, each technology you research will help you with some aspect of your struggle for domination.;Technologie : cet écran vous permet de contrôler la recherche de nouvelles technologies. Chaque technologie mise au point contribue par certains aspects à votre lutte pour la domination.;Technologie—Hier können Sie die Erforschung neuer Technologien steuern. Jede erforschte Technologie hilft Ihnen bei Ihrem Kampf um die Weltherrschaft.;;Tecnología. Aquí controlas la investigación de nuevas tecnologías. Cada tecnología que investigues te ayudará en algún aspecto de tu lucha por la dominación.;;;;;;;;;x
tut_0a_11;Politics—One of the cornerstones of Victoria 2. Through the political system you guide your nation by setting reforms and supporting political parties. Just beware that your policies might upset various interest groups in your society.;Politique : la politique est un des fondements de Victoria 2. Le système politique vous permet de guider votre nation en engageant des réformes et en soutenant des partis politiques. Veillez à ce que vos politiques ne froissent pas certains groupes d'intérêt de votre société.;Politik—Einer der Eckpfeiler von Victoria 2. Über das politische System führen Sie Ihre Nation durch die Verfügung von Reformen und die Unterstützung politischer Parteien. Beachten Sie aber, dass Ihre politischen Strategien manche Interessengruppen Ihrer Gesellschaft verärgern können.;;Política. Una de las piedras angulares de Victoria 2. Mediante el sistema político, guías a tu nación estableciendo reformas y apoyando a partidos políticos. Pero ten cuidado porque tu política podría disgustar a varios grupos de interés de tu sociedad.;;;;;;;;;x
tut_0a_12;Population—Your population, the people that live in your country, is a major concern in Victoria 2. Many of your decisions will be made with your population in mind, and most will have consequences for your population, maybe today or maybe in several years.;Population : la population de votre pays joue un rôle prépondérant dans Victoria 2. Vous prendrez généralement vos décisions en pensant à votre population, et la plupart auront des conséquences sur elle, aujourd'hui ou dans plusieurs années.;Bevölkerung—Ihre Bevölkerung, also die Menschen, die in Ihrem Land leben, sind in Victoria 2 ein wichtiger Faktor. Viele Ihrer Entscheidungen beziehen sich auf Ihre Bevölkerung und die meisten haben Konsequenzen für sie. Vielleicht heute, vielleicht erst nach mehreren Jahren.;;Población. La población es la gente que vive en tu país, es una de las preocupaciones principales en Victoria 2. Muchas de tus decisiones las tomarás con tu población en mente, y la mayoría de ellas tendrán consecuencias para tu población, puede que hoy o dentro de varios años.;;;;;;;;;x
tut_0a_13;Trade—The goods that are produced by the industrial (and pre-industrial) society must be exchanged for money, this is done via the Trade Screen. Trade in Victoria 2 will go on without your interference, but you need to buy goods to supply your government and also monitor the market for possible effects of your country.;Commerce : les marchandises produites par la société industrielle (et préindustrielle) doivent être échangées contre de l'argent, et ce, grâce au commerce. Dans Victoria 2, vous n'intervenez pas dans le commerce, mais vous devez acheter des marchandises pour approvisionner votre gouvernement et surveiller le marché en vue de possibles effets sur votre pays.;Handel—Die von der (Vor-) Industriegesellschaft produzierten Güter müssen gegen Geld verkauft werden. Dies wird über den Handel realisiert. Der Handel in Victoria 2 läuft ohne Ihr Zutun ab, aber Sie müssen zur Unterstützung Ihrer Regierung Güter kaufen und den Markt für mögliche Auswirkungen auf Ihr Land beobachten.;;Comercio. Los bienes que produce la sociedad industrial (y preindustrial) deben cambiarse por dinero. Esta operación se hace a través de la pantalla de comercio. El comercio en Victoria 2 seguirá sin tu interferencia, pero necesitas adquirir mercancías para suministrárselas a tu gobierno y también controlar el mercado para ver los posibles efectos que produce en tu país.;;;;;;;;;x
tut_0a_14;Diplomacy—Another pillar of Victoria 2 is diplomacy. The making of alliances jousting for control over lesser nation is an essential part gaining the upper hand in the world.;Diplomatie : la diplomatie est un autre pilier de Victoria 2. L'établissement d'alliances en vue de contrôler une plus petite nation est un aspect essentiel pour se positionner parmi les pays les plus puissants du monde.;Diplomatie—Ein weiterer Eckpfeiler von Victoria 2 ist die Diplomatie. Das Schmieden von Bündnissen und der Kampf um die Kontrolle kleinerer Länder spielt bei Ihrem Streben nach der Weltherrschaft keinen unbedeutenden Teil.;;Diplomacia. Otro pilar de Victoria 2 es la diplomacia. La creación de alianzas que luchan por el control de una nación menor es una parte esencial para llevar la delantera en el mundo.;;;;;;;;;x
tut_0a_15;Military—Finally, the Art of War. The world of politics and diplomacy can only take you so far before you must let the cannons speak.;Armée : passons enfin à l'art de la guerre. La politique et la diplomatie s'arrêtent là où les canons entrent en action.;Militär—die Kunst des Krieges. Die Welt der Politik und Diplomatie hat auch ihre Grenzen—irgendwann werden Sie die Kanonen sprechen lassen müssen.;;Militar. Y, por último, el arte de la guerra. El mundo de la política y la diplomacia pueden impulsarte, pero llegará el momento en el que tendrás que dejar hablar a los cañones.;;;;;;;;;x
tut_0a_16;The Map;La carte;Die Karte;;El mapa;;;;;;;;;x
tut_0a_17;Most of the action takes place on the World Map, here you can see countries, buildings, and troops. You can a scroll the map by moving your mouse to the edge of the world, and you can zoom by using the mouse wheel. Try this for a bit then click next.;L'action se déroule principalement sur la carte du monde où sont représentés les pays, les bâtiments et les troupes. Pour faire défiler la carte, déplacez la souris vers le bord du monde et pour effectuer un zoom, utilisez la molette de la souris. Essayez, puis cliquez sur Suivant.;Die meisten Aktionen finden auf der Weltkarte statt. Hier können Sie die Länder, Gebäude und Truppen sehen. Wenn Sie Ihren Mauszeiger an den Rand der Welt bewegen, können Sie die Karte scrollen. Mit dem Mausrad können Sie sie vergrößern und verkleinern. Probieren Sie dies ein bisschen aus und klicken Sie dann auf Weiter.;;La mayor parte de la acción transcurre en el Mapa del mundo. Aquí puedes ver países, edificios y tropas. Puedes moverte por el mapa con el ratón hasta llegar al borde del mundo, y puedes ampliarlo con la rueda del ratón. Pruébalo un rato y después haz clic en Siguiente.;;;;;;;;;x
tut_0a_18;The Map;La carte;Die Karte;;El mapa;;;;;;;;;x
