CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
AGRESSION_CALL_ALLIES_WAR_NAME;$ORDER$$FIRST$ Call to Arms;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME;$ORDER$$FIRST$ Civil War;$ORDER$ guerre civile $FIRST$;$ORDER$$FIRST$ Bürgerkrieg;;;;;;;;;;;x
AGRESSION_CIVIL_WAR_NAME_ARC_ENT;The $ORDER$Platine War;;;;;;;;;;;;;x
AGRESSION_CIVIL_WAR_NAME_ENG_EIC;The East India Company Uprising;;;;;;;;;;;;;x
AGRESSION_CIVIL_WAR_NAME_QNG_TPG;$ORDER$Taiping Rebellion;;;;;;;;;;;;;x
AGRESSION_CUT_DOWN_TO_SIZE_OTTOMAN_WAR_NAME;The$ORDER$Great Eastern Crisis;;;;;;;;;;;;;x
AGRESSION_CUT_DOWN_TO_SIZE_OTTOMAN_WAR_NAME_RUS_TUR;The Great Eastern Crisis;;;;;;;;;;;;;x
AGRESSION_CUT_DOWN_TO_SIZE_WAR_NAME;$ORDER$War of $FIRST$ Aggression;$ORDER$$FIRST$ guerre d'aggression;$ORDER$$FIRST$er Angriffskrieg;;;;;;;;;;;x
AGRESSION_CUT_DOWN_TO_SIZE_WAR_NAME_CHL_PBC;The $ORDER$War of the Confederation;;;;;;;;;;;;;x
AGRESSION_CUT_DOWN_TO_SIZE_WAR_NAME_ENG_BUR;$ORDER$Anglo–Burmese War;;;;;;;;;;;;;x
AGRESSION_CUT_DOWN_TO_SIZE_WAR_NAME_FRA_ENG;The $ORDER$Anglo–French War;;;;;;;;;;;;;x
AGRESSION_CUT_DOWN_TO_SIZE_WAR_NAME_FRA_NGF;The $ORDER$Franco–Prussian War;$ORDER$ guerre franco-prussienne;$ORDER$Franco-Preussischer Krieg;;;;;;;;;;;x
AGRESSION_CUT_DOWN_TO_SIZE_WAR_NAME_FRA_PRU;The $ORDER$Franco–Prussian War;$ORDER$ guerre franco-prussienne;$ORDER$Franco-Preussischer Krieg;;;;;;;;;;;x
AGRESSION_CUT_DOWN_TO_SIZE_WAR_NAME_RUS_HUN;$ORDER$Russian Intervention in Hungary;;;;;;;;;;;;;x
AGRESSION_CUT_DOWN_TO_SIZE_WAR_NAME_RUS_TUR;The $ORDER$Crimean War;;;;;;;;;;;;;x
AGRESSION_CRIMEAN_WAR_NAME_RUS_TUR;The $ORDER$Crimean War;;;;;;;;;;;;;x
AGRESSION_DEMOCRACY_WAR_NAME;$ORDER$$FIRST$ Restoration of $SECOND$ Democracy;;;;;;;;;;;;;x
AGRESSION_EARLY_WAR_CONCESSION_NAME;$ORDER$War of the $STATE$ Concession;$ORDER$ Guerre de concession de $STATE$;$ORDER$ Krieg der $STATE$-Konzession;;;;;;;;;;;x
AGRESSION_PUNITIVE_EXPEDITION_WAR_NAME;The $ORDER$$FIRST$–$SECOND$ War;;;;;;;;;;;;;x
AGRESSION_PUNITIVE_EXPEDITION_WAR_NAME_ENG_PER;The $ORDER$Anglo–Persian War;;;;;;;;;;;;;x
AGRESSION_PUNITIVE_EXPEDITION_WAR_NAME_ENG_QNG;The $ORDER$Opium War;;;;;;;;;;;;;x
AGRESSION_PUNITIVE_EXPEDITION_WAR_NAME_ENG_TPG;$ORDER$Opium War;;;;;;;;;;;;;x
AGRESSION_SUBSTATE_STATE_NAME;$ORDER$$FIRST$ War of $COUNTRY_ADJ$ $STATE$;$ORDER$$FIRST$ guerre pour $STATE$;$ORDER$$FIRST$er Krieg um $STATE$;;;;;;;;;;;x
AGRESSION_SYKES_PICOT_WAR_NAME;The$ORDER$Asia Minor Expedition;;;;;;;;;;;;;x
AGRESSION_SYKES_PICOT_WAR_NAME_ENG_TUR;The Asia Minor Expedition;;;;;;;;;;;;;x
AGRESSION_UNIFICATION_HUMILIATE_NAME;The $FIRST$–$SECOND$ Brother’s War;$FIRST$-$SECOND$ guerre fraternelle;Der $FIRST$-$SECOND$ Bruderkrieg;;;;;;;;;;;x
AGRESSION_UNIFICATION_HUMILIATE_NAME_AUS_PRU;The Austro–Prussian Brother’s War;;;;;;;;;;;;;x
AGRESSION_UNIFICATION_HUMILIATE_NAME_NGF_AUS;The Austro–Prussian Brother’s War;;;;;;;;;;;;;x
AGRESSION_UNIFICATION_HUMILIATE_NAME_PRU_AUS;The Austro–Prussian Brother’s War;;;;;;;;;;;;;x
AGRESSION_WAR_ADD_SPHERE_NAME;$ORDER$War of $SECOND$ Subjugation;$ORDER$ guerre de la subjugation $SECOND$;$ORDER$Krieg der $SECOND$ Unterjochung;;;;;;;;;;;x
AGRESSION_WAR_ADD_SPHERE_NAME_ENG_MNP;British Intervention in Bahrain;;;;;;;;;;;;;x
AGRESSION_WAR_ADD_SPHERE_NAME_FRA_PAP;The Roman Revolution;;;;;;;;;;;;;x
AGRESSION_WAR_ALL_CORES_NAME;$ORDER$War of $FIRST$ Liberation;;;;;;;;;;;;;x
AGRESSION_WAR_ALL_CORES_NAME_ENG_USA;The $ORDER$Anglo–American War;;;;;;;;;;;;;x
AGRESSION_WAR_ALL_CORES_NAME_GER_AUS;$ORDER$War of German Unification;;;;;;;;;;;;;x
AGRESSION_WAR_ALL_CORES_NAME_GER_KUK;$ORDER$War of German Unification;;;;;;;;;;;;;x
AGRESSION_WAR_ALL_CORES_NAME_USA_ENG;The $ORDER$Anglo–American War;;;;;;;;;;;;;x
AGRESSION_WAR_ALL_CORES_NAME_USA_MEX;The $ORDER$Mexican–American War;;;;;;;;;;;;;x
AGRESSION_WAR_ALL_CORES_NAME_TUR_BHT;$ORDER$Bedr Khan's Revolt;;;;;;;;;;;;;x
AGRESSION_WAR_ALL_CORES_NAME_PER_BHT;$ORDER$Bedr Khan's Revolt;;;;;;;;;;;;;x
AGRESSION_WAR_AUSTRIAN_EMPIRE_NAME;$ORDER$$FIRST$–$SECOND$ War of Imperial Restoration;;;;;;;;;;;;;x
AGRESSION_WAR_AUSTRIAN_EMPIRE_NAME_AUS_KRA;The $ORDER$Kraków Uprising;;;;;;;;;;;;;x
AGRESSION_WAR_BOXER_NAME;Boxer War;;;;;;;;;;;;;x
AGRESSION_WAR_BRITISH_RAJ_NAME;$ORDER$$SECOND$ War of the British Raj;;;;;;;;;;;;;x
AGRESSION_WAR_CHINA_REUNIFICATION;$ORDER$War of Chinese Reunification;Guerre $ORDER$$FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ Krieg;;;;;;;;;;;x
AGRESSION_WAR_CIVIL_WAR_NAME_QNG_TPG;The Taiping Rebellion;;;;;;;;;;;;;x
AGRESSION_WAR_CIVIL_WAR_NAME_TPG_QNG;The Taiping Rebellion;;;;;;;;;;;;;x
AGRESSION_WAR_CIVIL_WAR_NAME_USA_CSA;The American Civil War;;;;;;;;;;;;;x
AGRESSION_WAR_COLONIAL_NAME;$ORDER$$FIRST$ Colonial War for $STATE$;$ORDER$$FIRST$ guerre coloniale pour $STATE$;$ORDER$$FIRST$ Kolonialkrieg um $STATE$;;;;;;;;;;;x
AGRESSION_WAR_COLONIAL_RECONQUEST_NAME;$ORDER$$FIRST$ War of Colonial Reconquest;;;;;;;;;;;;;x
AGRESSION_WAR_COLONY_NAME;$ORDER$$FIRST$ Colonial War for $COUNTRY$;$ORDER$$FIRST$ guerre coloniale pour $STATE$;$ORDER$$FIRST$er Kolonialkrieg um $STATE$;;;;;;;;;;;x
AGRESSION_WAR_CONCESSION_NAME;$ORDER$War of the $STATE$ Concession;$ORDER$ Guerre de concession de $STATE$;$ORDER$ Krieg der $STATE$-Konzession;;;;;;;;;;;x
AGRESSION_WAR_CONCESSION_NAME_ENG_ASH;The $ORDER$Ashanti Expedition;;;;;;;;;;;;;x
AGRESSION_WAR_CONCESSION_NAME_ENG_BUR;The 2nd Burma War;;;;;;;;;;;;;x
AGRESSION_WAR_CONCESSION_NAME_FRA_DAI;The Cochin China Campaign;;;;;;;;;;;;;x
AGRESSION_WAR_CONCESSION_NAME_NET_LAN;The Kongsi War;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_ANY_NAME;$ORDER$War of $FIRST$ Aggression against $SECOND_COUNTRY$;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_ANY_NAME_BHR_QAT;$ORDER$Qatari–Bahraini War;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_ANY_NAME_ENG_LHJ;The Aden Expedition;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_ANY_NAME_ENG_MUG;The Indian Rebellion;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_ANY_NAME_ENG_ORA;The Boer War;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_ANY_NAME_ENG_PNJ;The $ORDER$Anglo–Sikh War;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_ANY_NAME_ENG_SIK;The British Expedition to Sikkim;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_ANY_NAME_ENG_TRN;The Boer War;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_ANY_NAME_QNG_GUI;The Miao Rebellion;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_ANY_NAME_QNG_NIA;The Nian Rebellion;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_ANY_NAME_QNG_XBI;The Dungan Revolt in Qinghai;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_ANY_NAME_RUS_CIR;The $ORDER$Russo–Circassian War;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_ANY_NAME_RUS_CPL;The $ORDER$Polish War of Independence;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_ANY_NAME_RUS_DAG;The $ORDER$Murid War;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_ANY_NAME_SAR_PAP;The Expedition of the Thousand;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_ANY_NAME_SIC_SYC;The $ORDER$Sicilian Revolution;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_NAME;$ORDER$War of $FIRST$ Aggression against $SECOND_COUNTRY$;$ORDER$ guerre de l'aggression $FIRST$ sur $SECOND$;$ORDER$Krieg der $FIRST$ Aggression gegen $SECOND$;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_NAME_BRZ_URU;$ORDER$Cisplatine War;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_NAME_ENG_ASH;The War of the Golden Stool;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_NAME_ENG_ORA;The Boer War;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_NAME_ENG_TRN;The Boer War;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_NAME_FRA_TUN;The French Conquest of Tunisia;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_NAME_HAI_DOM;$ORDER$Dominican War of Independence;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_NAME_SAR_PAP;The Expedition of the Thousand;;;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_NAME_TUR_CRE;The $ORDER$Cretan Revolt;;;;;;;;;;;;;x
AGRESSION_WAR_DISMANTLE_NAME;$ORDER$War of $FIRST$ Aggression;$ORDER$ Offensive Militaire $FIRST$;$ORDER$ $FIRST$ Angriffskrieg;;;;;;;;;;;x
AGRESSION_WAR_ENFORCE_CLAYTON_TREATY;$FIRST$ War to Enforce Clayton-Bulwer Treaty on $SECOND$;;;;;;;;;;;;;x
AGRESSION_WAR_FORALLIES_NAME;$ORDER$$FIRST$ Conquest of $STATE$ for $COUNTRY$;;;;;;;;;;;;;x
AGRESSION_WAR_FREE_ALLIED_CORE_NAME;$ORDER$$FIRST$ War of $COUNTRY_ADJ$ Restoration;;;;;;;;;;;;;x
AGRESSION_WAR_FREE_BALKANS_NAME;The $ORDER$$FIRST$–$SECOND$ War of the Balkans;;;;;;;;;;;;;x
AGRESSION_WAR_FREE_NAME;$ORDER$$FIRST$ War of Propping up $COUNTRY$;$ORDER$$FIRST$ guerre de soutien de $COUNTRY$;$ORDER$$FIRST$ Krieg zur Absicherung von $COUNTRY$;;;;;;;;;;;x
AGRESSION_WAR_GUNBOAT_NAME;Gunboat Diplomacy;;;;;;;;;;;;;x
AGRESSION_WAR_HOLY_LAND_NAME;The $ORDER$$FIRST$–$SECOND$ Levantine War;;;;;;;;;;;;;x
AGRESSION_WAR_RECLAIM_THE_EMPIRE_NAME;The $ORDER$$FIRST$–$SECOND$ Imperial Restoratian War;;;;;;;;;;;;;x
AGRESSION_WAR_HUMILIATE_NAME;$ORDER$$FIRST$ War to Humiliate $SECOND$;$ORDER$ guerre pour l'honneur $FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ Krieg der Ehre;;;;;;;;;;;x
AGRESSION_WAR_HUMILIATE_NAME_AUS_FRA;The Rhine Crisis;;;;;;;;;;;;;x
AGRESSION_WAR_HUMILIATE_NAME_ENG_ETH;British Expedition to Abyssinia;;;;;;;;;;;;;x
AGRESSION_WAR_HUMILIATE_NAME_ENG_GRE;The $ORDER$Don Pacifico Affair;;;;;;;;;;;;;x
AGRESSION_WAR_HUMILIATE_NAME_ENG_TPG;British Intervention in China;;;;;;;;;;;;;x
AGRESSION_WAR_HUMILIATE_NAME_ENT_ARC;The Argentine Civil War;;;;;;;;;;;;;x
AGRESSION_WAR_HUMILIATE_NAME_FRA_KOR;French Expedition to Korea;;;;;;;;;;;;;x
AGRESSION_WAR_HUMILIATE_NAME_QNG_JAP;The $ORDER$Sino–Japanese War;;;;;;;;;;;;;x
AGRESSION_WAR_HUNGARIAN_GAME;The Great Hungarian Game;;;;;;;;;;;;;x
AGRESSION_WAR_GREAT_GAME;Russo-British Great Game Confrontation;;;;;;;;;;;;;x
AGRESSION_WAR_INDEPENDENCE_NAME;$ORDER$$FIRST$ War of Independence;$ORDER$$FIRST$ guerre d'indépendance;$ORDER$$FIRST$ Unabhängigkeitskrieg;;;;;;;;;;;x
AGRESSION_WAR_LIBERATE_BALKANS_NAME;$ORDER$$FIRST$–$SECOND$ War of the Balkans;;;;;;;;;;;;;x
