CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
central_asia_refugees;Helping people escape the desert!;;;;;;;;;;;;;x
central_asia_refugees_desc;Don't mind me. I'm here so units stuck in the Karakum and Kyzylkum can go home.;;;;;;;;;;;;;x
new_fancy_palace_modifier;New Palace;;;;;;;;;;;;;x
persian_cossacks_modifier;Persian Cossack Brigade;;;;;;;;;;;;;x
turkmenchay_treaty;Turkmenchay Treaty;;;;;;;;;;;;;x
amir_kabir_attending;Appointed Amir Kabir;;;;;;;;;;;;;x
naser_in_europe;The Shah's Tour of Europe;;;;;;;;;;;;;x
the_treaty_of_paris_persia_title;The Treaty of Paris;;;;;;;;;;;;;x
the_treaty_of_paris_persia_desc;The Treaty of Paris settles the war over Herat. In it Persia abandon all claims to Herat and the other Afghan principalities, recognising them as independent states outside of their sphere of influence.;;;;;;;;;;;;;x
the_sublime_threshold_title;The Sublime Threshold;;;;;;;;;;;;;x
the_sublime_threshold_desc;The Holiest cities of Shia Islam are -outside of Mecca and Medina- the shire cities of Iraq: Karbala and Najaf -containing the shires of Hussein and Ali respectively- and to a lesser extend Samarra and Baghdad. These cities are of great spiritual significance to our people, yet they remain subject to foreign domination. It would be a great coup if we could bring them under our total control.;;;;;;;;;;;;;x
second_treaty_of_erzurum_title;The Second Treaty of Erzurum;;;;;;;;;;;;;x
second_treaty_of_erzurum_desc;While various treaties have demarked the Persian-Ottoman border, tension have remained high throughout history. Today is no different, and various border incidents [of variable intensity] are threating to throw our empires into war. The Great Powers are fearful of this prospect and have offered to help us to demark the border and settle all remaining disputes for once and all. [Ottoman Empire looses all cores on all Persian owned provinces, Persia looses all cores on Ottoman owned provinces, should the other side accept.];;;;;;;;;;;;;x
per_expedition_to_europe_title;The Shah's Tour of Europe;;;;;;;;;;;;;x
per_expedition_to_europe_desc;Our prime minster has steadily been trying reform and modernise Persia, but it has been slow going. He has suggested making a trip to Europe to witness first handed the progress being made there. He hopes that seeing it first handed will allow us to learn from Europe and implement the necessary reforms here in Persia.;;;;;;;;;;;;;x
recognize_afghanistan_title;Recognise the Kingdom of Afghanistan;;;;;;;;;;;;;x
recognize_afghanistan_desc;The region currently occupied by Afghanistan had long been part of the territory ruled by the Persian dynasties. Only with the emergence of the Durrani dynasty has it become indepent. Still conflict lingers surrounding certain territories claimed by both sides. We are being pressured to finally recognise the borders as they exist today.;;;;;;;;;;;;;x
build_niavaran_title;Build Niavaran Palace;;;;;;;;;;;;;x
build_niavaran_desc;The old imperial palaces of Persia all date to Qajar rule, and are statements to their reign. Both their splendor and their ultimate failures. As a new dynasty we need to dissassociate ourself with the previous dynasty and build our own palaces.;;;;;;;;;;;;;x
bombard_the_majles_title;Bombard the Majles;;;;;;;;;;;;;x
bombard_the_majles_desc;The Majles (parliament) was established during the Constitutional Revolution to oversee government and limit the ability of the Shah to procure loans and sells concessions. It is hoped that by strictly controlling government finance the influence of foreign power is lessened. As such the Majles is a threat to both the authority of the Shah and the ability of foreigners to control Persian affairs. Perhaps we should 'reign it in.';;;;;;;;;;;;;x
