CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
EVT99906OPTA;Claim Northern New Guinea as a $COUNTRY_ADJ$ colony!;;;;;;;;;;;;;x
EVT99906OPTB;We have no interest in this.;;;;;;;;;;;;;x
EVT99907OPTA;Civis romanus sum! Any British subject shall feel safe in foreign lands!;;;;;;;;;;;;;x
EVT99907OPTB;Civil matters of our subjects in foreign lands do not concern us.;;;;;;;;;;;;;x
EVT99908OPTA;Oxi. The Greek people will not be insulted like this.;;;;;;;;;;;;;x
EVT99908OPTB;It seems we have no choice..;;;;;;;;;;;;;x
EVT99909OPTA;British honour will be respected..;;;;;;;;;;;;;x
EVT99909OPTB;This is madness, we will not risk war over such petty matters.;;;;;;;;;;;;;x
EVT99911OPTA;To War it is.;;;;;;;;;;;;;x
EVT99911OPTB;It seems we have no choice..;;;;;;;;;;;;;x
EVTOPT44356;Progress must continue!;;;;;;;;;;;;;x
EVT99920OPTA;We will stand by the $FROMCOUNTRY_ADJ$s.;;;;;;;;;;;;;x
EVT99920OPTB;The $FROMCOUNTRY_ADJ$s are on their own.;;;;;;;;;;;;;x
EVTDESC99930;It is the duty of the Government of this country, placed as it is with regard to geographical position, to keep itself upon terms of goodwill with all surrounding nations, but not to entangle itself with any single or monopolising alliance with any one of them, above all to endeavour not to interfere needlessly and vexatiously with the internal affairs of any foreign country. - Lord Edward Stanley, Secretary of State for Foreign Affairs. \n\nThe policy of 'splendid isolation' was characterised by Britain's reluctance to enter into permanent European alliances or commitments with the other great powers. During the late 19th century, Britain's primary goal in foreign policy was to maintain the balance of power in Europe and to intervene if that balance was upset. Its secondary goal was to protect its overseas interest in the colonies and dominions, as free trade kept the Empire alive.;;;;;;;;;;;;;x
EVT99930OPT;The great Mother Empire stands splendidly isolated in Europe!;;;;;;;;;;;;;x
EVT99932OPTA;Alsace-Lorraine will be ours again in time..;;;;;;;;;;;;;x
EVTDESC99934;The day was one of glorious sunshine. . . \n\n Queen Victoria, whose 63-year reign , was the longest in British history, came to an end at her estate, Osborne House, on the Isle of Wight on $MONTH$, $YEAR$. Victoria was eighty-one years old and had served as Britain's Queen for almost sixty-four years. At her passing she was surrounded by her children and grandchildren including her son, who would succeed her as King Edward VII, and her grandson German Kaiser Wilhelm II.;;;;;;;;;;;;;x
EVT99934OPTA;The end of an era..?;;;;;;;;;;;;;x
EVT99903OPTA;There’s gold in them thar hills!;;;;;;;;;;;;;x
EVT99935OPTA;Another glorious day for the Union!;;;;;;;;;;;;;x
EVT99937OPTA;The Army needs reformers.;;;;;;;;;;;;;x
EVT99939OPTA;Demand the Germans release Schnaebele immediately!;;;;;;;;;;;;;x
EVT99939OPTB;It's time to reclaim Alsace-Lorraine! To War!;;;;;;;;;;;;;x
EVT99939OPTC;We must not antagonize the Germans.;;;;;;;;;;;;;x
EVT99940OPTA;It's just a meetinng between frontier officials, release him;;;;;;;;;;;;;x
EVT99940OPTB;We will not release the spy, even if it means war.;;;;;;;;;;;;;x
EVT99941OPTA;Boulanger must be removed from office.;;;;;;;;;;;;;x
EVT99941OPTB;Boulanger shall remain.;;;;;;;;;;;;;x
EVT99942OPTA;The next few months could prove turbulent for the Third Republic...;;;;;;;;;;;;;x
EVT99943OPTA;We must act quickly! Secret societies must be banned from France!;;;;;;;;;;;;;x
EVT99943OPTB;There will not be a coup, there is nothing to worry about.;;;;;;;;;;;;;x
EVT99944OPTA;The Republic is safe from Boulangists at last.;;;;;;;;;;;;;x
EVT99945OPTA;Onwards to the Fourth Republic!.;;;;;;;;;;;;;x
EVT99945OPTB;The Orléanist Monarchy will be restored!.;;;;;;;;;;;;;x
EVT99945OPTD;The Bourbon Monarchy will be restored!;;;;;;;;;;;;;x
EVT99945OPTC;Onwards to the Third French Empire!;;;;;;;;;;;;;x
EVT99946OPTA;Our intersts in the Far East must be protected.;;;;;;;;;;;;;x
EVT99946OPTB;We have no interest in Chinese internal affairs..;;;;;;;;;;;;;x
EVTTITLE99947;Miao Rebellion;;;;;;;;;;;;;x
EVT99949OPTA;France will avenge her glorious children!;;;;;;;;;;;;;x
EVT99950OPTA;May her reign be long.;;;;;;;;;;;;;x
EVT99951OPTA;We accept the request.;;;;;;;;;;;;;x
EVT99951OPTB;Refuse the Chinese request;;;;;;;;;;;;;x
EVT99952OPTA;The Northern Seas Fleet will be grand!;;;;;;;;;;;;;x
EVT99953OPTA;May they serve us well in battle.;;;;;;;;;;;;;x
EVT99956OPTA;Defend the Revolution!;;;;;;;;;;;;;x
EVTDESC99957;The balance of power in Europe has been upset, remaining isolationalist will no longer beneficial to Great Britain and her empire. We must quickly search for an alliance with other great powers and restore the balance of power in the continent.;;;;;;;;;;;;;x
EVT99957OPTA;Pax Britannica is over..?;;;;;;;;;;;;;x
EVT99958OPTA;We shall honour the terms of the treaty;;;;;;;;;;;;;x
EVT99958OPTB;We refuse!.;;;;;;;;;;;;;x
EVT99961OPTA;We shall agree to the Prussian offer;;;;;;;;;;;;;x
EVT99961OPTB;We refuse!.;;;;;;;;;;;;;x
EVT99968OPTA;Extend our support to the breakaway states;;;;;;;;;;;;;x
EVT99968OPTB;Seize the coastal cities!;;;;;;;;;;;;;x
EVT99968OPTC;We shall do both, seize the cities and declare our support for the breakaway states.;;;;;;;;;;;;;x
EVT99968OPTD;Make peace and normalize relations with the Taiping.;;;;;;;;;;;;;x
EVT99970OPTA;Our Heavenly Kingdom will prevail against the foreign aggressors!;;;;;;;;;;;;;x
EVT99970OPTB;We will reclaim these territories in time when we are ready.;;;;;;;;;;;;;x
EVT40001OPTA;Sell the Territory.;;;;;;;;;;;;;x
EVT40001OPTB;The Jade Bight belongs to us!;;;;;;;;;;;;;x
EVT40002OPTA;Our flag defies the North Sea's winds once more.;;;;;;;;;;;;;x
EVT40003OPTA;A hit to our international standing.;;;;;;;;;;;;;x
EVT40004OPTA;But what should the name of the port be?;;;;;;;;;;;;;x
EVT40005OPTA;Auf zu neuen Ufern!;;;;;;;;;;;;;x
EVT99971OPTA;We will reclaim our lands one day!;;;;;;;;;;;;;x
EVT99972OPTA;We agree to the proposal;;;;;;;;;;;;;x
EVT99972OPTB;We refuse to partake in this senseless war.;;;;;;;;;;;;;x
EVT99973OPTA;This will be a pleasant little war.;;;;;;;;;;;;;x
EVT99974OPTA;Then we will have the whole region to ourselves!.;;;;;;;;;;;;;x
EVT99974OPTB;Call off our plans, we cannot do this alone.;;;;;;;;;;;;;x
EVT99975OPTA;If it's a war they want...;;;;;;;;;;;;;x
EVT99975OPTB;We cannot afford another war, give in to their demands...;;;;;;;;;;;;;x
EVT99976OPTA;We have little choice but to accept their demands...;;;;;;;;;;;;;x
EVTNAME_RHINE_CRISIS;The Rhine Crisis;;;;;;;;;;;;;x
EVT99925OPTA;The Rhine is German!;;;;;;;;;;;;;x
EVT99925OPTB;Let's try to calm things down.;;;;;;;;;;;;;x
EVT99978OPTA;The Rhine is German! We will ally with Prussia!;;;;;;;;;;;;;x
EVT99978OPTB;This does not concern us;;;;;;;;;;;;;x
luxembourg_crisis_net_title;The Luxemburg Purchase;;;;;;;;;;;;;x
luxembourg_crisis_net_desc;During the Austro-Prussian War Brother's War, Napoleon III promised the Prussian Prime Minister, Otto von Bismarck, of France's neutrality, hoping that such an open statement of intent would strengthen France's negotiating position regarding the western bank of the Rhine. Bismarck refused to offer any land from the Rhineland, which was Napoleon's preferred region. However, he did make suggestions of French hegemony in Belgium and Luxemburg , although not committing anything to writing. \n\nFrench Emperor Napoleon III has offered the us 5,000,000 guilders for Luxemburg , for such a large sum, it may be worth it to sell off the Duchy of Luxemburg to the French.;;;;;;;;;;;;;x
EVT999791OPTB;Luxemburg belongs to us!;;;;;;;;;;;;;x
EVT99980OPTA;A war must be avoided, we must find a compromise;;;;;;;;;;;;;x
EVT99980OPTB;Luxembourg is rightfully French!;;;;;;;;;;;;;x
EVT99984OPTA;Request for international intervention!;;;;;;;;;;;;;x
EVT99984OPTB;We cannot possibly defeat the French, we will secede the region.;;;;;;;;;;;;;x
EVT99985OPTA;We condemn the French;;;;;;;;;;;;;x
EVT99985OPTB;This does not involve us.;;;;;;;;;;;;;x
EVT99986OPTA;French unity will not be stopped.;;;;;;;;;;;;;x
EVT99986OPTB;We will renounce our claims.;;;;;;;;;;;;;x
EVT99987OPTA;The $FROMCOUNTRY_ADJ$ have been contained.;;;;;;;;;;;;;x
EVT99988OPTA;The $FROMCOUNTRY_ADJ$ will not set foot in the New World!;;;;;;;;;;;;;x
EVT99989OPTA;This must be done.;;;;;;;;;;;;;x
EVT99990OPTA;It's time to put down these revolutions.;;;;;;;;;;;;;x
EVTDESC99991;In $YEAR$, A fine was imposed on the Bombay Burmah Trading Corporation for under-reporting its extractions of teak from Toungoo and not paying its employees. The company was fined by a Burmese court, and some of its timber was seized by the Burmese officials. The company and the British government claimed the charges were false and the Burmese courts were corrupt. The British demanded the Burmese government accept a British-appointed arbitrator to settle the dispute. When the Burmese refused, the British issued an ultimatum, which would have been impossible for the Burmese to accept.;;;;;;;;;;;;;x
EVT99991OPTA;Time to put the Burmese down.;;;;;;;;;;;;;x
EVT99991OPTB;We have other interests elsewhere.;;;;;;;;;;;;;x
EVTNAME6016815;Splendid Isolation;;;;;;;;;;;;;x
EVTDESC6016815;Enabling this feature will enable Splendid Isolation for the UK, it will break alliances with any greater power except for Portugal, Ottomans, Belgium or Japan.;;;;;;;;;;;;;x
EVT6016815OPTA;I want a Isolationist UK.;;;;;;;;;;;;;x
EVT6016815OPTB;I do not want this.;;;;;;;;;;;;;x
EVT6044157OPTA;The Americans will be defeated!;;;;;;;;;;;;;x
EVT99992OPTA;In time those lands will be ours again.;;;;;;;;;;;;;x
EVT11102OPTA;Stubborn fools!.;;;;;;;;;;;;;x
EVT99802OPTA;This can only be good for $COUNTRY$.;;;;;;;;;;;;;x
EVT99802OPTB;No, they shall remain under our direct control.;;;;;;;;;;;;;x
EVT99802OPTC;Onwards to Canada!;;;;;;;;;;;;;x
EVT99803OPTC;Onwards to Nouvelle-Zelande!;;;;;;;;;;;;;x
EVT99804OPTC;Onwards to Louisiane!;;;;;;;;;;;;;x
EVT99801OPTA;Our people need more land to settle!;;;;;;;;;;;;;x
EVT99801OPTB;We shall rule our colonies through local rulers.;;;;;;;;;;;;;x
EVT99801OPTC;It is our burden to bring civilization to these lands.;;;;;;;;;;;;;x
EVT99805OPTA;To the new world!;;;;;;;;;;;;;x
EVT99993OPTA;What a blunder...;;;;;;;;;;;;;x
EVT60200OPTA;Onwards to Transval!;;;;;;;;;;;;;x
EVT99994OPTA;A Glorious Day;;;;;;;;;;;;;x
EVT99995OPTA;A Dark Day...;;;;;;;;;;;;;x
EVT99999OPTA;North and South will stand together!;;;;;;;;;;;;;x
EVT99999OPTB;This does not concern us.;;;;;;;;;;;;;x
EVT99996OPTA;$COUNTRY_ADJ$ hegemony has come to an end...;;;;;;;;;;;;;x
EVTOPT99820A;We will review what options we have.;;;;;;;;;;;;;x
EVTOPT99820B;The Balkans does not concern us.;;;;;;;;;;;;;x
EVT99821OPTB;There is no need to attend, proclaim our support for the Ottoman Empire;;;;;;;;;;;;;x
EVT90063OPT;We shall follow the developments of this conference.;;;;;;;;;;;;;x
EVT99825OPT;To war!;;;;;;;;;;;;;x
EVT99826OPT;Let them try!;;;;;;;;;;;;;x
EVT99822OPTA;We agree to their proposal;;;;;;;;;;;;;x
EVT99822OPTB;We refuse!;;;;;;;;;;;;;x
EVT99827OPTA;Good.;;;;;;;;;;;;;x
EVT99828OPTA;Declare our support for the Ottomans.;;;;;;;;;;;;;x
EVT99828OPTB;Back down.;;;;;;;;;;;;;x
EVT99824OPTA;We'll fight regardless..;;;;;;;;;;;;;x
EVT99824OPTB;Back down.;;;;;;;;;;;;;x
EVT99831OPTA;Our representatives shall attend.;;;;;;;;;;;;;x
EVT99832OPTA;A Dark Day...;;;;;;;;;;;;;x
EVT99840OPTA;Accept their offer.;;;;;;;;;;;;;x
EVT99840OPTB;We refuse.;;;;;;;;;;;;;x
EVT99812OPTA;Crush them!;;;;;;;;;;;;;x
EVT998121OPTA;For Freedom!;;;;;;;;;;;;;x
EVT99813OPTA;To War!;;;;;;;;;;;;;x
EVT99813OPTB;We cannot afford a war at this moment;;;;;;;;;;;;;x
brothers_war_loser;Brother's War Loser;;;;;;;;;;;;;x
EVT99814OPTA;Neat!;;;;;;;;;;;;;x
EVT330403OPTA;We shall accept their decision.;;;;;;;;;;;;;x
EVT330403OPTB;All Italians will be united, whether they want to or not.;;;;;;;;;;;;;x
EVT99815OPTA;In time we'll have our chance once more..;;;;;;;;;;;;;x
EVT72752OPTA;Look how they huddle together in fear! $COUNTRY$ stands resolute and ready!;;;;;;;;;;;;;x
EVTTITLE72752;The Leipzig Congress of $YEAR$;;;;;;;;;;;;;x
EVOPTA13067;We have no choice but to accept the demands;;;;;;;;;;;;;x
EVTOPTB500059;We refuse to accept this unlawful occupation of Switzerland!;;;;;;;;;;;;;x
EVTOPTA992001;Let's see what developments follow;;;;;;;;;;;;;x
EVTOPTA99199;We shall be victorious!;;;;;;;;;;;;;x
EVTDESC992031;The Shah Mohammed Mirza has agreed to the British demands and has lifted the siege and withdrew his forces from Herat. Unfortunately, we have been forced to recall the Russian advisors Count Simonich and Yan Vitkevich, the official statement given is that the both of them had exceeded their instructions.;;;;;;;;;;;;;x
EVTOPTA992031;What an embarrassment;;;;;;;;;;;;;x
EVTOPT600401;Very well.;;;;;;;;;;;;;x
EVTOPT600402;Rejoice!;;;;;;;;;;;;;x
EVTDESC99761;We have received our territories as per the Asia Minor Agreement;;;;;;;;;;;;;x
EVT7790006OPTA;We have no choice, we must surrender.;;;;;;;;;;;;;x
EVT7790006OPTB;We will fight on, we must not let the French make us a puppet once more!;;;;;;;;;;;;;x
EVT7790007OPTA;We have achieved enough, Iberian lands have no actual Value to us.;;;;;;;;;;;;;x
EVT7790007OPTB;Iberia has no actual value to us, however we can demand her Colonies.;;;;;;;;;;;;;x
EVT7790007OPTC;We must restore French control over Catalonia!;;;;;;;;;;;;;x
EVT7790007OPTD;We will demand Catalonia as well as the Spanish Colonies!;;;;;;;;;;;;;x
EVTNAME999100;Imperial Conference of $YEAR$;;;;;;;;;;;;;x
EVTDESC999100;The Imperial Conference of $YEAR$ decided to cease referring to self-governing $COUNTRY_ADJ$ colonies as colonies and conferred upon them dominion status. Canada and Australia were referred to as dominions in the conferences statements while Newfoundland Colony and the Colony of New Zealand were granted dominion status by Royal Proclamation. The Natal and Cape Colonies would unite with the two Boer colonies of Orange River Colony and Transvaal Colony, which had been given self-government, to form the Union of South Africa as a dominion. \n\nThe possibilities of Irish Home Rule, and Imperial Preference, a system of reciprocally-enacted tariffs or free trade agreements between the dominions and colonies of the $COUNTRY_ADJ$ Empire were also brought up.;;;;;;;;;;;;;x
EVT999100OPTA;Proclaim the Dominions;;;;;;;;;;;;;x
EVT999100OPTB;Proclaim the Dominions and Imperial Preference;;;;;;;;;;;;;x
EVT999100OPTC;Proclaim the Dominions and Irish Home Rule;;;;;;;;;;;;;x
EVT999100OPTD;Proclaim the Dominions, Irish Home Rule and Imperial Preference;;;;;;;;;;;;;x
EVT999101OPTA;This can only be good for the empire;;;;;;;;;;;;;x
EVTDESC99809;Following disaster at the initial invasion, British forces in Zululand were scattered. At Rorke's Drift, a field supply depot and hospital, a small force under Lt. Gonville Bromhead received news of a large Zulu force approaching. Noting that a small column, travelling in open country and burdened with carts of the wounded, would be easily overran by a numerically superior Zulu force, the only choice was to remain and fight.\n\nIn the end, just over 150 British and colonial troops successfully defended the garrison against an assault by 4,000 Zulus. The massive but piecemeal Zulu attacks on Rorke's Drift came very close to defeating the much smaller garrison, but were ultimately repelled. Eleven Victoria Crosses were awarded to the defenders, along with a number of other decorations and honours.;;;;;;;;;;;;;x
EVT99809OPTA;What heroism!;;;;;;;;;;;;;x
EVTDESC99105;Following a peace mission sent to Bhutan in early $YEAR$, in the wake of the recent conclusion of a civil war there, under Ashley Eden. The dzongpon of Punakha – who had emerged victorious – had broken with the central government and set up a rival Druk Desi while the legitimate druk desi sought the protection of the penlop of Paro and was later deposed. \n\nThe British mission dealt alternately with the rival penlop of Paro and the penlop of Trongsa (the latter acted on behalf of the druk desi), but Bhutan rejected the peace and friendship treaty it offered. \n\nBritain soon declared war. Bhutan had no regular army, and what forces existed were composed of dzong guards armed with matchlocks, bows and arrows, swords, knives, and catapults. Some of these dzong guards, carrying shields and wearing chainmail armor, engaged the well-equipped British forces.;;;;;;;;;;;;;x
EVT99105OPTA;Time to put the Bhutanese down.;;;;;;;;;;;;;x
EVT99105OPTB;We have other interests elsewhere.;;;;;;;;;;;;;x
EVTDESC99106;Throughout the 19th century, Britain attempted to gain a foothold in Manipur state affairs. Political instability, culminated in the aftermath of Maharajah Chandrakirti's death. In $YEAR$, prince Kulachandra Singh led a revolt against reigning Maharaja Surchandra dethroning him. Surchandra filed a complaint to Viceroy of India Lord Landsdowne, who in turn dispatched 400 Gurkhas under the command of J.W. Quinton, aiming at arresting the conspirators.\n\nBritish troops launched a raid on the Kangla Palace but were captured Manipuri troops. Quinton then held talks with Kulachandra, expressing his intent at ceasing all hostilities and returning to Kohima. However, he perceived Quinton's assertions as an act of deception, and he was detained and beheaded along with four other British officers.;;;;;;;;;;;;;x
EVT99106OPTA;Dispatch a punitive expedition!;;;;;;;;;;;;;x
EVT99106OPTB;We have other interests elsewhere.;;;;;;;;;;;;;x
EVTDESC99107;A region in $COUNTRY_ADJ$ East Africa has been decribed by some as 'The White Highlands', it is an area in the central uplands of Kenya, so-called because, Europeans settled there in considerable numbers. They were attracted to the good soils and growing conditions, as well as the cool climate. \n\nThe native Maasai, who are pastoralists, found the amount of grazing land considerably reduced as the White Highlands expanded.;;;;;;;;;;;;;x
EVT99107OPT;Grant the settlers farmland!;;;;;;;;;;;;;x
EVT2020041OPTA;Bring me Alfonso La Marmora!;;;;;;;;;;;;;x
EVT2020041OPTB;Onwards to Genoa!;;;;;;;;;;;;;x
EVT999700OPTA;Crush the rebels.;;;;;;;;;;;;;x
EVT999700OPTB;Crete shall be free!;;;;;;;;;;;;;x
EVTOPT997200;This can't be good;;;;;;;;;;;;;x
EVTOPT997201;The poor should get back to work.;;;;;;;;;;;;;x
EVTOPT997202;They need to rely on themselves.;;;;;;;;;;;;;x
EVTOPTB997202;Abandon the island and evacuate the British population.;;;;;;;;;;;;;x
EVTNAME98500;$FROMCOUNTRY$ Claims in Olivenza;;;;;;;;;;;;;x
EVTDESC98500;Olivenza is a town situated on a disputed section of the Portugal–Spain border, Portugal holds a claim on the town and its surrounding territory. As Olivença, the town was under Portuguese sovereignty between 1297 and 1801 when it was invaded by the Spanish during the War of the Oranges and then ceded to Spain under the Treaty of Badajoz. \n\n$FROMCOUNTRY$ has announced it intends to enforce it's claim over the town and will take it from us by force if need be, what action shall we take?;;;;;;;;;;;;;x
EVT98500OPTA;Return the town to the $FROMCOUNTRY_ADJ$;;;;;;;;;;;;;x
EVT98500OPTB;Olivenza is rightfully ours!;;;;;;;;;;;;;x
EVTNAME9525021;The Jambi Uprising;;;;;;;;;;;;;x
EVTDESC9525021;In the mid-19th Century, the Dutch had appointed a new Sultan of Jambi, an uncle of Taha, the previous sultan. Despite no longer being sultan, Taha maintained a high level of authority over the Jambinese in the highlands, while the Dutch merely controlled the capital. \n\nIn $YEAR$, the Sultan died, marking the start of a series of disturbances. On one evening, two armed men entered and opened fire at a meeting of colonial officials, killing two officers, and seriously injuring several others. The men were sent by Panglima Poetih, a man suspected of the murder of Assistant Resident. As soon as the news of the murder reached Palembang, Dutch security forces were dispatched and encoutered numerous Jambinese fighters presumebly acting under orders by Taha, and fighting quickly escalated over the course of the next few days, where the rebel bases were eventually discovered and destroyed.;;;;;;;;;;;;;x
EVT9525021OPTA;Thanks to our brave colonial forces, peace is restored.;;;;;;;;;;;;;x
EVTNAME99816;End of the Austrian Empire;;;;;;;;;;;;;x
EVTDESC99816;Our Empire has been slowly chipped away over the years until, repeated humiliation and defeat have finally cumulated in the Habsburg Emperors having to renounce their titles as Emperor of Austria, this is an utter humiliation for our people.;;;;;;;;;;;;;x
EVT99816OPTA;We will reclaim our lands & titles one day...;;;;;;;;;;;;;x
EVTNAME89000;The Second Treaty of Erzurum;;;;;;;;;;;;;x
EVTDESC89000;The First Treaty of Erzurum signed in 1823 came after the victory of Persia over the Ottoman Empire. Surprisingly, Persia asked only for continuation of being the protector of the Shias in the Ottoman Empire. While no direct territorial demands were made, Persian forces did push westward, occupying territories beyond the old Armistice of Zohab of 1639.\n\nThe new treaty would allow Persia to keep all the territories she had snatched from the Ottomans by gradually pushing her borders westward since 1821. Of particularly significant were two provisions: first, "the Persian Government abandons all claims to the city and province of Sulaimania" and, second, "the Ottoman Government formally recognizes the sovereignty of Persia over Muhammara, Khizr, Abaddan, and the land on the eastern bank that is to say, the left bank of the Shatt Al-Arab, which are in the possession of the tribes, recognized as belonging to Persia.";;;;;;;;;;;;;x
EVT89000OPTA;Sign the treaty;;;;;;;;;;;;;x
EVT89000OPTB;The treaty is not in our interests;;;;;;;;;;;;;x
EVTOPTINTERESTED;This is in our interests;;;;;;;;;;;;;x
HFM_YEKE_KINGDOM_TITLE;The Rise of the Yeke Kingdom;;;;;;;;;;;;;x
HFM_YEKE_KINGDOM_DESC;Word has come to us about a Yeke trader by the name of Msiri from Tabora. He was a trader, like his father Kalasa, involved in the copper, ivory and slave trade controlled by the Sultan of Zanzibar and his Arab and Swahili agents. The main trade route went to Ujiji on Lake Tanganyika and then to Lake Mweru and Katanga. Msiri realised access to guns was the key to power, and in Katanga, he had copper and ivory resources to trade for them. He formed a militia and started to conquer his neighbours, eventually declaring the Yeke Kingdom.;;;;;;;;;;;;;x
EVTOPT95100A;Keep an eye on him;;;;;;;;;;;;;x
EVTOPT95100B;Onwards to Yeke!;;;;;;;;;;;;;x
HFM_END_OF_ACW_TITLE;The End of the American Civil War;;;;;;;;;;;;;x
HFM_END_OF_ACW_DESC;With the final surrender of Confederate forces to the Union armies, President Andrew Johnson has signed a Proclamation—Declaring that Peace, Order, Tranquillity, and Civil Authority Now Exists in and Throughout the Whole of the United States of America. It cited the end of the insurrection in Texas, and declared - \n\n"... that the insurrection which heretofore existed in the State of Texas is at an end and is to be henceforth so regarded in that State as in the other States before named in which the said insurrection was proclaimed to be at an end by the aforesaid proclamation. \nAnd I do further proclaim that the said insurrection is at an end and that peace, order, tranquillity, and civil authority now exist in and throughout the whole of the United States of America." The Union has prevailed.;;;;;;;;;;;;;x
EVTOPT16002;We are at peace once more.;;;;;;;;;;;;;x
HFM_TIANDIHUI_TITLE;The Society of Heaven and Earth;;;;;;;;;;;;;x
HFM_TIANDIHUI_DESC;The Tiandihui, also known as the Heaven and Earth Association was known to be founded by Chinese patriots in the 17th century for the purpose of overthrowing the Qing Dynasty and restoring the Ming Dynasty. Originating in the Zhangzhou area of Fujian, by the beginning of the 19th century the Tiandihui had spread to nearly all of southern China. \n\nTiandihui secret societies were typically involved in both revolutionary activity and organised crime, such as piracy and opium smuggling. Many members of the Tiandihui were typically poor peasants, handicraftsmen, nomads and bandits.;;;;;;;;;;;;;x
EVTOPT980600;We shall keep an eye out for secret societies.;;;;;;;;;;;;;x
HFM_RED_TURBAN_REBELLION_TITLE;The Red Turban Rebellion;;;;;;;;;;;;;x
HFM_RED_TURBAN_REBELLION_DESC;Following in the footsteps of Hong Xiuquan's uprising, the local Tiandihui and their tribes responded with enthusiasm and quickly followed suit with their own uprisings in the Guangdong, Guangxi and Fujian provinces. Taking advantage of the disarray of Qing forces, the rebels took the opportunity to launch a general attack, occupying the city of Zhangzhou, renaming it Xiujing. The rebels would soon attempt to seize the provincial capital of Guangzhou (Canton).;;;;;;;;;;;;;x
EVT980602OPTA;Order has been restored.;;;;;;;;;;;;;x
HFM_RUSSIANS_DONT_INTERVENE_TITLE;The Russians Refuse to Intervene;;;;;;;;;;;;;x
HFM_RUSSIANS_DONT_INTERVENE__DESC;The Russian Emperor has refused our request to intervene against the Hungarian rebels, the Russian Foreign minister has stated that the Russian Empire is not interested in meddling in Austrian internal affairs.;;;;;;;;;;;;;x
EVT325122OPTA;We shall manage this criss on our own.;;;;;;;;;;;;;x
EVTNAME60168151;Credits;;;;;;;;;;;;;x
