CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
frankenstein;Mary Shelley's Frankenstein;;;;;;;;;;;;;x
frankenstein_desc;Frankenstein was a novel published by Mary Shelley in 1818. It was a fusion of the gothic novel and the Romantic Movement and considered one of the earliest examples of science fiction. It served as a warning against the expansion of modern man in the Industrial Revolution and was loosely based on Giovanni Aldini’s electrical experiments on dead and (sometimes) living animals.;;;;;;;;;;;;;x
the_cure;The Cure;;;;;;;;;;;;;x
the_cure_desc;The cure puts a stop to the infection from spreading by eliminating the virus that causes it. It purifies the blood and cleanses the body, making the infected person no longer contagious, so they can no longer spread the disease to others.;;;;;;;;;;;;;x
ZOM;Infested Wasteland;;;;;;;;;;;;;x
ZOM_ADJ;Infested;;;;;;;;;;;;;x
undead;Undead;;;;;;;;;;;;;x
zombie_rebels_army;Army of The Dead;;;;;;;;;;;;;x
zombie_rebels_desc;Zombies are reanimated corpses. The brain retains base facilities, namely motor function. In its nearly mindless state, it has no grasp of emotion, personality, or sensation. However, in rare cases, some zombies reflexively perform activities from their past lives. Their rotting bodies operate on a much lower level than a normal human. Circulatory, respiratory, and digestive systems are unaffected by reanimation. Labored breathing, choking, and moaning are therefore reflexive as no oxygen is carried through the blood. Furthermore, the nervous system functions primarily within the brain and sensory reception is minimal at best. The undead are incapable of fatigue and endlessly pursue their victims. Subsequently, a zombie may chase its victim even if it’s missing limbs. Therefore, the only way to kill a zombie is by destroying its brain. The only observable action a zombie takes part in is hunting and eating living organisms, especially humans. Approach with extreme caution.;;;;;;;;;;;;;x
zombie_rebels_name;Zombies;;;;;;;;;;;;;x
zombie_rebels_title;Zombie;;;;;;;;;;;;;x
zombified_army;Undead Army;;;;;;;;;;;;;x
zombie_outbreak;Zombie Outbreak;;;;;;;;;;;;;x
do_not_annex;The Wasteland Spreads;;;;;;;;;;;;;x
accepts_new_provinces;The Wasteland Spreads;;;;;;;;;;;;;x
nogovernment;Wild wasteland;;;;;;;;;;;;;x
noIdeology;Wilderness;;;;;;;;;;;;;x
noIssue;None;;;;;;;;;;;;;x
undead_party;Plague Visionaries;;;;;;;;;;;;;x
faithless;Faithless;;;;;;;;;;;;;x
