CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
EVTNAME66001;New Archeological Discovery!;;;;;;;;;;;;;x
EVTDESC66001;A private expedition of our country into Egypt has recently discovered a new ancient building buried deep beneath the desert sands. The main chamber appears to be filled with amazing artifacts and treasures that could shed new light on the ancient civilization of Egypt. While the locals have expressed concern about a cursed disease within the chamber, we should not let their superstitions and ignorance prevent us from accessing this valuable historical find. ;;;;;;;;;;;;;x
EVTOPTA66001;Our museums are hungry for new artefacts! §RTrigger the infection immediatly;;;;;;;;;;;;;x
EVTOPTB66001;We shouldn't bother with this right now. §GDelay the infection for 10 years;;;;;;;;;;;;;x
EVTOPTC66001;I want some of those artefacts as diplay in my office! §BStart Plague Inc Mode;;;;;;;;;;;;;x
EVTOPTD66001;Those artefacts could do for nice diplomatic gifts! §BStart Plague Inc Mode Against the AI;;;;;;;;;;;;;x
EVTOPTE66001;Let's send one of those to one of our fellow allies! §BSend options to another player;;;;;;;;;;;;;x
EVTNAME66202;A Mysterious Plague...;;;;;;;;;;;;;x
EVTDESC66202;They call it the Solomon Virus. It travels through the bloodstream, enters the brain, and uses the cells of the frontal lobe to replicate. However, this section of the brain is destroyed in the process and all bodily functions cease. Alive but dormant, the brain is slowly transformed by the virus into a completely new organ whose most notable trait is its independence from oxygen. By removing this all-important resource, the body is no longer dependent on complex support mechanisms such as the heart and lungs. Once mutation is complete, the new organ reanimates the body to transfer the virus. Historically, outbreaks of virus were few and far between, occurring infrequently in Ancient Egypt, Israel, and even noted to be the cause of Roman Order XXXVII and the construction of Hadrian’s Wall. Some of the most recent cases include the “mysterious” disappearance of the Roanoke Island settlers in 1587 and a 1762 outbreak on St. Lucia in the Caribbean. That is, of course, until today...;;;;;;;;;;;;;x
EVTOPTA66202;How bad can it be?;;;;;;;;;;;;;x
EVTNAME66004;The Plague Spreads...;;;;;;;;;;;;;x
EVTDESC66004;"The natives tell of a sickness that darkens the soul, causing a thirst for the blood of their brothers. They tell of men, women, and even children whose flesh have become gray with rot and possess an unholy smell. Once darkened, there is no method of healing, save death, and that can only be achieved throughfire, since the body becomes resistant to all arms of man." This text was suspposedly taken from the accounts of Father Esteban Negron, 1523.;;;;;;;;;;;;;x
EVTNAME66014;The Purge of $PROVINCENAME$;;;;;;;;;;;;;x
EVTDESC66014;Castles and forts have proven effective in surviving the zombie apocalypses. Castles, found almost exclusively in the Old World, feature large physical barriers designed to keep out hordes of enemy soldiers. Meanwhile, old Spanish and Portuguese fortifications in the New Word and British and French bases in the Northern United States and Canada are low-maintenance and can withstand heavy siege. This combination of Old World strategy combined with new tactics and equiment allowed us to recapture $PROVINCENAME$.;;;;;;;;;;;;;x
EVTNAME66015;Victory in $COUNTRYNAME$!;;;;;;;;;;;;;x
EVTDESC66015;New tactics and equipment developed since the initial outbreak have helped suppress the zombie outbreak. Traditionally, our men were taught to shoot for the chest because it is the hardest to miss. Since the initial outbreak, they have been trained to shoot for the head and disable a zombie in one go. Likewise, the new Standard Infantry Rifle (SIR) has been developed as a more accurate and semi-automatic alternative to traditional muskets and rifles. On a unit-level, soldiers were taught to fire with mechanical precision and alternate with a partner: one soldier shoots while the other reloads. Effectively, the advent of repeating rifles and new military tactics have led us to ultimate victory against the zombie hordes.;;;;;;;;;;;;;x
EVTNAME66016;End the State of Emergency?;;;;;;;;;;;;;x
EVTDESC66016;Alongside the state of emergency came a classification system to measure the intensity of a zombie outbreak. Class One outbreaks, for example, occur in rural areas and experience minimal casualties. Class Two outbreaks, meanwhile, occur in urban areas, but can be suppressed by local authorities. Then, Class Three outbreaks present a clear threat to national security and require the regular military to suppress the outbreak. Fortunately, our military crushed the zombie outbreak at Class Three and prevented the breakdown of law, or a Class Four outbreak. While there are nations that teeter between Class Three and Four outbreaks, ours is only endangered by isolated Class One outbreaks. Therefore, your advisors have come and ask that you end the state of emergency. What shall we do?;;;;;;;;;;;;;x
EVTNAME66024;The Zombie Apocalypse;;;;;;;;;;;;;x
EVTDESC66024;Civilization has completely broken down, and law is no longer kept. Any densely populated area in the world has thousands of zombies walking the streets. The world’s population has been reduced to almost nothing, and the number of survivors has been limited to fewer than 500,000. The world leaders that haven’t already been slaughtered are hiding in bunkers, waiting to starve to death. To quote a contemporary biologist, “No help will come for anyone as the zombies slowly devour all life on the planet causing the end of humanity and eventually the end of all life on earth due to the rapid removal of so many creatures from the global ecosystem. After a time the zombies will all rot away leaving the earth an empty barren wasteland.”;;;;;;;;;;;;;x
EVTNAME66025;The Black Hole of $PROVINCENAME$;;;;;;;;;;;;;x
EVTDESC66025;$PROVINCENAME$ has recently fallen under zombie control, and neither the local government nor the military has been able to restore order. Since we are unable to maintain control over the area, our people and the international community deem it terra nullius. Future rehabitation will require extensive reconstruction and repopulation; we estimate that the province's human population is less than 20% of what it was in 1836, if not lower...;;;;;;;;;;;;;x
EVTNAME66026;State of Emergency!;;;;;;;;;;;;;x
EVTDESC66026;By declaring a state of emergency, we have suspended the normal functions of the executive, legislative, and judicial powers and handed extensive political control over to the military. As such, elections are suspended and we've pulled together emergency funds and resources to combat the zombie menace.;;;;;;;;;;;;;x
EVTNAME66027;Government Powers Restored!;;;;;;;;;;;;;x
EVTDESC66027;It is no longer necessary to allocate so much of our government's resources to the military. As such, we've restored the bureaucracy and returned power to the government proper. No longer shall our country be under military jurisdiction and its corrupt junta!;;;;;;;;;;;;;x
EVTNAME66028;The Zombies Are Back!;;;;;;;;;;;;;x
EVTDESC66028;Despite our efforts to clean up our country of the zombie outbreak, we've just received reports that zombies have managed to cross over from one of our neighboring countries. It seems that they were unable to contain the outbreak, and it has now spilled over into our own borders.;;;;;;;;;;;;;x
EVTNAME66101;Wasteland;;;;;;;;;;;;;x
EVTDESC66101;Parts of our country have recently fallen under zombie control, and neither the local government nor the military have been able to restore order. Since we are unable to maintain control over the area, our people and the international community have come to refer to it as 'Zombieland': A wasteland where all societal structure has collapsed and where zombies roam freely. Future rehabitation will require extensive reconstruction and repopulation; we estimate that the province's human population is less than 20% of what it was in 1836, if not lower...;;;;;;;;;;;;;x
EVTNAME66200;Zombies don't build countries;;;;;;;;;;;;;x
EVTDESC66200;Event to turn the wasteland into Terra Nullius;;;;;;;;;;;;;x
EVTNAME66201;The Wasteland decays;;;;;;;;;;;;;x
EVTDESC66201;This event stops Zombieland from getting more provinces, hence in about a month's time it will be turned into Terra Nullius;;;;;;;;;;;;;x
EVTNAME66029;CLOSE THE BORDERS!;;;;;;;;;;;;;x
EVTDESC66029;We have decided to close our borders! We can not risk taking in infected immigrants!;;;;;;;;;;;;;x
EVTOPTA66029;A worthy sacrifice.;;;;;;;;;;;;;x
EVTNAME66030;Reopening our borders.;;;;;;;;;;;;;x
EVTDESC66030;We can now open our borders again, hopefully this won't cause another outbreak.;;;;;;;;;;;;;x
EVTOPTA66030;Finally!;;;;;;;;;;;;;x
EVTNAME66033;Humanity prevailed.;;;;;;;;;;;;;x
EVTDESC66033;After years of hardship, through a combination of military action, scientific research, and strategic planning, humanity was able to stem the spread of the virus and eliminate the infected. Now that the threat has been neutralized, we must turn our attention to rebuilding. Many towns and cities have been destroyed, and countless lives have been lost. We must focus on providing aid to the survivors, rebuilding infrastructure, and establishing new communities. Humanity once again prevailed, and it's once again time to rebuild.;;;;;;;;;;;;;x
EVTOPTA66033;We must first tend to the ones who survived.;;;;;;;;;;;;;x
EVTOPTB66033;Time to rebuild our nation, with calm and temperance!;;;;;;;;;;;;;x
EVTOPTC66033;Spread our wings! The world is ours to inherit!;;;;;;;;;;;;;x
EVTNAME66034;Defeat!;;;;;;;;;;;;;x
EVTDESC66034;Despite our best efforts, the last of our cities have now fallen to the zombie outbreak, and it is only a matter of time before the government itself is threatened. Our military forces have been overwhelmed by the sheer number of zombies, and our medical teams have been unable to find a cure or effective treatment. We have lost many of our citizens, including some of our most valued leaders and advisors. The situation is bleak and we must face the reality that there is nothing we can do to stop the outbreak at this point.;
EVTOPTA66034;We are going down with our ship as the men we are!;;;;;;;;;;;;;x
EVTOPTB66034;Reallocate the government to one of our allies or whoever is willing to take us in!;;;;;;;;;;;;;x
EVTOPTC66034;It's time to march into the wasteland and start anew.;;;;;;;;;;;;;x
EVTNAME66035;State of Emergency...?;;;;;;;;;;;;;x
EVTDESC66035;Thanks to the valiant efforts of our citizens and the tireless work of our medical and military personnel, we have managed to overcome the zombie outbreak that threatened our kingdom. While the threat of the outbreak is not entirely gone, we have made significant progress in containing and eliminating the threat. The emergency measures that were put in place, such as curfews, travel restrictions, and the mobilization of military forces, were necessary at the time, but they are now no longer needed. Continuing the state of emergency unnecessarily would be detrimental to our country in several ways. It would hamper our economy, disrupt our citizens' daily lives, and strain our resources. Additionally, it would send a message of fear and uncertainty to our people, which could damage morale and confidence in our government.;;;;;;;;;;;;;x
EVTOPTA66035;It's time to go back to normal indeed;;;;;;;;;;;;;x
EVTOPTB66035;But what if they came back?!;;;;;;;;;;;;;x
EVTNAME66036;The Conquest of the Wasteland;;;;;;;;;;;;;x
EVTDESC66036;Now that we have secured our borders and ensured the safety of our citizens, it is time for us to expand our territory and reclaim the land that was lost during the outbreak. There is an empty space of wasteland near us that was once inhabited by human settlements. These settlements were overrun by the zombies and had to be abandoned, but with the threat now neutralized, we have the opportunity to reclaim this land and rebuild our nation.;;;;;;;;;;;;;x
EVTOPTA66036;Onwards! Conquer the land!;;;;;;;;;;;;;x
EVTOPTB66036;It's better if we stay safe inside.;;;;;;;;;;;;;x
EVTNAME66037;Expedition into the Wasteland;;;;;;;;;;;;;x
