CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
frankenstein;Mary Shelley's Frankenstein;;;;;;;;;;;;;x
frankenstein_desc;Frankenstein was a novel published by Mary Shelley in 1818. It was a fusion of the gothic novel and the Romantic Movement and considered one of the earliest examples of science fiction. It served as a warning against the expansion of modern man in the Industrial Revolution and was loosely based on Giovanni Aldini’s electrical experiments on dead and (sometimes) living animals.;;;;;;;;;;;;;x
ZOM;Infested Wasteland;;;;;;;;;;;;;x
ZOM_ADJ;Infested;;;;;;;;;;;;;x
undead;Undead;;;;;;;;;;;;;x
zombie_rebels_army;Army of The Dead;;;;;;;;;;;;;x
zombie_rebels_desc;Zombies are reanimated corpses. The brain retains base facilities, namely motor function. In its nearly mindless state, it has no grasp of emotion, personality, or sensation. However, in rare cases, some zombies reflexively perform activities from their past lives. Their rotting bodies operate on a much lower level than a normal human. Circulatory, respiratory, and digestive systems are unaffected by reanimation. Labored breathing, choking, and moaning are therefore reflexive as no oxygen is carried through the blood. Furthermore, the nervous system functions primarily within the brain and sensory reception is minimal at best. The undead are incapable of fatigue and endlessly pursue their victims. Subsequently, a zombie may chase its victim even if it’s missing limbs. Therefore, the only way to kill a zombie is by destroying its brain. The only observable action a zombie takes part in is hunting and eating living organisms, especially humans. Approach with extreme caution.;;;;;;;;;;;;;x
zombie_rebels_name;Zombies;;;;;;;;;;;;;x
zombie_rebels_title;Zombie;;;;;;;;;;;;;x
zombified_army;Undead Army;;;;;;;;;;;;;x
zombie_outbreak;Zombie Outbreak;;;;;;;;;;;;;x
EVTNAME66001;New Archeological Discovery!;;;;;;;;;;;;;x
EVTDESC66001;A private expedition of our country into Egypt has recently discovered a new ancient building buried deep beneath the desert sands. The main chamber appears to be filled with amazing artifacts and treasures that could shed new light on the ancient civilization of Egypt. While the locals have expressed concern about a cursed disease within the chamber, we should not let their superstitions and ignorance prevent us from accessing this valuable historical find. ;;;;;;;;;;;;;x
EVTOPTA66001;Our museums are hungry for new artifacts! §RTrigger the infection immediatly;;;;;;;;;;;;;x
EVTOPTB66001;We shouldn't bother with this right now. §GDelay the infection for 10 years;;;;;;;;;;;;;x
