CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
EVTDESC70000;Another astounding victory for $COUNTRY$ today, as it has now become clear that $STATE$ will, as has been expected for some time, be taken up into the $COUNTRY_ADJ$ patrimony with full rights of national statehood. One question that still remains to settle is, however, the issue of slavery. Slavery can be extended within our country, and the question on the table is whether we wish to extend the institution to $STATE$, or not?;Encore une victoire stupéfiante pour $COUNTRY$ aujourd'hui, comme il est maintenant devenu clair que $STATE$ sera, comme cela été attendu depuis un certain temps, repris dans le patrimoine $COUNTRY_ADJ$ avec tous les droits d'un Etat national. Un point qui reste à régler est, cependant, la question de l'esclavage. L'esclavage ne peut être étendu dans notre pays, et la question sur la table est de savoir si nous souhaitons proroger l'institution de $STATE$, ou non ?;Heute hat $COUNTRY$ einen weiteren beeindruckenden Sieg erreicht, da nun feststeht, dass $STATE$, wie bereits seit einiger Zeit erwartet wurde, mit vollen Rechten nationaler Eigenstaatlichkeit in das $COUNTRY_ADJ$ Patrimonium aufgenommen werden wird. Die Sklaverei stellt das einzig noch verbleibende Problem dar. Die Sklaverei könnte in unserem Land weiter verbreitet werden, und die Frage ist, ob wir ihre Institution auf $STATE$ ausdehnen sollen oder nicht.;;;;;;;;;;;x
EVTNAME70000;$STATE$ Granted Statehood!;$STATE$ se voit accorder le statut d’état !;$STATE$ erlangt Souveränität!;;;;;;;;;;;x
EVTOPTA70000;Extend Slavery;Étendre l'esclavage;Sklaverei ausdehnen;;;;;;;;;;;x
EVTOPTB70000;Do not extend slavery;Ne pas étendre l'esclavage;Sklaverei nicht ausdehnen;;;;;;;;;;;x
EVTDESC70001;Another astounding victory for $COUNTRY$ today, as it has now become clear that $STATE$ will, as has been expected for some time, be taken up into the $COUNTRY_ADJ$ patrimony with full rights of national statehood.;Aujourd'hui, $COUNTRY$ vient de remporter une étonnante victoire, puisqu'il est désormais clair que $STATE$, comme il fallait s'y attendre, rejoindra le patrimoine $COUNTRY_ADJ$ avec tous les droits inhérents à sa nature étatique.;Heute hat $COUNTRY$ einen weiteren beeindruckenden Sieg erreicht, da nun feststeht, dass $STATE$, wie bereits seit einiger Zeit erwartet wurde, mit vollen Rechten nationaler Eigenstaatlichkeit in das $COUNTRY_ADJ$ Patrimonium aufgenommen werden wird.;;;;;;;;;;;x
EVTNAME70001;Statehood Granted!;$STATE$ se voit accorder le statut d’état !;$STATE$ erlangt Souveränität!;;;;;;;;;;;x
EVTOPTA70001;Excellent!;Parfait !;Hervorragend!;;;;;;;;;;;x
EVTDESC70002;Wave after wave of selling again moved down prices on the Stock Exchange today and billions of pounds were clipped from values. Traders surged about brokerage offices watching their holdings wiped out…. It was one of the worst breaks in history…. For a time, in the morning, the market was showing signs of rallying power…. Then new waves of selling out of poorly margined accounts started another reaction…\n \n $FROMCOUNTRY$ has gone bankrupt and defaulted on all their debts. We must use our military might if we want to safeguard our investors.;;;;;;;;;;;;;x
EVTNAME70002;$FROMCOUNTRY$ goes bankrupt!;$FROMCOUNTRY$ a fait faillite !;$FROMCOUNTRY$ ist bankrott!;;;;;;;;;;;x
EVTOPTA70002;The $FROMCOUNTRY_ADJ$ better pay their debts.;;;;;;;;;;;;;x
EVTDESC70003;I pledge you, I pledge myself to a new deal for the $FROMCOUNTRY_ADJ$ people. Let us here assembled constitute ourselves prophets of a new order of competence and courage. This is more than a political campaign, it is a call to arms…\n \n A spokesperson of the $COUNTRY_ADJ$ government was quoted saying as the matter of the $FROMCOUNTRY_ADJ$ debt exploded in the press. They went bankrupt again, defying previous treaties and now there’s talk of military intervention to make sure we will get paid.;;;;;;;;;;;;;x
EVTNAME70003;$FROMCOUNTRY$ Defaults in Defiance of our Military!;;;;;;;;;;;;;x
EVTOPTA70003;We are ready to move from the conference to the battlefield table.;;;;;;;;;;;;;x
EVTDESC70004;Any lack of confidence in the economic future of $FROMCOUNTRY$ is foolish, the $FROMCOUNTRY_ADJ$ ruler was quoted as saying, ‘I do not believe that the power and the duty of the $FROMCOUNTRY_ADJ$ Government ought to be extended to the relief of individual suffering…. The lesson should be constantly enforced that though the people support the Government, the Government should not support the people.’\n \n As the $FROMCOUNTRY_ADJ$ defaults on their debts, the civil servants and the economy are suffering greatly from austerity measures. They owed us some money when they defaulted but since the amount is small, we wouldn’t normally take any action. We can choose to act, but not forgiving such a small debt will get some worried and angry reactions from the Great Powers.;;;;;;;;;;;;;x
EVTNAME70004;$FROMCOUNTRY$ Defaults!;;;;;;;;;;;;;x
EVTOPTA70004;$FROMCOUNTRY$ better pay their debts from now on.;;;;;;;;;;;;;x
EVTOPTB70004;We will have our money back.;;;;;;;;;;;;;x
EVTOPTC70004;Issue an official declaration forgiving their debt.;;;;;;;;;;;;;x
EVTDESC72664;Our overlord has united Scandinavia and installed a puppet regime to rule it for them. We are expected to contribute to the territorial strength of this new country at the expense of our own.;;;;;;;;;;;;;x
EVTNAME72664;The formation of Scandinavia;;;;;;;;;;;;;x
EVTOPTA72664;We will comply.;;;;;;;;;;;;;x
EVTOPTB72664;They ask too much!;;;;;;;;;;;;;x
EVTDESC72665;Our overlord has united Iberia and installed a puppet regime to rule it for them. We are expected to contribute to the territorial strength of this new country at the expense of our own.;;;;;;;;;;;;;x
EVTNAME72665;The formation of Iberia;;;;;;;;;;;;;x
EVTOPTA72665;We will comply.;;;;;;;;;;;;;x
EVTDESC72666;Our overlord has united the USCA and installed a puppet regime to rule it for them. We are expected to contribute to the territorial strength of this new country at the expense of our own.;;;;;;;;;;;;;x
EVTNAME72666;The Federation of Central America;;;;;;;;;;;;;x
EVTOPTA72666;We will comply.;;;;;;;;;;;;;x
EVTDESC72667;Our overlord has united the West Slavic Federation and installed a puppet regime to rule it for them. We are expected to contribute to the territorial strength of this new country at the expense of our own.;;;;;;;;;;;;;x
EVTNAME72667;The West Slavic Federation;;;;;;;;;;;;;x
EVTOPTA72667;We will comply.;;;;;;;;;;;;;x
EVTDESC72733;Due to the refusal of the French to negotiate, war between France and the United States will determine the future of Quebec.;;;;;;;;;;;;;x
EVTNAME72733;Quebec Negotiations Breakdown;;;;;;;;;;;;;x
EVTOPTA72733;Will the New World ever know peace from the terror of Europe?;;;;;;;;;;;;;x
EVTDESC72734;The French have refused to agree upon our compromise that would allow Quebec home rule. However now home rule is being discussed in Montreal, and French Canadians are demanding the United States grant them what France would not accept.;;;;;;;;;;;;;x
EVTNAME72734;Compromise of the Quebec Purchase Refused;;;;;;;;;;;;;x
EVTOPTA72734;This is one nation indivisible. There will be no home rule.;;;;;;;;;;;;;x
EVTOPTB72734;Quebec deserves to be the master of its destiny.;;;;;;;;;;;;;x
EVTDESC72735;The Americans have refused our generous offer. How the Liberators become the Oppressors!;;;;;;;;;;;;;x
EVTNAME72735;The Quebec Purchase Refused;;;;;;;;;;;;;x
EVTOPTA72735;How disgraceful.;;;;;;;;;;;;;x
EVTOPTB72735;How dare the Americans! This calls for war!;;;;;;;;;;;;;x
EVTDESC72736;The Americans have agreed to the deal but with a caveat. For half the price of the original deal, Quebec will be given to French governance as long as Quebec is guaranteed home rule.;;;;;;;;;;;;;x
EVTNAME72736;The Quebec Purchase with a Caveat;;;;;;;;;;;;;x
EVTOPTA72736;France agrees to the compromise.;;;;;;;;;;;;;x
EVTOPTB72736;The deal is off. Our demands were clear and nonnegotiable.;;;;;;;;;;;;;x
EVTOPTC72736;How dare the Americans! This calls for war!;;;;;;;;;;;;;x
EVTDESC72737;The Americans have agreed to the deal. Quebec will be transfered to complete French control.;;;;;;;;;;;;;x
EVTNAME72737;The Quebec Purchase Agreed in Full;;;;;;;;;;;;;x
EVTOPTA72737;The lost children of France are finally returned home!;;;;;;;;;;;;;x
EVTDESC72738;After the Crusade for Canada, great swaths of lands came under American control. Both Anglo and French Canadians were liberated thanks the Treaty of Philadelphia. France has recently offered to purchase Quebec from us citing cultural bonds and the need to undo the wrongs of the British Empire done against French Canadians. Some in Washington are in favour of such a deal believing that America is an Anglo nation that French Canadians could never integrate in. There is also the fact the French are currently offering a large sum in exchange for Quebec and America is always in need of more funds. Others argue it would be wrong to transfer Quebec to France without first ensuring French Canadians have a right to home rule even if France would not likely pay the full price currently on the table. Many are adamant that to sell American lands to European powers is an offence to the patriots who died for it.;;;;;;;;;;;;;x
EVTNAME72738;The Quebec Purchase;;;;;;;;;;;;;x
EVTOPTA72738;Agree to the purchase. This is an Anglo nation.;;;;;;;;;;;;;x
EVTOPTB72738;They French may have Quebec as long as Quebec has home rule.;;;;;;;;;;;;;x
