CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
aeroplanes;Aeroplanes;;;;;;;;;;;;;x
artillery;Heavy Armament;;;;;;;;;;;;;x
ammunition;Ammunition;;;;;;;;;;;;;x
automobiles;Motor Vehicles;;;;;;;;;;;;;x
barrels;Tanks;;;;;;;;;;;;;x
canned_food;Canned Food;;;;;;;;;;;;;x
cattle;Livestock;;;;;;;;;;;;;x
cement;Cement;;;;;;;;;;;;;x
clipper_convoy;Clippers;;;;;;;;;;;;;x
coal;Coal;;;;;;;;;;;;;x
coffee;Coffee;;;;;;;;;;;;;x
consumer_goods;Consumer Goods;;;;;;;;;;;;;x
cotton;Cotton;;;;;;;;;;;;;x
dye;Natural Dyes;;;;;;;;;;;;;x
electric_gear;Electric Parts;;;;;;;;;;;;;x
explosives;Chemicals;;;;;;;;;;;;;x
fabric;Textiles;;;;;;;;;;;;;x
fertilizer;Fertilizer;;;;;;;;;;;;;x
fish;Fish;;;;;;;;;;;;;x
fruit;Produce;;;;;;;;;;;;;x
fuel;Petroleum Fuel;;;;;;;;;;;;;x
furniture;Furniture;;;;;;;;;;;;;x
glass;Glassware;;;;;;;;;;;;;x
grain;Grain;;;;;;;;;;;;;x
industrial_goods;Industrial Goods;;;;;;;;;;;;;x
iron;Metals;;;;;;;;;;;;;x
liquor;Beverages;;;;;;;;;;;;;x
lumber;Timber;;;;;;;;;;;;;x
luxury_clothes;Luxury Clothing;;;;;;;;;;;;;x
luxury_furniture;Luxury Furniture;;;;;;;;;;;;;x
machine_parts;Machinery;;;;;;;;;;;;;x
military_goods;Military Goods;;;;;;;;;;;;;x
oil;Oil;;;;;;;;;;;;;x
opium;Opium;;;;;;;;;;;;;x
paper;Paper;;;;;;;;;;;;;x
precious_goods;Precious Goods;;;;;;;;;;;;;x
precious_metal;Precious Metals;;;;;;;;;;;;;x
radio;Radios;;;;;;;;;;;;;x
raw_material_goods;Raw Material Goods;;;;;;;;;;;;;x
regular_clothes;Clothing;;;;;;;;;;;;;x
rubber;Raw Rubber;;;;;;;;;;;;;x
silk;Silk;;;;;;;;;;;;;x
small_arms;Firearms;;;;;;;;;;;;;x
steamer_convoy;Steamers;;;;;;;;;;;;;x
steel;Alloys;;;;;;;;;;;;;x
sulphur;Sulphur;;;;;;;;;;;;;x
tea;Tea;;;;;;;;;;;;;x
telephones;Telecommunications;;;;;;;;;;;;;x
timber;Wood;;;;;;;;;;;;;x
tobacco;Tobacco;;;;;;;;;;;;;x
tropical_wood;Tropical Wood;;;;;;;;;;;;;x
wine;Wine;;;;;;;;;;;;;x
wool;Wool;;;;;;;;;;;;;x
precious_metal_desc;Precious metals like Gold and Silver can be converted straight into money.;;;;;;;;;;;;;;x
soap;Soap;;;;;;;;;;;;;;x
tires;Tires and Rubberware;;;;;;;;;;;;;;x
pharmaceuticals;Pharmaceuticals;;;;;;;;;;;;;;x
plastics;Plasticware;;;;;;;;;;;;;;x
