CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
animist;Animist;Animistes;Animistisch;;;;;;;;;;;x
bektashi;Alevi Muslim;Alevi Muslim;Alevi Muslim;;;;;;;;;;;x
catholic;Catholic;Catholiques;Katholisch;;;;;;;;;;;x
confucian;Confucian;;;;;;;;;;;;;x
coptic;Oriental Orthodox;;;;;;;;;;;;;x
druze;Druze;;;;;;;;;;;;;x
gelugpa;Vajrayana Buddhist;Gelugpa;Gelugpa;;;;;;;;;;;x
hindu;Hindu;Hindous;Hindu;;;;;;;;;;;x
ibadi;Ibadi Muslim;Ibadi Muslim;Ibadi Muslim;;;;;;;;;;;x
jewish;Jewish;Juifs;Jüdisch;;;;;;;;;;;x
mahayana;Mahayana Buddhist;Mahayana;Mahayana;;;;;;;;;;;x
mormon;Mormon;;;;;;;;;;;;;x
orthodox;Eastern Orthodox;Orthodoxes;Orthodox;;;;;;;;;;;x
protestant;Protestant;Protestants;Protestantisch;;;;;;;;;;;x
shiite;Shia Muslim;Shia Muslim;Shia Muslim;;;;;;;;;;;x
shinto;Shinto;Shintoïstes;Shinto;;;;;;;;;;;x
sikh;Sikh;Sikhs;Sikh;;;;;;;;;;;x
sunni;Sunni Muslim;Sunni Muslim;Sunni Muslim;;;;;;;;;;;x
theravada;Theravada Buddhist;Theravada;Theravada;;;;;;;;;;;x
yazidi;Yazidi;;;;;;;;;;;;;x
