CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
TIG_conservative;Faction of the Ras of Tigray;Faction de l'Ras du Tigré;Fraktion der Ras von Tigray;;;;;;;;;;;
TIG_liberal;Reform Faction;Faction de réforme;Verbesserung Fraktion;;;;;;;;;;;
TIG_reactionary;Traditionalist faction;Faction traditionaliste;Traditionalist Fraktion;;;;;;;;;;;
TIG_anarcho_liberal;Freedom Faction;Faction liberté;Freiheit Fraktion;;;;;;;;;;;
TIG_socialist;Tigrayan People's Liberation Front;Front de libération du Tigrayienne populaire;Tigrayan Volksbefreiungsfront;;;;;;;;;;;
TIG_communist;Tigrayan Communist Party;Tigrayienne Parti communiste;Tigrayan Kommunistischen Partei;;;;;;;;;;;
TIG_fascist;Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
AAA_anarcho_liberal_1;Free Trade Party;;;;;;;;;;;;;
AAA_anarcho_liberal_2;Radicals;;;;;;;;;;;;;
AAA_communist_1;Workers' Party;;;;;;;;;;;;;
AAA_communist_2;Internationalists;;;;;;;;;;;;;
AAA_conservative_1;Loyalists;;;;;;;;;;;;;
AAA_conservative_2;Centrists;;;;;;;;;;;;;
AAA_conservative_3;Monarchists;;;;;;;;;;;;;
AAA_conservative_4;Moderates;;;;;;;;;;;;;
AAA_conservative_5;National Democratic Party;;;;;;;;;;;;;
AAA_fascist_1;Patriotic Front;;;;;;;;;;;;;
AAA_fascist_2;Phalanxists;;;;;;;;;;;;;
AAA_liberal_1;Republican Party;;;;;;;;;;;;;
AAA_liberal_2;Parliamentarists;;;;;;;;;;;;;
AAA_liberal_3;Reformists;;;;;;;;;;;;;
AAA_liberal_4;Liberal Democrats;;;;;;;;;;;;;
AAA_liberal_5;National Liberal Party;;;;;;;;;;;;;
AAA_reactionary_1;Traditionalists;;;;;;;;;;;;;
AAA_reactionary_2;Restorationists;;;;;;;;;;;;;
AAA_liberal_1;Social-Liberals;;;;;;;;;;;;;
AAA_socialist_1;National Socialists;;;;;;;;;;;;;
AAA_socialist_2;Labour Party;;;;;;;;;;;;;
AAA_socialist_3;People's Party;;;;;;;;;;;;;
AAA_socialist_4;Social Democrats;;;;;;;;;;;;;
AAA_socialist_5;Progressivists;;;;;;;;;;;;;
AMA_anarcho_liberal_1;Bartholoméens;;;;;;;;;;;;;
AMA_communist_1;Parti des Travailleurs;;;;;;;;;;;;;
AMA_conservative_1;Parti des Planteurs;;;;;;;;;;;;;
AMA_conservative_2;Centralisateurs;;;;;;;;;;;;;
AMA_conservative_3;Conservateurs;;;;;;;;;;;;;
AMA_fascist_1;La Croix du Sud;;;;;;;;;;;;;
AMA_liberal_1;Equinoxéens;;;;;;;;;;;;;
AMA_liberal_2;Parti fédéraliste;;;;;;;;;;;;;
AMA_reactionary_1;Monarchistes;;;;;;;;;;;;;
AMA_liberal;Parti Démocrate;;;;;;;;;;;;;
AMA_socialist_1;Socialistes;;;;;;;;;;;;;
AMA_socialist_2;Cosmopolitains;;;;;;;;;;;;;
