CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
anarchic_bomb_throwers;Anarchic Bomb Throwers;Lanceurs de bombes anarchistes;Anarchistische Bombenleger;;;;;;;;;;;
desc_anarchic_bomb_throwers;Less money for crime fighting results in lowered ability to respond to security threats like anarchist uprisings.;La baisse des dépenses consacrées à la lutte contre le crime se traduit par une moindre efficacité en termes de réponse aux atteintes à la sécurité comme les soulèvements d'anarchistes.;Weniger Geld für die Verbrechensbekämpfung führt zu einer verringerten Reaktionsfähigkeit auf Sicherheitsrisiken wie anarchistische Rebellionen.;;;;;;;;;;;
citizen_guard;Citizen Guard;Garde citoyenne;Bürgerwache;;;;;;;;;;;
desc_citizen_guard;Less money for crime fighting results in lowered ability to respond to security threats like battling street gangs.;La baisse des dépenses consacrées à la lutte contre le crime se traduit par une moindre efficacité en termes de réponse aux atteintes à la sécurité tels que les combats entre gangs.;Weniger Geld für die Verbrechensbekämpfung führt zu einer verringerten Reaktionsfähigkeit auf Sicherheitsrisiken wie Straßenbanden.;;;;;;;;;;;
immoral_business;Immoral Business;Activité immorale;Unmoralische Geschäfte;;;;;;;;;;;
desc_immoral_business;With rising crime rates and less government control, businessmen would become more and more centred on their own profits. This results in a higher risk of collapse for the entire system, as everybody strives for personal interests.;;Mit steigenden Kriminalitätsraten und weniger Regierungskontrolle werden sich Geschäftsleute vermehrt auf ihre eigenen Profite konzentrieren. Dies führt zu einem höheren Zusammenbruchsrisiko für das gesamte System, da jeder seinen persönlichen Interessen nachgeht.;;;;;;;;;;;
machine_politics;Machine Politics;Clientélisme;Politikmaschinerie;;;;;;;;;;;
desc_machine_politics;The system of machine politics was in essence the bribery of mainly minorities by politicians using their influence. It was common to use the appointment for government jobs as a means of bribery within this system.;Le système du clientélisme se traduit, par essence, par la corruption des principales minorités par les politiciens usant de leur influence. Les nominations à des postes gouvernementaux sont des moyens de corruption.;Beim Politikmaschinerie-System ging es um Bestechungsgelder, die Politiker mit Hilfe ihres Einflusses hauptsächlich Minoritäten zukommen ließen. Innerhalb dieses Systems war es gang und gäbe, Regierungsjobs zu Bestechungszwecken auszunutzen.;;;;;;;;;;;
mafia;Mafia;Mafia;Mafia;;;;;;;;;;;
desc_mafia;If the crime fighting institutions in a province become overstretched, organized crime in form of a mafia would develop. Such organizations resulted in lowered productivity in the province.;Si les institutions de lutte contre le crime d'une province sont trop sollicitées, le crime organisé se transforme en mafia. Et la productivité de la province baisse.;Wenn die Institutionen zur Verbrechensbekämpfung in einer Provinz überlastet sind, entwickelt sich organisiertes Verbrechen in Form einer Mafia. Solche Organisationen verringern die Produktion in der Provinz.;;;;;;;;;;;
rotten_boroughs;Rotten Boroughs;Bourgs pourris;Rotten Boroughs;;;;;;;;;;;
desc_rotten_boroughs;The system of rotten boroughs was a system to create such small voting districts that a certain victory could be won through plain bribery.;Le système des bourgs pourris consiste à créer des circonscriptions électorales si petites qu'elles permettent une victoire certaine par le biais de la corruption.;Das System der Rotten Boroughs schaffte so kleine Wahldistrikte, dass Wahlsiege durch Bestechung gewonnen werden konnten.;;;;;;;;;;;
spoil_system;Spoil System;Système des dépouilles;Verdorbenes System;;;;;;;;;;;
desc_spoil_system;Lacking sufficient control institutions, politicians would eventually use their power and influence for their personal wealth and glory. This results in increased militancy of the whole population in the province.;À défaut d'institutions de contrôle suffisantes, les politiciens usent de leur pouvoir et de leur influence pour assurer leur fortune et leur gloire personnelles. Cela se traduit par un militantisme accru de toute la population de la province.;Ohne ausreichende Kontrollinstitutionen nutzten Politiker schließlich ihre Vorrechte und ihren Einfluss, um sich persönliche Vorteile in Form von Reichtum und Ruhm zu verschaffen. Dies führt zu erhöhter Militanz der gesamten Bevölkerung in der Provinz.;;;;;;;;;;;
terrorist_cells;Terrorist Cells;Cellules terroristes;Terroristenzellen;;;;;;;;;;;
desc_terrorist_cells;With less security personnel around in the province, terrorists have an easier time hiding and waiting for opportunities to strike.;Avec la réduction du personnel de sécurité de la province, les terroristes ont moins de mal à se cacher en attendant l'occasion de frapper.;Mit weniger Sicherheitspersonal in der Provinz können Terroristen leichter in ihren Verstecken auf Gelegenheiten zum Zuschlagen warten.;;;;;;;;;;;
