CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
military_goods;Military Goods;Biens militaires;Militärgüter;;;;;;;;;;;
ammunition;Ammunition;Munitions;Munition;;;;;;;;;;;
small_arms;Small Arms;Petites armes;Handfeuerwaffen;;;;;;;;;;;
artillery;Artillery;Artillerie;Artillerie;;;;;;;;;;;
canned_food;Canned Food;Nourriture en boîte;Konserven;;;;;;;;;;;
barrels;Barrels;Fûts;Geschützrohre;;;;;;;;;;;
aeroplanes;Aeroplanes;Avions;Flugzeuge;;;;;;;;;;;
gunpowder;Gunpowder;;;;;;;;;;;;;
raw_material_goods;Raw Material Goods;Matières premières;Rohmaterialen;;;;;;;;;;;
cotton;Cotton;Coton;Baumwolle;;;;;;;;;;;
cotton_RGO_SIZE;Cotton plantation size;Taille de la plantation de coton;Baumwollplantage-Größe;;;;;;;;;;;
dye;Dye;Colorant;Farbstoffe;;;;;;;;;;;
dye_RGO_SIZE;Dye plantation size;Taille de la plantation de plantes tinctoriales;Farbstoffplantage-Größe;;;;;;;;;;;
wool;Wool;Laine;Wolle;;;;;;;;;;;
wool_RGO_SIZE;Sheep ranch size;Taille de l'élevage de moutons;Schafsranch-Größe;;;;;;;;;;;
silk;Silk;Soie;Seide;;;;;;;;;;;
silk_RGO_SIZE;Silkworm ranch size;Taille de l'élevage de vers à soie;Seidenraupenfarm-Größe;;;;;;;;;;;
coal;Coal;Charbon;Kohle;;;;;;;;;;;
coal_RGO_SIZE;Coal mine size;Taille de la mine de charbon ;Kohlengrube-Größe;;;;;;;;;;;
sulphur;Sulphur;Soufre;Schwefel;;;;;;;;;;;
sulphur_RGO_SIZE;Sulphur mine size;Taille de la mine de soufre;Schwefelmine-Größe;;;;;;;;;;;
iron;Iron;Fer;Eisen;;;;;;;;;;;
iron_RGO_SIZE;Iron mine size;Taille de la mine de fer;Eisenerzmine-Größe;;;;;;;;;;;
timber;Timber;Bois;Holz;;;;;;;;;;;
timber_RGO_SIZE;Timber lodge size;Taille de l'exploitation forestière;Holzfällerlager-Größe;;;;;;;;;;;
tropical_wood;Tropical Wood;Bois exotique;Tropenholz;;;;;;;;;;;
tropical_wood_RGO_SIZE;Tropical wood lodge size;Taille de l'exploitation de bois exotique;Tropenholzfällerlager-Größe;;;;;;;;;;;
rubber;Rubber;Caoutchouc;Gummi;;;;;;;;;;;
rubber_RGO_SIZE;Rubber lodge size;Taille de l'exploitation de caoutchouc;Gummiplantage-Größe;;;;;;;;;;;
oil;Oil;Pétrole;Öl;;;;;;;;;;;
oil_RGO_SIZE;Oil rig size;Taille du puits de pétrole;Ölbohrplattform-Größe;;;;;;;;;;;
precious_metal;Precious Metal;Métal précieux;Edelmetall;;;;;;;;;;;
precious_metal_RGO_SIZE;Precious metal mine size;Taille de la mine de métaux précieux;Edelmetallmine-Größe;;;;;;;;;;;
copper;Copper;;;;;;;;;;;;;
copper_RGO_SIZE;Copper Mine Size;;;;;;;;;;;;;
lead;Lead;;;;;;;;;;;;;
industrial_goods;Industrial Goods;Biens industriels;Industriegüter;;;;;;;;;;;
steel;Steel;Acier;Stahl;;;;;;;;;;;
cement;Cement;Ciment;Beton;;;;;;;;;;;
machine_parts;Machine Parts;Pièces détachées;Maschinenteile;;;;;;;;;;;
glass;Glass;Verre;Glas;;;;;;;;;;;
fuel;Fuel;Carburant;Treibstoff;;;;;;;;;;;
fertilizer;Fertilizer;Engrais;Dünger;;;;;;;;;;;
explosives;Explosives;Explosifs;Sprengstoffe;;;;;;;;;;;
clipper_convoy;Clipper Convoy;Convoi de clippers;Klipper-Konvoi;;;;;;;;;;;
steamer_convoy;Steamer Convoy;Convoi de steamers;Dampfer-Konvoi;;;;;;;;;;;
electric_gear;Electric Gear;Appareil électrique;Elektroteile;;;;;;;;;;;
fabric;Fabric;Tissu;Stoffe;;;;;;;;;;;
lumber;Lumber;Bois;Schnittholz;;;;;;;;;;;
bronze;Bronze;;;;;;;;;;;;;
consumer_goods;Consumer Goods;Biens de consommation;Gebrauchsgüter;;;;;;;;;;;
paper;Paper;Papier;Papier;;;;;;;;;;;
cattle;Cattle;Bétail;Vieh;;;;;;;;;;;
cattle_RGO_SIZE;Cattle ranch size;Taille de l'élevage de bétail;Viehranchgröße;;;;;;;;;;;
fish;Fish;Poisson;Fische;;;;;;;;;;;
fish_RGO_SIZE;Fishing wharf size;Taille du quai de pêche;Fischereihafen-Größe;;;;;;;;;;;
fruit;Fruit;Fruit;Früchte;;;;;;;;;;;
fruit_RGO_SIZE;Orchard size;Taille du verger;Obstgarten-Größe;;;;;;;;;;;
grain;Grain;Céréales;Getreide;;;;;;;;;;;
grain_RGO_SIZE;Grain farm size;Taille de la ferme céréalière;Getreidefarm-Größe;;;;;;;;;;;
tobacco;Tobacco;Tabac;Tabak;;;;;;;;;;;
tobacco_RGO_SIZE;Tobacco plantation size;Taille de la plantation de tabac;Tabakplantage-Größe;;;;;;;;;;;
tea;Tea;Thé;Tee;;;;;;;;;;;
tea_RGO_SIZE;Tea plantation size;Taille de la plantation de thé;Teeplantage-Größe;;;;;;;;;;;
coffee;Coffee;Café;Kaffee;;;;;;;;;;;
coffee_RGO_SIZE;Coffee plantation size;Taille de la plantation de café;Kaffeeplantage-Größe;;;;;;;;;;;
opium;Opium;Opium;Opium;;;;;;;;;;;
opium_RGO_SIZE;Opium plantation size;Taille de la plantation d'opium;Opiumplantage-Größe;;;;;;;;;;;
automobiles;Automobiles;Automobiles;Automobile;;;;;;;;;;;
telephones;Telephones;Téléphones;Telefone;;;;;;;;;;;
wine;Wine;Vin;Wein;;;;;;;;;;;
liquor;Liquor;Alcool;Schnaps;;;;;;;;;;;
regular_clothes;Regular Clothes;Vêtements classiques;Kleidung;;;;;;;;;;;
luxury_clothes;Luxury Clothes;Vêtements de luxe;Luxuskleidung;;;;;;;;;;;
furniture;Furniture;Meubles;Möbel;;;;;;;;;;;
luxury_furniture;Luxury Furniture;Meubles de luxe;Luxusmöbel;;;;;;;;;;;
radio;Radio;Radio;Radio;;;;;;;;;;;
financial_services;Financial Services;;;;;;;;;;;;;
electric_power;Electric Power;;;;;;;;;;;;;
shares;Shares;;;;;;;;;;;;;
cigarettes;Cigarettes;;;;;;;;;;;;;
cigars;Cigars;;;;;;;;;;;;;
horses;Horses;;;;;;;;;;;;;
shoes;Shoes;;;;;;;;;;;;;
boots;Boots;;;;;;;;;;;;;
sugar;Sugar;;;;;;;;;;;;;
pharmaceuticals;Pharmaceuticals;;;;;;;;;;;;;
spices;Spices;;;;;;;;;;;;;
spices_RGO_SIZE;Spice Farm Size;;;;;;;;;;;;;
print;Print;;;;;;;;;;;;;
