CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
proletarian_dictatorship;Proletarian Dictatorship;Dictature prolétaire;Proletarische Diktatur;;;;;;;;;;;
proletarian_dictatorship_ruler;Chairman;Président;Vorsitzender;;;;;;;;;;;
presidential_dictatorship;Presidential Dictatorship;Dictature présidentielle;Präsidiale Diktatur;;;;;;;;;;;
presidential_dictatorship_ruler;President;Président;Präsident;;;;;;;;;;;
bourgeois_dictatorship;Bourgeois Dictatorship;Dictature bourgeoise;Bürgerliche Diktatur;;;;;;;;;;;
bourgeois_dictatorship_ruler;President;Président;Präsident;;;;;;;;;;;
fascist_dictatorship;Fascist Dictatorship;Dictature fasciste;Faschistische Diktatur;;;;;;;;;;;
fascist_dictatorship_ruler;Great Leader;Great Leader;Führer;;;;;;;;;;;
feudal_monarchy;Feudal Monarchy;;;;;;;;;;;;;
feudal_monarchy_ruler;Your Majesty;;;;;;;;;;;;;
khanate;Khanate;;;;;;;;;;;;;
khanate_ruler;Great Khan;;;;;;;;;;;;;
provisional_government;Provisional Government;;;;;;;;;;;;;
provisional_government_ruler;Chairman of the Provisional Government;;;;;;;;;;;;;
colonial_company;Autonomous Dependency;;;;;;;;;;;;;
colonial_company_ruler;Governor;;;;;;;;;;;;;
absolute_monarchy;Absolute Monarchy;Monarchie absolue;Absolute Monarche;;;;;;;;;;;
absolute_monarchy_ruler;Your Majesty;Votre Majesté;König;;;;;;;;;;;
prussian_constitutionalism;Constitutional Monarchy;Monarchie constitutionelle;Preußischer Konstitutionalismus;;;;;;;;;;;
prussian_constitutionalism_ruler;Chancellor;Chancellier;Kanzler;;;;;;;;;;;
hms_government;Parliamentary Monarchy;Monarchie parlementaire;Ihrer Majestät Regierung;;;;;;;;;;;
hms_government_ruler;Prime Minister;Premier Ministre;Premierminister;;;;;;;;;;;
democracy;Republic;Republique;Republik;;;;;;;;;;;
democracy_ruler;Consul;Consul;Consul;;;;;;;;;;;
theocracy;Theocracy;;;;;;;;;;;;;
theocracy_ruler;Your Holiness;;;;;;;;;;;;;
merchant_republic;Merchant Republic;;;;;;;;;;;;;
merchant_republic_ruler;Your Excellency;;;;;;;;;;;
