CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
fascist;Fascist;Fasciste;Faschistisch;;;;;;;;;;;
fascist_uh;Fascists support the extension of social reform, and the removal of political reform, but will oppose any reform as long as the ruling party is not Fascist.;Les fascistes soutiennent la poursuite des réformes sociales et le retrait des réformes politiques à condition que le parti dirigeant partage leur idéologie.;Faschisten unterstützen die Ausweitung von Sozialreformen und die Außerkraftsetzung von Politikreformen - aber nur, wenn Ihre Regierungspartei faschistisch ist.;;;;;;;;;;;
reactionary;Reactionary;Réactionnaire;Reaktionär;;;;;;;;;;;
reactionary_uh;Reactionaries always attempt to roll back both political and social reforms.;Les réactionnaires sont toujours contre les réformes.;Reaktionäre versuchen stets, Reformen rückgängig zu machen.;;;;;;;;;;;
conservative;Conservative;Conservateur;Konservativ;;;;;;;;;;;
conservative_uh;Conservatives prefer the status-quo, but may back reforms under conditions of high militancy.;Les conservateurs préfèrent le statu quo, mais peuvent soutenir les réformes en cas d'extrême nécessité.;Konservative bevorzugen den Status Quo, können aber in extremen Situationen Reformen unterstützen.;;;;;;;;;;;
socialist;Socialist;Socialiste;Sozialistisch;;;;;;;;;;;
socialist_uh;Socialists want to see the enactment of further social reforms, but may back political reforms under conditions of high militancy.;Les socialistes veulent davantage de réformes sociales.;Sozialisten sind an zusätzlichen Sozialreformen interessiert.;;;;;;;;;;;
communist;Communist;Communiste;Kommunistisch;;;;;;;;;;;
communist_uh;Communists want to enact social reforms, but want to see political reforms rolled back.;Les communistes veulent davantage de réformes sociales et le retrait des réformes politiques.;Kommunisten sind an zusätzlichen Sozialreformen interessiert, setzen sich aber für die Außerkraftsetzung von Politikreformen ein.;;;;;;;;;;;
liberal;Liberal;Libéral;Liberal;;;;;;;;;;;
liberal_uh;Liberals want to enact further political reforms, but will also support social reform under conditions of high militancy.;Les libéraux veulent davantage de réformes politiques.;Liberale sind an zusätzlichen Politikreformen interessiert.;;;;;;;;;;;
anarcho_liberal;Anarcho Liberal;Libéral anarchiste;Anarcho-Liberal;;;;;;;;;;;
anarcho_liberal_uh;Anarcho-Liberals want to see social reforms rolled back, and will never support further reforms of any kind.;Les anarcho-libéraux veulent davantage de réformes politiques et le retrait des réformes sociales.;Anarcho-Liberale sind an zusätzlichen Politikreformen interessiert, setzen sich aber für die Außerkraftsetzung von Sozialreformen ein.;;;;;;;;;;;
social_liberal;Social Liberal;;;;;;;;;;;;;
social_liberal_uh;The 'New Liberals', as they are sometimes called, are a new breed of liberals who are in favor of both political as well as social reform.;;;;;;;;;;;;;
separatist;Separatist;;;;;;;;;;;;;
separatist_uh;Separatists have abandoned all attempts at national improvement. They only want independence, and will vote against all reforms.;;;;;;;;;;;;;
subordinate;Subordinate;;;;;;;;;;;;;
subordinate_uh;These are slaves who are compliant and willing to work with the system. They are unlikely to rebel, but contribute nothing to the country's political system.;;;;;;;;;;;;;
insubordinate;Insubordinate;;;;;;;;;;;;;
insubordinate_uh;These are slaves who are rebellious and unwilling to obey their owners, but even so contribute nothing to the country's political system.;;;;;;;;;;;;;
