CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
party_issues;Party Issues;Problèmes de parti;Parteiangelegenheiten;;;;;;;;;;;
trade_policy;Trade Policy;Politique commerciale;Handelspolitik;;;;;;;;;;;
protectionism;Protectionism;Protectionnisme;Protektionismus;;;;;;;;;;;
protectionism_l;Protectionism;Protectionnisme;Protektionismus;;;;;;;;;;;
protectionism_desc;Trade between nations is restricted.;Le commerce entre les États est limité.;Der Handel zwischen Staaten ist eingeschränkt.;;;;;;;;;;;
free_trade;Free Trade;Libre échange;Handelsfreiheit;;;;;;;;;;;
free_trade_l;Free Trade;Libre échange;Freihandel;;;;;;;;;;;
free_trade_desc;Traders are able to act and transact without interference from the government.;Les marchands peuvent commercer sans interférence du gouvernement.;Händler können ihre Geschäfte ohne Einmischung der Regierung betreiben.;;;;;;;;;;;
economic_policy;Economic Policy;Politique économique;Wirtschaftspolitik;;;;;;;;;;;
laissez_faire;Laissez Faire;Laissez-faire;Laissez Faire;;;;;;;;;;;
laissez_faire_l;Laissez Faire;Laissez-faire;Laissez Faire;;;;;;;;;;;
laissez_faire_desc;Industry is free from government interference;Le gouvernement n'interfère pas dans l'industrie;Die Regierung mischt sich nicht in die Industrie ein.;;;;;;;;;;;
interventionism;Interventionism;Interventionnisme;Interventionismus;;;;;;;;;;;
interventionism_l;Interventionism;Interventionnisme;Interventionismus;;;;;;;;;;;
interventionism_desc;In general this is a free market economy but the government reserves the right to intervene when the national interest requires it.;En général, il s'agit d'une économie de libre échange, mais le gouvernement se réserve le droit d'intervenir lorsque l'intérêt national l'exige.;Im Allgemeinen ist dies eine Freihandelswirtschaft, aber die Regierung behält sich das Eingriffsrecht zum Wohle der Nation vor.;;;;;;;;;;;
state_capitalism;State Capitalism;Capitalisme d'État;Staatskapitalismus;;;;;;;;;;;
state_capitalism_l;State Capitalism;Capitalisme d'État;Staatskapitalismus;;;;;;;;;;;
state_capitalism_desc;The State controls the commanding heights of the economy but limited free enterprise is allowed.;L'État contrôle les sphères dirigeantes de l'économie, mais une certaine libre entreprise est autorisée.;Der Staat steuert die Wirtschaft, freie Marktwirtschaft wird aber mit Einschränkungen gestattet.;;;;;;;;;;;
planned_economy;Planned Economy;Économie planifiée;Planwirtschaft;;;;;;;;;;;
planned_economy_l;Planned Economy;Économie planifiée;Planwirtschaft;;;;;;;;;;;
planned_economy_desc;The government makes all decisions on the production and consumption of goods and services.;Le gouvernement prend toutes les décisions sur la production et la consommation des biens et des services.;Die Regierung trifft sämtliche Entscheidungen hinsichtlich der Produktion und des Verbrauchs von Gütern und Dienstleistungen.;;;;;;;;;;;
agrarianism;Agrarianism;;;;;;;;;;;;;
agrarianism_l;Agrarianism;;;;;;;;;;;;;
agrarianism_desc;A social philosophy which believes rural life is superior to urban life. Factories and industrialization of all kinds are to be discouraged.;;;;;;;;;;;;;
religious_policy;Religious Policy;Politique religieuse;Religionspolitik;;;;;;;;;;;
pro_atheism;Atheism;Athéisme;Atheismus;;;;;;;;;;;
pro_atheism_l;Atheism;Athéisme;Atheismus;;;;;;;;;;;
pro_atheism_desc;Total separation between church and state, religion is purely a private matter.;Séparation totale entre l'Église et l'État , la religion est une affaire purement privée.;Totale Trennung zwischen Kirche und Staat - die Religion ist eine strikt private Angelegenheit.;;;;;;;;;;;
secularized;Secularized;Sécularisation;Säkularisation;;;;;;;;;;;
secularized_l;Secularized;Sécularisation;Säkularisation;;;;;;;;;;;
secularized_desc;Religion is not explicitly part of state policy, but the state tips it hat to traditional religious values.;La religion ne fait pas explicitement partie de la politique de l'État, mais celui-ci respecte les valeurs religieuses traditionnelles.;Die Religion ist zwar nicht direkt Teil der Staatspolitik, doch der Staat erkennt die traditionellen religiösen Werte an.;;;;;;;;;;;
pluralism;Pluralism;Pluralisme;Pluralismus;;;;;;;;;;;
pluralism_l;Pluralism;Pluralisme;Pluralismus;;;;;;;;;;;
pluralism_desc;The state religion is actively promoted but other religions are tolerated.;La religion d'État est activement promue, mais d'autres religions sont tolérées.;Die Staatsreligion wird aktiv gefördert, aber andere Religionen werden auch toleriert.;;;;;;;;;;;
moralism;Moralism;Moralisme;Moralismus;;;;;;;;;;;
moralism_l;Moralism;Moralisme;Moralismus;;;;;;;;;;;
moralism_desc;Church and state are a single body, and religious minorities face discrimiation.;L'Église et l'État forment une même entité et les minorités religieuses sont discriminées.;Kirche und Staat sind eine unzertrennbare Einheit und religiöse Minderheiten werden diskriminiert.;;;;;;;;;;;
citizenship_policy;Citizenship Policy;Politique de citoyenneté;Bürgerrechtspolitik;;;;;;;;;;;
residency;Residency;Résidence officielle;Residenz;;;;;;;;;;;
residency_l;Residency;Résidence officielle;Residenz;;;;;;;;;;;
residency_desc;Only people of your nation's primary culture are allowed the vote.;Seule la population de la culture principale de votre nation est autorisée à voter.;Nur Angehörige der Primärkultur unserer Nation dürfen wählen.;;;;;;;;;;;
limited_citizenship;Limited Citizenship;Citoyenneté limitée;Eingeschränktes Bürgerrecht;;;;;;;;;;;
limited_citizenship_l;Limited Citizenship;Citoyenneté limitée;Eingeschränktes Bürgerrecht;;;;;;;;;;;
limited_citizenship_desc;Only people of your nation's primary and accepted cultures are allowed the vote.;Seule la population de la culture principale et de la culture acceptée de votre nation est autorisée à voter.;Nur Angehörige der Primärkultur und der akzeptierten Kulturen unserer Nation dürfen wählen.;;;;;;;;;;;
full_citizenship;Full Citizenship;Pleine citoyenneté;Volles Bürgerrecht;;;;;;;;;;;
full_citizenship_l;Full Citizenship;Pleine citoyenneté;Volles Bürgerrecht;;;;;;;;;;;
full_citizenship_desc;Every vote is equal.;Chaque vote est équivalent.;Jede Stimme ist gleich.;;;;;;;;;;;
war_policy;War Policy;Politique de guerre;Kriegspolitik;;;;;;;;;;;
jingoism;Jingoism;Chauvinisme;Hurrapatriotismus;;;;;;;;;;;
jingoism_l;Jingoism;Chauvinisme;Hurrapatriotismus;;;;;;;;;;;
jingoism_desc;The military is the centrepiece of the state and military spending is prioritised.;L'armée est la pièce maîtresse de l'État et les dépenses militaires sont privilégiées.;Das Militär ist das Kernstück des Staats und der Wehretat hat oberste Priorität.;;;;;;;;;;;
pro_military;Pro Military;Pro-militaire;Pro Militär;;;;;;;;;;;
pro_military_l;Pro Military;Pro-militaire;Pro Militär;;;;;;;;;;;
pro_military_desc;The government is a strong supporter of the armed services.;Le gouvernement soutient les forces armées.;Die Regierung ist ein starker Unterstützer der Streitkräfte.;;;;;;;;;;;
anti_military;Anti Military;Anti-militaire;Anti-Militär;;;;;;;;;;;
anti_military_l;Anti Military;Anti-militaire;Anti-Militär;;;;;;;;;;;
anti_military_desc;The armed forces are a drain on the state coffers and the government feels money is better spent elsewhere.;Les forces armées grèvent les finances de l'État et le gouvernement estime que cet argent serait mieux utilisé ailleurs.;Die Streitkräfte belasten den Staatshaushalt und die Regierung ist der Ansicht, dass sie das Geld woanders besser einsetzen könnte.;;;;;;;;;;;
pacifism;Pacifism;Pacifisme;Pazifismus;;;;;;;;;;;
pacifism_l;Pacifism;Pacifisme;Pazifismus;;;;;;;;;;;
pacifism_desc;The government is actively hostile to the interests of the military, feeling they are opposed to the government policies.;Le gouvernement est activement hostile aux intérêts de l'armée qu'il juge contraires à ses politiques.;Die Regierung ist den Interessen des Militärs gegenüber feindlich eingestellt und sieht sie als gegen die Regierungspolitik gerichtet an.;;;;;;;;;;;
political_reforms;Political Reforms;Réformes politiques;Politische Reformen;;;;;;;;;;;
slavery;Slavery;Esclavage;Sklaverei;;;;;;;;;;;
yes_slavery;Allowed;Autorisé;Gestattet;;;;;;;;;;;
yes_slavery_l;Slavery Allowed;Esclavage autorisé;Sklaverei gestattet;;;;;;;;;;;
yes_slavery_desc;Slavery is allowed;L'esclavage est autorisé;Sklaverei ist gestattet;;;;;;;;;;;
no_slavery;Outlawed;Illégal;Geächtet;;;;;;;;;;;
no_slavery_l;Outlaw Slavery;Esclavage interdit;Sklaverei ächten;;;;;;;;;;;
no_slavery_desc;Slavery is forbidden;L'esclavage est interdit;Sklaverei ist geächtet;;;;;;;;;;;
movement_no_slavery;Abolitionist Movement;Mouvement abolitionniste;Anti-Sklaverei-Bewegung;;;;;;;;;;;
vote_franschise;Vote Franchise;Droit de vote;Wahlrecht;;;;;;;;;;;
none_voting;No Voting;Aucun vote;Keine Wahlen;;;;;;;;;;;
none_voting_l;No Voting;Aucun vote;Keine Wahlen;;;;;;;;;;;
none_voting_desc;No one is allowed to vote.;Personne ne peut voter.;Niemand darf wählen.;;;;;;;;;;;
landed_voting;Only Landed;Système électoral censitaire;Nur Landbesitzer;;;;;;;;;;;
landed_voting_l;Landed Voting;Système électoral censitaire;Grundbesitzerwahl;;;;;;;;;;;
landed_voting_desc;Only aristocrats and Capitalists may vote.;Seuls les aristocrates et les capitalistes peuvent voter.;Nur Aristokraten und Kapitalisten haben Wahlrecht.;;;;;;;;;;;
wealth_weighted_voting;Weighted Wealth;Richesse pondérée;Vermögensgewichtung;;;;;;;;;;;
wealth_weighted_voting_l;Wealth Weighted Voting;Droit de vote pondéré basé sur la fortune;Wahlen mit Vermögensgewichtung;;;;;;;;;;;
wealth_weighted_voting_desc;Only the wealthy (clerks and above) may vote, but the rich men's votes are worth twice as much as middle-class votes.;Seuls les plus aisés (employés ou supérieurs) peuvent voter, mais les votes des riches compte deux fois plus que ceux des classes moyennes.;Nur wohlhabende Menschen (Angestellte und höher) dürfen wählen, aber die Stimmen reicher Männer zählen doppelt so viel wie die von Angehörigen der Mittelklasse.;;;;;;;;;;;
wealth_voting;Wealth;Richesse;Vermögen;;;;;;;;;;;
wealth_voting_l;Wealth Voting;Droit de vote basé sur la fortune;Vermögenswahl;;;;;;;;;;;
wealth_voting_desc;Only the middle and upper clasees may vote.;Seules les classes moyennes et supérieures peuvent voter.;Nur Angehörige der Mittel- und Oberklasse dürfen wählen.;;;;;;;;;;;
universal_weighted_voting;Weighted Universal;Scrutin universel pondéré;Universalgewichtung;;;;;;;;;;;
universal_weighted_voting_l;Universal Weighted Voting;Droit de vote universel pondéré;Universal gewichtete Wahl;;;;;;;;;;;
universal_weighted_voting_desc;Everyone is allowed to vote, but the rich men's votes are worth more.;Tout le monde peut voter, mais les votes des riches comptent davantage.;Jedermann darf wählen, aber die Stimmen reicher Männer zählen mehr.;;;;;;;;;;;
universal_voting;Universal;Scrutin universel;Universal;;;;;;;;;;;
universal_voting_l;Universal Voting;Droit de vote universel;Universalwahlen;;;;;;;;;;;
universal_voting_desc;Everyone is allowed to vote.;Tout le monde peut voter.;Alle dürfen wählen.;;;;;;;;;;;
upper_house_composition;Upper House;Chambre haute;Unterhaus;;;;;;;;;;;
