CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
government_sanitarium;Sanitarium;Sanatorium;Sanitarium;;;;;;;;;;;
desc_government_sanitarium;The Government operates a sanitarium for tuberculosis patients in this province.;Le gouvernement met un sanatorium à la disposition des tuberculeux de cette province.;Die Regierung betreibt ein Sanitarium für Tuberkulosepatienten in dieser Provinz.;;;;;;;;;;;
academic_confusion;Academic Confusion;Confusion académique;Akademisches Durcheinander;;;;;;;;;;;
academic_confusion_desc;Our academia is in a state of disarray, following a paradigm shift within our academic establishment. Our prestige and research will be hampered while the effect lasts.;Notre académie est en proie à la panique à la suite d'un changement paradigmatique au sein de notre effectif. Tant que cela durera, notre prestige et notre recherche en pâtiront.;Nach einem Paradigmenwechsel in unserem Bildungsministerium ist unsere akademische Welt in einem Zustand totalen Durcheinanders. Solange dieser Effekt anhält, leiden unser Prestige und unsere Forschung darunter.;;;;;;;;;;;
liberal_agitation;Liberal Agitation;Agitation libérale;Liberale Agitation;;;;;;;;;;;
desc_liberal_agitation;Firebrands are arguing the cause of liberalism and revolution.;Des exaltés de cette province soutiennent la révolution libérale.;Aufwiegler in diesen Provinzen fordern die liberale Revolution.;;;;;;;;;;;
springtime_of_nations;The Springtime of Nations!;Le Printemps des nations!;Frühling der Nationen!;;;;;;;;;;;
springtime_of_nations_desc;The slumbering nations of Europe awake to throw of the spectres of despotism and tyranny;Les nations endormies d'Europe se réveillent pour lutter contre les spectres du despotisme et de la tyrannie.;Die schlummernden Nationen Europa erwachen, um die Gespenster des Despotismus und der Tyrannei zu vertreiben.;;;;;;;;;;;
global_liberal_agitation;Liberal Agitation;Agitation libérale;Liberale Agitation;;;;;;;;;;;
desc_global_liberal_agitation;Firebrands are arguing the cause of liberalism and revolution.;Des exaltés soutiennent le libéralisme et la révolution.;Aufwiegler in diesen Provinzen fordern die liberale Revolution.;;;;;;;;;;;
potato_blight;Potato Blight;Le mildiou de la pomme de terre;Kartoffelfäule;;;;;;;;;;;
desc_potato_blight;Famine spreads as crops lie, dead and rotting, in our fields.;La famine s'étend tandis que les cultures pourrissent dans nos champs.;Hunger breitet sich aus, weil die Ernte tot und verfaulend auf unseren Feldern liegt.;;;;;;;;;;;
anti_jacobin_tract;Anti-Jacobin Tract;Tract antijacobin;Antijakobinertrakt;;;;;;;;;;;
desc_anti_jacobin_tract;A tract arguing the causes of counter-revolution, order, religion and monarchy has recieved widespread circulation in our country.;Un tract contre-révolutionnaire en faveur de l'ordre, de la religion et de la monarchie a été largement diffusé dans notre pays.;Ein Traktat über die Gründe von Konterrevolution, Ordnung, Religion und Monarchie ist in unserem Land in breitem Umlauf.;;;;;;;;;;;
cholera_epidemic_small;Outbreak of Cholera;Épidémie de choléra;Ausbruch der Cholera;;;;;;;;;;;
desc_cholera_epidemic_small;Cholera has broken out in this province, and threatens to spread.;Le choléra a fait son apparition dans cette province et l'épidémie guette la population.;Cholera ist in dieser Provinz ausgebrochen und droht, sich weiter zu verbreiten.;;;;;;;;;;;
cholera_epidemic_big;Cholera Epidemic;Épidémie de choléra;Choleraepidemie;;;;;;;;;;;
desc_cholera_epidemic_big;Cholera has broken out in this province, and threatens to spread.;Le choléra a fait son apparition dans cette province et l'épidémie guette la population.;Cholera ist in dieser Provinz ausgebrochen und droht, sich weiter zu verbreiten.;;;;;;;;;;;
conservative_reaction;Conservative Opposition;Opposition conservatrice;Konservative Opposition;;;;;;;;;;;
desc_conservative_reaction;Conservatives in parliment are dissatisfied.;Les conservateurs qui siègent au parlement sont mécontents.;Die Konservativen im Parlament sind unzufrieden.;;;;;;;;;;;
liberal_reaction;Liberal Opposition;Opposition libérale;Liberale Opposition;;;;;;;;;;;
desc_liberal_reaction;Liberals in parliment are dissatisfied.;Les libéraux qui siègent au parlement sont mécontents.;Die Liberalen im Parlament sind unzufrieden.;;;;;;;;;;;
national_tragedy;National Tragedy;Drame national;Nationale Tragödie;;;;;;;;;;;
desc_national_tragedy;Our nation mourns another young girl lost to the coal fields.;Notre nation déplore la perte d'une nouvelle jeune fille dans les mines de charbon.;Unser Nation betrauert ein weiteres Mädchen, das den Kohlefeldern zum Opfer fiel.;;;;;;;;;;;
western_influences;Western Influences;Influences occidentales;Westlicher Einfluss;;;;;;;;;;;
desc_western_influences;Our government pursues a policy of active encouragment of Western Influences.;Notre gouvernement mène une politique visant à encourager les influences occidentales.;Unsere Regierung verfolgt eine Politik, die westliche Einflüsse aktiv fördert.;;;;;;;;;;;
uncivilized_isolationism;Isolationism;Isolationnisme;Isolationismus;;;;;;;;;;;
desc_uncivilized_isolationism;Our country has closed its ports and borders to foreigners.;Notre pays a fermé ses ports et ses frontières aux étrangers.;Unser Land hat seine Häfen und Grenzen für Ausländer geschlossen.;;;;;;;;;;;
western_presence;Western Presence;Présence occidentale;Westliche Präsenz;;;;;;;;;;;
desc_western_presence;An expatriate community of foreigners, from various European countries and Great Powers, has formed here.;Une communauté d'expatriés issus de différents pays européens et de grandes puissances s'est formée ici.;Eine Ausländergemeinde aus verschiedenen europäischen Ländern und Großmächten hat sich hier gebildet.;;;;;;;;;;;
foreign_smugglers;Foreign Smugglers;Contrebandiers étrangers;Ausländische Schmuggler;;;;;;;;;;;
desc_foreign_smugglers;A smuggling ring run by foreigners operates in this province.;Un cercle de contrebandiers dirigé par des étrangers sévit dans cette province.;Ein von Ausländern geführter Schmugglerring arbeitet in dieser Provinz.;;;;;;;;;;;
foreign_trading_post;Foreign Trading Post;Comptoir étranger;Ausländischer Handelsposten;;;;;;;;;;;
desc_foreign_trading_post;A separate class of our citizens, kept apart from the general populace, administer a trading post for foreigners in this province.;Une catégorie distincte de nos citoyens, tenue à l'écart du reste de la population, gère un comptoir réservé aux étrangers de cette province.;Eine separate Klasse unserer Bürger, die von der allgemeinen Bevölkerung ferngehalten wird, betreibt einen Handelsposten in dieser Provinz.;;;;;;;;;;;
silk_famine;Silk Famine;Épidémie de pébrine;Seidenhungersnot;;;;;;;;;;;
desc_silk_famine;A local outbreak of Pébrine prevents local silk farms from operating at full capacity;Une épidémie locale de pébrine empêche les élevages de vers à soie de fonctionner à pleine capacité.;Eine lokale Epidemie der Pébrine-Krankheit hindert lokale Seidenproduzenten daran, mit voller Kapazität zu arbeiten;;;;;;;;;;;
naval_school;Naval School;École navale;Marineschule;;;;;;;;;;;
desc_naval_school;The Merchant Marine operates a Naval School in this province, providing lessons in leadership and education in the latest naval technologies;La marine marchande possède une École navale dans cette province. Outre l'art du commandement, on y apprend à utiliser les dernières technologies navales.;Die Handelsmarine betreibt eine Marineschule in dieser Provinz, wo sie Unterricht in Führungstum und den neuesten Flottentechnologien anbietet;;;;;;;;;;;
trade_restrictions;Trade Restrictions;Restrictions commerciales;Handelsbeschränkungen;;;;;;;;;;;
desc_trade_restrictions;Our country has a policy of regulating and banning certain imports and exports.;Notre pays régule et interdit certaines importations et exportations.;Es ist die Politik unseres Landes, gewisse Im- und Exporte zu regulieren und zu unterbinden.;;;;;;;;;;;
colonial_dry_spell;Dry Spell;Sécheresse;Trockenphase;;;;;;;;;;;
colonial_dry_spell_desc;Very little rain has fallen in this province during the summer, and farms are suffering.;Il a très peu plu dans cette province pendant l'été et les exploitations agricoles souffrent de ce manque d'eau.;Diesen Sommer ist in dieser Provinz nur wenig Regen gefallen, und die Farmen leiden.;;;;;;;;;;;
colonial_exploitation;Colonial Exploitation;Exploitation coloniale;Koloniale Ausbeutung;;;;;;;;;;;
colonial_exploitation_desc;We are milking this province for all that it is worth.;Nous exploitons toutes les richesses de cette province.;Wir pressen den letzten Heller aus dieser Provinz.;;;;;;;;;;;
colonial_museum_of_natural_history;Museum of Natural History;Museum d'histoire naturelle;Naturgeschichtliches Museum;;;;;;;;;;;
colonial_museum_of_natural_history_desc;A Museum of Natural History has been established in this province.;Un museum d'histoire naturelle a ouvert ses portes dans cette province.;Ein Naturgeschichtliches Museum wurde in dieser Provinz errichtet.;;;;;;;;;;;
colonial_mismanagement;Colonial Mismanagement;Mauvaise gestion coloniale;Koloniale Fehlverwaltung;;;;;;;;;;;
colonial_mismanagement_desc;The small sums afforded the Colonial Office (Administration Spending) has meant that this colony has fallen into a state of bureaucratic disrepair.;Compte tenu des sommes dérisoires octroyées au Bureau colonial (dépenses administratives), cette colonie est en situation de ruine bureaucratique.;Die geringen Summen, die wir dem Kolonialamt zuweisen (Verwaltungsausgaben), haben diese Kolonie in einen Zustand bürokratischen Verfalls sinken lassen.;;;;;;;;;;;
colonial_recruitment;Land! Liberty! Labour!;Terre! Liberté! Travail!;Land! Freiheit! Arbeit!;;;;;;;;;;;
colonial_recruitment_desc;A government campaign is attracting immigrants to this province with promises of land and opportunities.;Une campagne gouvernementale promettant terres et opportunités attire les immigrants vers cette province.;Eine Regierungskampagne zieht Einwanderer mit Versprechungen von Land und Zukunftsgelegenheiten in die Provinz.;;;;;;;;;;;
baby_boom;Baby Boom;Baby Boom;Baby-Boom;;;;;;;;;;;
loyal_askaris;Gurkhas, Askaris & Tirailleurs;Gurkhas, Askaris et tirailleurs;Gurkhas, Askaris & Tirailleure;;;;;;;;;;;
loyal_askaris_desc;The people in this province are generally supportive of our rule, and several of them serve, or are willing to serve, in colonial military regiments;Généralement, les habitants de cette province vous soutiennent. D'ailleurs, certains servent ou sont prêts à servir dans les régiments militaires coloniaux.;Die Menschen in dieser Provinz unterstützen unsere Regierung zum Großteil, und viele von ihnen dienen in kolonialeigenen Militärregimentern, bzw. sind gewillt, dort zu dienen.;;;;;;;;;;;
female_suffrage;Woman's Suffrage;Droit de vote des femmes;Frauenwahlrecht;;;;;;;;;;;
female_suffrage_desc;Our country accords women legal equality with men, and the right to vote in general elections.;Notre pays accorde aux femmes la même égalité qu'aux hommes ainsi que le droit de voter lors des élections générales.;Unser Land gewährt Frauen denselben Rechtsstatus wie Männern sowie das Wahlrecht für Parlamentswahlen.;;;;;;;;;;;
labor_union;Labor Union;Syndicat professionnel;Arbeitergewerkschaft;;;;;;;;;;;
