;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46306;The Balaiada;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC46306;A political power dispute arose in the heart of the elite class, which was reflected in Maranhão by the opposition of liberals and conservatives. When Pedro de Araújo Lima became prime minister, provoking the so-called conservative regression, the Maranhão conservatives took advantage of the opportunity to remove the liberals in power and weaken them further by contracting the service of the cattle ranchers, traditionally supported by the liberals. The event which began the revolt was the detention of the brother of the rancher Gomes, a liberal, by the order of a submayor of the town of Manga, a conservative. Contesting the detention of his brother, Gomes, with the support of a contingent of the National Guard, invaded the municipal jail and freed him in $YEAR$, the beginning of a rebellion against the conservative government.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA46306;Damn liberals.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME46305;The Cabanagem Revolution;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC46305;"Until 1822 Grão-Pará had been a separate viceroyalty from Brazil, reporting herself directly to Portugal. The viceroyalty united with Brazil in the fight against Portugal but once the fight for independence ended and a provincial government named by the Brazilian Emperor was installed, the local leaders were marginalized from power. A rebellion broke out in 1831 in the military garrison of Belém involving one of these local leaders, Batista Campos, which was jailed. The indignation of the poor grew, and in 1833 already there was talk of converting Brazil into a federation. The provincial president unleashed a repressive political wave, in an attempt to contain the separatists. The name 'Cabanagem' refers to the type of hut used by the poorest people in the province. The elite agriculturists of Grão-Pará, while living much better, resented their lack of participation in the central government's decision making, which was dominated by the provinces of the Southeast and Northeast.";;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA46305;We need to put them back in their place.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVT96216OPTA;A greater destiny awaits!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVT96215OPTA;Outrageous!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTD22581;Never bother me with this again.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
