;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
smithian_school;Smithianism;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
smithian_school_desc;"Laissez-faire philosophies, such as minimizing the role of government intervention and taxation in the free markets, and the idea that an 'invisible hand' guides supply and demand are among the key ideas Adam Smith's writing is responsible for promoting. Our trade policies are largely inspired by him.";;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
french_liberal_school;Orthodox Liberal School;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
french_liberal_school_desc;The Orthodox school of economic thought, also known as the French Liberal School or Oprtimist School, voraciously defends free trade and laissez-faire capitalism. They are the primary opponents of collectivist, interventionist and protectionist ideas.  Our trade policies are largely inspired by this school.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;x,,,,,
no_trade_policy_set;No Set Trade Policy;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
no_trade_policy_set_desc;Our government doesn't have a set trade policy and prefers to make snap decisions on tariffs.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
mercantilism;Mercantilism;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
mercantilism_desc;Mercantilism is a type of policy designed to maximize the trade of a nation and especially to maximize the accumulation of gold and silver. It promotes governmental regulation of a nation's economy for the purpose of augmenting state power at the expense of rival national powers.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
economic_nationalism;Economic Nationalism;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
economic_nationalism_desc;The aim of this policy is to have a country that is economically independent and nationally self-sufficient. It favors policies that emphasize domestic control of the economy, labor, and capital formation, even if this requires the heavy imposition of tariffs and other restrictions on the movement of labor, goods and capital.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
polish_uprising_mobilization;Polish Uprising;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
polish_uprising_mobilization_desc;We are mobilizing our society so Poland can be free once more.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
war_propaganda;War Propaganda;;;;;;;;;;;;;
war_propaganda_desc;Our country is currently undertaking a massive propaganda campaign, pushing the people to support our war policies.;;;;;;;;;;;;;
government_propaganda;Government Propaganda;;;;;;;;;;;;;
government_propaganda_desc;Our country is currently undertaking a massive propaganda campaign, pushing the people to support our government policies.;;;;;;;;;;;;;
credit_risk;High Credit Risk;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
credit_risk_desc;Revolts, wars or general instability, our country is too much of a risk for other countries to lend money to us.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
sound_dues;Sound Dues Toll;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
sound_dues_toll;Sound Dues Toll;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
unrecognized_country;Unrecognized Country;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
unrecognized_country_desc;As a young rebellious country, no one recognizes our right to self rule.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
monthly_payment_made;Monthly Payment;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
monthly_payment_made_desc;We already contributed to our overlord's coffers this month.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
using_foreign_ships;Uses Imported Ships;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
using_foreign_shipyards;Uses Western Shipyards;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
using_foreign_weapons;Uses Foreign Weapons;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
using_foreign_artillery;Uses Foreign Artillery;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
sicilian_mafia;Sicilian Mafia;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
desc_sicilian_mafia;The Sicilian Mafia, also known as simply the Mafia or Cosa Nostra, is a criminal syndicate born in Sicily and operating in provinces with South Italians. They profit mainly through racketeering, badly affecting producers' profits and their capability to hire new workers, but they also dwell on political corruption and other criminal areas. Their brutal methods makes them infamous where they operate.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
owed_steamers;Owed Steamers;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
owed_artillery;Owed Artillery;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
owed_canned_food;Owed Canned Food;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
total_reform;Comprehensive Miracle;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
total_reform_desc;Our country is going through comprehensive reforms, promoting nothing short of a true miracle.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
slave_revolution;Slave Revolution;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
relutanct_figher;Reluctant Fighter;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
relutanct_figher_desc;This nation doesn't seems to have its own ambitions and is reluctant to fight for another country.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
silver_mine;Silver Mine;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
krakow_is_austrian;Krakow is Austrian;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
great_irish_famine;Great Irish Famine;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
preparations_to_kill;Extermination Camps;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
sunni_country;Sunni Religion;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
shiite_country;Shiite Religion;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
ibadi_country;Ibadi Religion;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
catholic_country;Catholic Religion;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
protestant_country;Protestant Religion;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
mormon_country;Mormon Religion;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
orthodox_country;Orthodox Religion;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
coptic_country;Coptic Religion;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
jewish_country;Jewish Religion;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
yazidi_country;Yazidi Religion;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
mahayana_country;Mahayana Religion;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
gelugpa_country;Gelugpa Religion;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
theravada_country;Theravada Religion;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
hindu_country;Hindu Religion;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
shinto_country;Shinto Religion;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
sikh_country;Sikh Religion;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
taiping_country;Taiping Religion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fetishist_country;Fetishist Religion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
init_country;Init Religion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jain_country;Jain Religion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zoroastrian_country;Zoroastrian Religion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
assyrian_country;Assyrian Religion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animist_country;Animist Religion;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
native_assimilation_act_policy;Native Assimilation Act;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
native_assimilation_act_policy_desc;The government is working towards the assimilation of the native population.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
native_removal_act_policy;Native Removal Act;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
native_removal_act_policy_desc;Discriminatory policies aim to eliminate and push out the native population.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
african_integration_policy;African Integration Policy;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
native_assimilation_enacted;Native Integration Policy;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
new_world_nation;New World Nation;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
low_healthcare_poorly_funded;Poorly Funded Healthcare;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
desc_low_healthcare_poorly_funded;Less government investment in administration results in a poorly funded healthcare system.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
good_healthcare_poorly_funded;Poorly Funded Healthcare;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
desc_good_healthcare_poorly_funded;Less government investment in administration results in a poorly funded healthcare system.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
capital_health_care;Local Capital Healthcare;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
local_trinket_health_care;Trinket Healthcare;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
local_low_health_care;Low Healthcare;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
local_acceptable_health_care;Acceptable Healthcare;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
local_good_health_care;Good Healthcare;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
pearl_season;Pearl Hunting Season;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
pearl_season_desc;The population in this province is engaging in the much profitable pearl hunting activity.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
