#Most keys defined in the...\common folder;;;;;;;;;;;;;;
#buildings.txt;;;;;;;;;;;;;;
aeroplane_factory;Aeroplane Factory;Usine d'avions;Flugzeugfabrik;;;;;;;;;;;
aeroplane_factory_desc;Machine parts, electric gear and rubber are needed to produce aeroplanes.;Des pièces mécaniques, des composants électriques et du caoutchouc sont nécessaires pour produire des avions.;Zum Flugzeugbau sind Maschinenteile, Elektroteile und Gummi erforderlich.;;;;;;;;;;;
barrel_factory;Barrel Factory;Usine de chars;Geschützrohrfabrik;;;;;;;;;;;
barrel_factory_desc;Tanks were little more than artillery mounted on a moving chassis. Therefore, automobiles and artillery are required to produce tanks.;Les chars n'étaient guère plus que des pièces d'artillerie montées sur un châssis mobile. Par conséquent, des automobiles et des pièces d'artillerie sont nécessaires pour produire des chars.;Panzer waren anfänglich kaum mehr als auf bewegliche Untersätze montierte Artillerie. Daher sind Automobile und Artillerie zur Panzerproduktion erforderlich.;;;;;;;;;;;
automobile_factory;Automobile Factory;Usine d'automobiles;Automobilfabrik;;;;;;;;;;;
automobile_factory_desc;Machine parts, electric gear and rubber are needed to produce automobiles.;Des pièces mécaniques, des composants électriques et du caoutchouc sont nécessaires pour produire des automobiles.;Zur Automobilproduktion sind Maschinenteile, Elektroteile und Gummi erforderlich.;;;;;;;;;;;
radio_factory;Radio Factory;Usine de radios;Radiofabrik;;;;;;;;;;;
radio_factory_desc;Radios were one of the first mass consumergoods of the 20th centuary. Glass and electric gears are required for this.;Les radios furent parmi les premiers biens de consommation de masse du XXe siècle. Du verre et des composants électriques sont nécessaires pour les produire.;Radiogeräte gehörten zu den ersten Massengebrauchsgütern des zwanzigstens Jahrhunderts. Für diese Geräte werden Glas und Elektroteile benötigt.;;;;;;;;;;;
telephone_factory;Telephone Factory;Usine de téléphones;Telefonfabrik;;;;;;;;;;;
telephone_factory_desc;The telephone is a major breakthrough in communications technology. Glass and electric gear is needed in this factory.;Le téléphone est une invention déterminante dans le secteur des communications. Du verre et des composants électriques sont nécessaires pour sa production.;Das Telefon ist ein wichtiger Durchbruch in der Kommunikationstechnologie. Glas und Elektroteile werden in dieser Fabrik gebraucht.;;;;;;;;;;;
electric_gear_factory;Electric Gear Factory;Usine de composants électriques;Elektroteilefabrik;;;;;;;;;;;
electric_gear_factory_desc;Using rubber, coal and iron, electric gear is produced. Electric gear is needed for a variety of things, among them automobiles and aeroplanes.;Les composants électriques sont produits à l'aide de caoutchouc, de charbon et de fer. Les composants électriques sont nécessaires dans différents secteurs, notamment pour la production d'automobiles et d'avions.;Elektroteile werden mit Gummi, Kohle und Eisen produziert. Elektroteile sind wichtig für eine Reihe von Produkten, unter anderem für Automobile und Flugzeuge.;;;;;;;;;;;
machine_parts_factory;Machine Parts Factory;Usine de pièces mécaniques;Maschinenteilefabrik;;;;;;;;;;;
machine_parts_factory_desc;Machine parts are very important tools for every industrial plant. Bronze and Coal are required to produce them.;;;;;;;;;;;;;
