CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
DUA;Dual Monarchy;;;;;;;;;;;;;x
PRV;Provence;;;;;;;;;;;;;x
VIN;Vinland;;;;;;;;;;;;;x
PLA;Plantagenia;;;;;;;;;;;;;x
BEL;Belgian Confederacy;;;;;;;;;;;;;x
QIN;Qingqiu;;;;;;;;;;;;;x
HRE;Holy Roman Empire;;;;;;;;;;;;;x
ARC;Arcadia;;;;;;;;;;;;;x
AME;Ameriga;;;;;;;;;;;;;x
TRA;Transalpina;;;;;;;;;;;;;x
NOV;Novgorod;;;;;;;;;;;;;x
MUS;Muscovy;;;;;;;;;;;;;x
PSK;Pskov;;;;;;;;;;;;;x
BDG;Brandenburg;;;;;;;;;;;;;x
ELB;Elbia;;;;;;;;;;;;;x
DNB;Danubia;;;;;;;;;;;;;x
NAV;Navarre;;;;;;;;;;;;;x
HKG;Hokkaigan;;;;;;;;;;;;;x
NUS;Nusantara;;;;;;;;;;;;;x
RHO;Rhonnst;;;;;;;;;;;;;x
BEO;Beornia;;;;;;;;;;;;;x
INC;Tawantinsuyu;;;;;;;;;;;;;x
FRK;Frankia;;;;;;;;;;;;;x
ZHO;Zhourao;;;;;;;;;;;;;x
CRO;Illyria;;;;;;;;;;;;;x
AMA;Amazonie;;;;;;;;;;;;;x
LOT;Lotharingia;;;;;;;;;;;;;x
MJR;Nogai;;;;;;;;;;;;;x
DZU;Dzungar Khanate;;;;;;;;;;;;;x
SAL;Salzburg;;;;;;;;;;;;;x
ADA;Adal;;;;;;;;;;;;;x
AJU;Ajuuraan;;;;;;;;;;;;;x
AMT;Amatsa;;;;;;;;;;;;;x
BRN;Bornu;;;;;;;;;;;;;x
CMP;Champa;;;;;;;;;;;;;x
FLB;Fulbe;;;;;;;;;;;;;x
FUN;Funj;;;;;;;;;;;;;x
KAN;Kano;;;;;;;;;;;;;x
MDR;Madeiras;;;;;;;;;;;;;x
NGH;Nganha;;;;;;;;;;;;;x
NRI;Nri;;;;;;;;;;;;;x
VIJ;Vijayanagar;;;;;;;;;;;;;x
XAC;Xacitarxan;;;;;;;;;;;;;x
HAF;Hafsid;;;;;;;;;;;;;x
