CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
statehood_process_requests_title;Show statehood mechanic decisions.;;;;;;;;;;;;;x
statehood_process_requests_desc;Press this decision to reveal the statehood mechanic decisions, and therefore be able to check the requirements for your colonial states to become proper full states.;;;;;;;;;;;;;x
statehood_CAN_13_title;Grant Bitish Columbia statehood;;;;;;;;;;;;;x
statehood_CAN_13_desc;The territory of British Columbia has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_CAN_46_title;Grant Southern Ontario statehood;;;;;;;;;;;;;x
statehood_CAN_46_desc;The territory of Southern Ontario has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_CAN_58_title;Grant Southern Quebec statehood;;;;;;;;;;;;;x
statehood_CAN_58_desc;The territory of Southern Quebec has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_ENG_68_title;Grant New Brunswick statehood;;;;;;;;;;;;;x
statehood_ENG_68_desc;The territory of New Brunswick has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_ENG_71_title;Grant Nova Scotia statehood;;;;;;;;;;;;;x
statehood_ENG_71_desc;The territory of Nova Scotia has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_ENG_74_title;Grant Newfoundland statehood;;;;;;;;;;;;;x
statehood_ENG_74_desc;The territory of Newfoundland has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_USA_78_title;Grant Washington statehood;;;;;;;;;;;;;x
statehood_USA_78_desc;The territory of Washington has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_USA_81_title;Grant Oregon statehood;;;;;;;;;;;;;x
statehood_USA_81_desc;The territory of Oregon has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_MEX_85_title;Grant California statehood;;;;;;;;;;;;;x
statehood_MEX_85_desc;The territory of California has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_USA_91_title;Grant Idaho statehood;;;;;;;;;;;;;x
statehood_USA_91_desc;The territory of Idaho has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_MEX_94_title;Grant Nevada statehood;;;;;;;;;;;;;x
statehood_MEX_94_desc;The territory of Nevada has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_MEX_97_title;Grant Utah statehood;;;;;;;;;;;;;x
statehood_MEX_97_desc;The territory of Utah has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_MEX_100_title;Grant Arizona statehood;;;;;;;;;;;;;x
statehood_MEX_100_desc;The territory of Arizona has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_MEX_103_title;Grant New Mexico statehood;;;;;;;;;;;;;x
statehood_MEX_103_desc;The territory of New Mexico has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_USA_106_title;Grant Colorado statehood;;;;;;;;;;;;;x
statehood_USA_106_desc;The territory of Colorado has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_USA_111_title;Grant Wyoming statehood;;;;;;;;;;;;;x
statehood_USA_111_desc;The territory of Wyoming has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_USA_116_title;Grant Montana statehood;;;;;;;;;;;;;x
statehood_USA_116_desc;The territory of Montana has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_USA_118_title;Grant North Dakota statehood;;;;;;;;;;;;;x
statehood_USA_118_desc;The territory of North Dakota has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_USA_121_title;Grant South Dakota statehood;;;;;;;;;;;;;x
statehood_USA_121_desc;The territory of South Dakota has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_USA_124_title;Grant Nebraska statehood;;;;;;;;;;;;;x
statehood_USA_124_desc;The territory of Nebraska has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_USA_126_title;Grant Kansas statehood;;;;;;;;;;;;;x
statehood_USA_126_desc;The territory of Kansas has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_USA_129_title;Grant Oklahoma statehood;;;;;;;;;;;;;x
statehood_USA_129_desc;The territory of Oklahoma has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_TEX_132_title;Grant Texas statehood;;;;;;;;;;;;;x
statehood_TEX_132_desc;The territory of Texas has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_USA_144_title;Grant Arkansas statehood;;;;;;;;;;;;;x
statehood_USA_144_desc;The territory of Arkansas has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_USA_151_title;Grant Iowa statehood;;;;;;;;;;;;;x
statehood_USA_151_desc;The territory of Iowa has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_USA_158_title;Grant Minnesota statehood;;;;;;;;;;;;;x
statehood_USA_158_desc;The territory of Minnesota has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_USA_162_title;Grant Wisconsin statehood;;;;;;;;;;;;;x
statehood_USA_162_desc;The territory of Wisconsin has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_USA_176_title;Grant Michigan statehood;;;;;;;;;;;;;x
statehood_USA_176_desc;The territory of Michigan has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_USA_200_title;Grant Florida statehood;;;;;;;;;;;;;x
statehood_USA_200_desc;The territory of Florida has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_964_title;Grant Crimea statehood;;;;;;;;;;;;;x
statehood_RUS_964_desc;The territory of Crimea has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_981_title;Grant Archangelsk statehood;;;;;;;;;;;;;x
statehood_RUS_981_desc;The territory of Archangelsk has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_1026_title;Grant Perm statehood;;;;;;;;;;;;;x
statehood_RUS_1026_desc;The territory of Perm has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_1028_title;Grant Vyathka statehood;;;;;;;;;;;;;x
statehood_RUS_1028_desc;The territory of Vyathka has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_1048_title;Grant Circassia statehood;;;;;;;;;;;;;x
statehood_RUS_1048_desc;The territory of Circassia has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_1052_title;Grant Dagestan statehood;;;;;;;;;;;;;x
statehood_RUS_1052_desc;The territory of Dagestan has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_1064_title;Grant Tobolsk statehood;;;;;;;;;;;;;x
statehood_RUS_1064_desc;The territory of Tobolsk has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_1065_title;Grant Yamalia statehood;;;;;;;;;;;;;x
statehood_RUS_1065_desc;The territory of Yamalia has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_1069_title;Grant West Yakutsk statehood;;;;;;;;;;;;;x
statehood_RUS_1069_desc;The territory of West Yakutsk has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_1070_title;Grant Upper Yeniseysk statehood;;;;;;;;;;;;;x
statehood_RUS_1070_desc;The territory of Upper Yeniseysk has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_1071_title;Grant Yakutsk statehood;;;;;;;;;;;;;x
statehood_RUS_1071_desc;The territory of Yakutsk has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_1072_title;Grant Khingan statehood;;;;;;;;;;;;;x
statehood_RUS_1072_desc;The territory of Khingan has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_1074_title;Grant Kamchatka statehood;;;;;;;;;;;;;x
statehood_RUS_1074_desc;The territory of Kamchatka has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_1075_title;Grant Irkutsk statehood;;;;;;;;;;;;;x
statehood_RUS_1075_desc;The territory of Irkutsk has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_1079_title;Grant Trainsbaikal statehood;;;;;;;;;;;;;x
statehood_RUS_1079_desc;The territory of Trainsbaikal has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_CHI_1082_title;Grant Guanwai statehood;;;;;;;;;;;;;x
statehood_CHI_1082_desc;The territory of Guanwai has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_1182_title;Grant Uralsk statehood;;;;;;;;;;;;;x
statehood_RUS_1182_desc;The territory of Uralsk has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_1184_title;Grant Akmolinsk statehood;;;;;;;;;;;;;x
statehood_RUS_1184_desc;The territory of Akmolinsk has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_1469_title;Grant Tomsk statehood;;;;;;;;;;;;;x
statehood_RUS_1469_desc;The territory of Tomsk has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_2589_title;Grant Nenetsia statehood;;;;;;;;;;;;;x
statehood_RUS_2589_desc;The territory of Nenetsia has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_2590_title;Grant Chukotka statehood;;;;;;;;;;;;;x
statehood_RUS_2590_desc;The territory of Chukotka has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_2615_title;Grant Lower Yeniseysk statehood;;;;;;;;;;;;;x
statehood_RUS_2615_desc;The territory of Lower Yeniseysk has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_2618_title;Grant Magadan statehood;;;;;;;;;;;;;x
statehood_RUS_2618_desc;The territory of Magadan has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_2653_title;Grant North Siberia statehood;;;;;;;;;;;;;x
statehood_RUS_2653_desc;The territory of North Siberia has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_2668_title;Grant North Yakutsk statehood;;;;;;;;;;;;;x
statehood_RUS_2668_desc;The territory of North Yakutsk has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
statehood_RUS_2685_title;Grant Ural statehood;;;;;;;;;;;;;x
statehood_RUS_2685_desc;The territory of Ural has been part of our nation for quite a while, it might be time to grant it the full rights our other territories possess.;;;;;;;;;;;;;x
