english;English;;;;;;;;;;;;x
yunani;Yunani;;;;;;;;;;;;x
anglais;Anglais;;;;;;;;;;;;x
celtic;Celtic;;;;;;;;;;;;x
norse;Norse;;;;;;;;;;;;x
karayipler;Karayipler;;;;;;;;;;;;x
zenci;Zenci;;;;;;;;;;;;x
badajozi;Badajozi;;;;;;;;;;;;x
zaragozi;Zaragozi;;;;;;;;;;;;x
ukrayna;Ukrayna;;;;;;;;;;;;x
almani;Almani;;;;;;;;;;;;x
barasi;Barasi;;;;;;;;;;;;x
yanqui;Yanqui;;;;;;;;;;;;x
mexican;Mexicain;;;;;;;;;;;;x
jidligribi;Jidligribi;;;;;;;;;;;;x
asmunakali;Asmunakali;;;;;;;;;;;;x
muhajedzi;Muhajedzi;;;;;;;;;;;;x
qtizi;Qtizi;;;;;;;;;;;;x
scottish;Scottish;;;;;;;;;;;;x
afro_italian;Afro Italian;;;;;;;;;;;;x
PRU_682;Silesia;;;;;;;;;;;;x
ENG_1384;Malaya;;;;;;;;;;;;x
NET_1413;Java;;;;;;;;;;;;x
company_casus_belli;Indian Trade War;;;;;;;;;;;;x
company_casus_belli_desc;Strike against our rival's markets;;;;;;;;;;;;x
company_casus_belli_short;Strike against our rival's markets;;;;;;;;;;;;x
company_casus_belli_setup;Strike against our rival's markets;;;;;;;;;;;;x
NORMAL_WAR_COMPANY_NAME;$ORDER$Indian Trade War;;;;;;;;;;;;x
annex_africa;Scramble for India - Demand State;;;;;;;;;;;;;x,,,
annex_africa_desc;Force an §Yuncivilized country§W to secede territory according to rules set at the Conference of Great Powers;;;;;;;;;;;;;x,,,
annex_africa_setup;Demand that $RECIPIENT$ secede territory according to rules set at the Conference of Great Powers;;;;;;;;;;;;;x,,,
annex_africa_short;Demand $STATE$;;;;;;;;;;;;;x,,,
annex_africa_full;Scramble for India - Annex;;;;;;;;;;;;;x,,,
annex_africa_full_desc;Force an §Yuncivilized country§W to become a protectorate according to rules set at the Conference of Great Powers;;;;;;;;;;;;;x,,,
annex_africa_full_setup;Annex $RECIPIENT$ according to rules set at the Conference of Great Powers;;;;;;;;;;;;;x,,,
annex_africa_full_short;Annex $RECIPIENT$;;;;;;;;;;;;;x,,,
GC_DESC;A world once shattered has slowly grown into one of nations. As dust settled on the revolutions of the Arab New World two more sprung up across the seas, the liberals in Hungary rocking the very foundation of the western autocratic world and the radical modernizers in China sending the Ming dynasty into flight, these rumblings of change adding fresh wounds onto the old and the world stands on the brink of a new era. Amid this Italian and French nationalism reach their breaking point, the expansionist Tverian state eyes hungrily the house of cards that is the Ottoman empire and petty feuds threaten to start war from Bohemia to Borneo.;;;;;;;;;;;;x
NRM_conservative;Lesperonist;;;;;;;;;;;;x
NRM_conservative_2;Imperiales;;;;;;;;;;;;x
burgundian;Burgundian;;;;;;;;;;;;x
french;Norman;;;;;;;;;;;;x
islamic_law;Islamic Law;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
islamic_law_desc;Islamic law is now the basis law code of our society. It deals with several topics including: crime, politics, and economics, as well as personal matters such as sexual intercourse, hygiene, diet, prayer, everyday etiquette and fasting.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
law_changed_by_force;Law Changed;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
law_changed_by_force_desc;We pressured the upper house to pass an urgent reform.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
