;;;;;;;;;;;;;x
organise_kamchatka;Organise Kamchatka;;;;;;;;;;;;;x
organise_kamchatka_desc;The region of Kamchatka needs to be reorganized so we can more properly govern the region to make sure it is a proper Russian region;;;;;;;;;;;;;x
unite_siberia;Unite Siberia;;;;;;;;;;;;;x
unite_siberia_desc;Organisation of the Siberian Administration into a more cohesive whole is essential to running the region more efficiently;;;;;;;;;;;;;x
greater_yucatan;Greater Yucatan;;;;;;;;;;;;;x
greater_yucatan_desc;A free Mayan nation for all Mayans is in the best interests of all Mayan people, and as such we should expand our lands to accommodate them;;;;;;;;;;;;;x
law_of_guarantees2_title;Law of Guarantees;;;;;;;;;;;;;x
law_of_guarantees2_desc;Amendments need to be made to the law about other nations we have come in control of;;;;;;;;;;;;;x
maldives_protectorate_title;Maldives Protectorate;;;;;;;;;;;;;x
maldives_protectorate_desc;With our power over the Maldivian Sultanate we can force him to accept our indirect rule;;;;;;;;;;;;;x
become_kitara_title;Reform Kitara;;;;;;;;;;;;;x
become_kitara_desc;Our dominant position in the Great Lakes region gives us claim on the ancient Empire of Kitara.;;;;;;;;;;;;;x
spanish_restoration_2_title;Reclaim Gibraltar!;;;;;;;;;;;;;x
spanish_restoration_2_desc;Reclaiming Gibraltar should be our top priority, letting the British control it at all was a foolish mistake.;;;;;;;;;;;;;x
form_italy_itp_title;Avanti Italia!;Avanti Italia !;Avanti Italia!;;Avanti Italia!;;;;;;;;;x
form_italy_itp_desc;By establishing a dominant position on the Italian peninsula, we can secure a national homeland for our people by proclaiming ourselves the motive power of a unified Italian state.;Gr?e ?l'?ablissement d'une position dominante sur la p?insule italienne, nous formerons une patrie pour notre peuple en nous proclamant la force motrice d'un ?at italien unifi?;Durch die Absicherung einer dominanten Position auf der italienischen Halbinsel k?nen wir unserem Volk eine nationale Heimat geben, indem wir uns als treibende Kraft fÒÒ eine vereinigte italienische Nation proklamieren.;;Al establecer una posici? dominante en la pen?sula italiana, podemos garantizarle a nuestro pueblo una patria nacional con fronteras seguras y convertirnos en el germen de un estado italiano unificado.;;;;;;;;;x
second_irredentism_itp_title;Irredentismo Italiano;;;;;;;;;;;;;x
second_irredentism_itp_desc;The Italian Irredentist movement strove for the unification of all territories in the immediate vicinity of Italy which were largely or partly seen as populated by ethnic Italians. Not only did this include claims to Ticino and Nice, but it also meant territorial ambitions for Savoy, Corfu, and Malta.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_ouchy_itp_title;Treaty of Ouchy;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
