communist_military;Military Program;;;;;;;;;;;;;x
communist_technology;Research Focus;;;;;;;;;;;;;x
caligold;Gold Rush;;;;;;;;;;;;;x
communist_industry;Industrial Modernization;;;;;;;;;;;;;x
communist_loyalty;Party Loyalty Scheme;;;;;;;;;;;;;x
willow_palisade;Willow Palisade;;;;;;;;;;;;;x
balkan_assim_program;Balkan Assimilation Program;;;;;;;;;;;;;x
balkan_assim_program_desc;The Glorious Balkan Assimilation Program seeks to assimilate the foreign non-accepted cultures in the Balkans in order to properly bring them to Turkishness. Higher militancy and consciousness is to be expected, and the program has bled over into other parts of the nation as well.;;;;;;;;;;;;;x
balkan_assim_program_title;Balkan Assimilation Program;;;;;;;;;;;;;x
balkan_assimilation;Undergoing the Balkan Assimilation Program;;;;;;;;;;;;;x
assimilation_stopped;Ceased Balkan Assimilation Program;;;;;;;;;;;;;x
local_balkan_assim;Local Balkan Assimilation;;;;;;;;;;;;;x
local_balkan_assim_title;Local Assimilation Program;;;;;;;;;;;;;x
local_balkan_assim_desc;This province is undergoing an assimilation program originally started by the Ottoman Turkish government.;;;;;;;;;;;;;x
kebabbies;Integration Policy;;;;;;;;;;;;;x
kebabbies_title;Integration Policy;;;;;;;;;;;;;x
kebabbies_desc;Our policy to remove untoward elements in our country has proved successful, but new immigrants or acquisitions to the nation have not forgotten. Our core population, however, is experiencing a new state of euphoria.;;;;;;;;;;;;;x
first_riel_rebellion;The First Riel Rebellion Aftermath;;;;;;;;;;;;;x
first_riel_rebellion_desc;The First Riel Rebellion ended in blood and exile. The Metis have not forgotten, nor will the government let them.;;;;;;;;;;;;;x
first_riel_rebellion_title;The First Riel Rebellion Aftermath;;;;;;;;;;;;;x
metis_twilight;The Twilight of the Metis;;;;;;;;;;;;;x
metis_twilight_desc; The Second Riel Rebellion has ended in the worst possible way, and the Metis are now a marginalized people in Canada.;;;;;;;;;;;;;x
metis_twilight_title; The Twilight of the Metis;;;;;;;;;;;;;x
caucasian_war_local;Caucasian War;;;;;;;;;;;;;x
caucasian_war_local_desc;The ongoing Caucasian War is causing unrest and lack of productivity in these provinces.;;;;;;;;;;;;;x
caucasian_war_local_title;The Caucasian War;;;;;;;;;;;;;x
caucasian_truce_local;Caucasian War - Truce;;;;;;;;;;;;;x
caucasian_truce_local_desc;The Caucasian War is undergoing a truce, for now. The uneasy tension that the locals have with their Russian occupiers is a welcome break from the previous state of war, but it is an uneasy truce brokered by the blood of both sides.;;;;;;;;;;;;;x
caucasian_truce_local_title;The Caucasian War - Truce;;;;;;;;;;;;;x
taras_shevchenko_local;Taras Shevchenko;;;;;;;;;;;;;x
taras_shevchenko_local_desc;Taras Shevchenko is gaining prominence and is affecting the Ukrainian peoples in their quest for independence and nation-building.;;;;;;;;;;;;;x
taras_shevchenko_local_title;Taras Shevchenko;;;;;;;;;;;;;x
taras_works_local;Taras Shevchenko;;;;;;;;;;;;;x
taras_works_local_desc;Taras Shevchenko is working hard after many life experiences, and is quickly becoming known as the father of the Ukrainian language and culture.;;;;;;;;;;;;;x
taras_works_local_title;Taras Shevchenko;;;;;;;;;;;;;x
upper_class_purge;Upper-Class Purge;;;;;;;;;;;;;x
upper_class_purge_desc;Our recent purge of the upper class fatcats will remain in the public consciousness for a while yet, but the measures we have taken will ensure that any new leeches that foolishly make themselves known will not prosper in our country for a long while.;;;;;;;;;;;;;x
upper_class_purge_title;Purge of the Upper Class;;;;;;;;;;;;;x
slavery_timer;Slavery;;;;;;;;;;;;;x
slavery_timer_desc;Slavery in our nation continues on, making our country a bit less attractive as the world moves on.;;;;;;;;;;;;;x
slavery_timer_title;Continued Slavery;;;;;;;;;;;;;x
atlantic_slave_trade_title;The Atlantic Slave Trade;;;;;;;;;;;;;x
onward_to_progress_title;Onward to Progress;;;;;;;;;;;;;x
mass_labour_title;Mass Labour;;;;;;;;;;;;;x
greek_assim;Assimilation Policy;;;;;;;;;;;;;x
greek_assim_title;Assimilation Policy;;;;;;;;;;;;;x
greek_assim_desc;Following the establishment of the new Byzantine Empire a policy of assimilation was enacted across the empire to bring people together in the Greek way of life.;;;;;;;;;;;;;x
