;;;;;;;;;;;;x,,,,,,,,,,,,,
release_country_on_title;Enable 'Release Country' decisions;;;;;;;;;;;;x,,
release_country_on_desc;The Release Country decisions allow you to Release Country of vassals and spherelings, as long as you don't have a core in the province, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;;;;;;;;;;;;x
release_country_off_title;Disable 'Release Country' decisions;;;;;;;;;;;;x,,
release_country_off_desc;Your decision list will now be uncluttered.;;;;;;;;;;;;x,,
release_country_disabled_title;Deactivate 'Release Country' decisions;;;;;;;;;;;;x,,
release_country_disabled_desc;The 'Release Country' decisions will disappear from this game session and won't reappear again. You won't be able to use these decisions again for this game.;;;;;;;;;;;;x,,
release_country_MNP_title;Release Country of Manipur;;;;;;;;;;;;;;;;;;;;x,,
release_country_MNP_desc;We hold provinces that Manipur has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
release_country_BDK_title;Release Country of Badakhshan;;;;;;;;;;;;;;;;;;;;x,,
release_country_BDK_desc;We hold provinces that Badakhshan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
release_country_PGG_title;Release Country of Pingnan Guo;;;;;;;;;;;;;;;;;;;;x,,
release_country_PGG_desc;We hold provinces that Pingnan Guo has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
release_country_SGM_title;Release Country of Sigmaringen;;;;;;;;;;;;;;;;;;;;x,,
release_country_SGM_desc;We hold provinces that Sigmaringen has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
release_country_NMB_title;Release Country of Namibia;;;;;;;;;;;;;;;;;;;;x,,
release_country_NMB_desc;We hold provinces that Namibia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
release_country_TMR_title;Release Country of Timor;;;;;;;;;;;;;;;;;;;;x,,
release_country_TMR_desc;We hold provinces that Timor has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
release_country_SLG_title;Release Country of Selangor;;;;;;;;;;;;;;;;;;;;x,,
release_country_SLG_desc;We hold provinces that Selangor has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
release_country_PRK_title;Release Country of Perak;;;;;;;;;;;;;;;;;;;;x,,
release_country_PRK_desc;We hold provinces that Perak has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
release_country_PHG_title;Release Country of Pahang;;;;;;;;;;;;;;;;;;;;x,,
release_country_PHG_desc;We hold provinces that Pahang has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
release_country_FRO_title;Release Country of Faroe;;;;;;;;;;;;;;;;;;;;x,,
release_country_FRO_desc;We hold provinces that Faroe has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
release_country_NCT_title;Release Country of Neuchatel;;;;;;;;;;;;;;;;;;;;x,,
release_country_NCT_desc;We hold provinces that Neuchatel has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
release_country_HBY_title;Release Country of Hobyo;;;;;;;;;;;;;;;;;;;;x,,
release_country_HBY_desc;We hold provinces that Hobyo has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
release_country_QAT_title;Release Country of Qatar;;;;;;;;;;;;;;;;;;;;x,,
release_country_QAT_desc;We hold provinces that Qatar has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
release_country_BRY_title;Release Country of Buryatia;;;;;;;;;;;;;;;;;;;;x,,
release_country_BRY_desc;We hold provinces that Buryatia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
release_country_MLD_title;Release Country of Maldives;;;;;;;;;;;;;;;;;;;;x,,
