CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
ABU_absolute_monarchy;Trucial States;;;;;;;;;;;;;x
ABU_bourgeois_dictatorship;United Arab Councils;;;;;;;;;;;;;x
ABU_fascist_dictatorship;Emirate;;;;;;;;;;;;;x
ABU_proletarian_dictatorship;Peopleís Arabic Republic;;;;;;;;;;;;;x
ACA_colonial_company;Acadie;;;;;;;;;;;;;x
ACA_dominion;Acadie;;;;;;;;;;;;;x
ADV_absolute_monarchy;Kˆnigreich Texas;;;;;;;;;;;;;x
ADV_bourgeois_dictatorship;Deutsch Texanische Republic;;;;;;;;;;;;;x
ADV_colonial_company;Nobility Society of Mainz;;;;;;;;;;;;;x
ADV_democracy;Republic der Deutsch Texaner;;;;;;;;;;;;;x
ADV_dominion;Imperiale Colonie Texas;;;;;;;;;;;;;x
ADV_fascist_dictatorship;Texanisches Reich;;;;;;;;;;;;;x
ADV_hms_government;Kˆnigreich Texas;;;;;;;;;;;;;x
ADV_presidential_dictatorship;Deutsch Texanische Republic;;;;;;;;;;;;;x
ADV_proletarian_dictatorship;Volksrepublic Texas;;;;;;;;;;;;;x
ADV_prussian_constitutionalism;Kˆnigreich Texas;;;;;;;;;;;;;x
ADW_absolute_monarchy;Adamawa;;;;;;;;;;;;;x
ADW_democracy;Adamawa Republic;;;;;;;;;;;;;x
ADW_hms_government;Adamawa;;;;;;;;;;;;;x
ADW_prussian_constitutionalism;Adamawa;;;;;;;;;;;;;x
AFG_hms_government;Kingdom of Afghanistan;;;;;;;;;;;;;x
AFG_prussian_constitutionalism;Kingdom of Afghanistan;;;;;;;;;;;;;x
AFG_theocracy;Durrani Empire;;;;;;;;;;;;;x
AGN_proletarian_dictatorship;Anarchist Aragon;;;;;;;;;;;;;x
AIN_absolute_monarchy;Ainu Mosir;;;;;;;;;;;;;x
AKH_absolute_monarchy;Bukei Horde;;;;;;;;;;;;;x
AKH_prussian_constitutionalism;Bukei Horde;;;;;;;;;;;;;x
ALD_colonial_company;Algerie;;;;;;;;;;;;;x
ALD_dominion;Algerie;;;;;;;;;;;;;x
ALS_colonial_company;Elsaﬂ-Lothringen;;;;;;;;;;;;;x
ALS_dominion;Elsaﬂ-Lothringen;;;;;;;;;;;;;x
ALT_absolute_monarchy;Altai Uriankhai;;;;;;;;;;;;;x
ALT_hms_government;Altai Uriankhai;;;;;;;;;;;;;x
ALT_prussian_constitutionalism;Altai Uriankhai;;;;;;;;;;;;;x
ANI_absolute_monarchy;Antillean Empire;Empire of Antillia;Empire of Antillia;;;;;;;;;;;x
ANI_bourgeois_dictatorship;Antillean Republic;Pirates of the Caribbean;Pirates of the Caribbean;;;;;;;;;;;x
ANI_fascist_dictatorship;Antillean Republic;the Black Isles;the Black Isles;;;;;;;;;;;x
ANI_presidential_dictatorship;Antillean Republic;Republic of Antillia;Republic of Antillia;;;;;;;;;;;x
ANI_proletarian_dictatorship;Antillean Republic;the Red Indies;the Red Indies;;;;;;;;;;;x
AOG_absolute_monarchy;Allgemeine Ostasiatische GmbH;;;;;;;;;;;;;x
AOG_bourgeois_dictatorship;Allgemeine Ostasiatische GmbH;;;;;;;;;;;;;x
AOG_democracy;Allgemeine Ostasiatische GmbH;;;;;;;;;;;;;x
AOG_fascist_dictatorship;Reichskommissariat Ostasien;;;;;;;;;;;;;x
AOG_hms_government;Allgemeine Ostasiatische GmbH;;;;;;;;;;;;;x
AOG_presidential_dictatorship;Allgemeine Ostasiatische GmbH;;;;;;;;;;;;;x
AOG_proletarian_dictatorship;Chinese Socialist Republic;;;;;;;;;;;;;x
AOG_prussian_constitutionalism;Allgemeine Ostasiatische GmbH;;;;;;;;;;;;;x
AOT_absolute_monarchy;United Tribes;United Tribes;United Tribes;;;;;;;;;;;x
AOT_hms_government;United Tribes;United Tribes;United Tribes;;;;;;;;;;;x
AOT_prussian_constitutionalism;United Tribes;United Tribes;United Tribes;;;;;;;;;;;x
ARB_bourgeois_dictatorship;Arab Republic;;;;;;;;;;;;;x
ARB_democracy;Arab Republic;;;;;;;;;;;;;x
ARB_fascist_dictatorship;Free Arab State;;;;;;;;;;;;;x
ARB_proletarian_dictatorship;Arab Republic;;;;;;;;;;;;;x
ARC_democracy;Argentine Confederation;;;;;;;;;;;;;x
ARC_presidential_dictatorship;Argentine Confederation;;;;;;;;;;;;;x
ARC_proletarian_dictatorship;Communist Federation of Argentina;;;;;;;;;;;;;x
ARO_bourgeois_dictatorship;Biafra;Biafra;Biafra;;;;;;;;;;;x
ARO_democracy;Biafra;Biafra;Biafra;;;;;;;;;;;x
ARO_fascist_dictatorship;Biafra;Biafra;Biafra;;;;;;;;;;;x
ARO_presidential_dictatorship;Biafra;Biafra;Biafra;;;;;;;;;;;x
ARO_proletarian_dictatorship;Biafra;Biafra;Biafra;;;;;;;;;;;x
ARU_bourgeois_dictatorship;Arab Republic;;;;;;;;;;;;;x
ARU_democracy;United Arab States;;;;;;;;;;;;;x
ARU_fascist_dictatorship;Arab Republic;;;;;;;;;;;;;x
ARU_presidential_dictatorship;Arab Republic;;;;;;;;;;;;;x
ARU_proletarian_dictatorship;Arab Peopleís Republic;;;;;;;;;;;;;x
ASH_bourgeois_dictatorship;Ghana;Ghana;Ghana;;;;;;;;;;;x
ASH_democracy;Ghana;Ghana;Ghana;;;;;;;;;;;x
ASH_fascist_dictatorship;Ghana;Ghana;Ghana;;;;;;;;;;;x
ASH_presidential_dictatorship;Ghana;Ghana;Ghana;;;;;;;;;;;x
ASH_proletarian_dictatorship;Ghana;Ghana;Ghana;;;;;;;;;;;x
ASM_bourgeois_dictatorship;Assamese Republic;;;;;;;;;;;;;x
ASM_fascist_dictatorship;Assamese Republic;;;;;;;;;;;;;x
ASM_presidential_dictatorship;Assamese Republic;;;;;;;;;;;;;x
AST_absolute_monarchy;Dominion of Australia;;;;;;;;;;;;;x
AST_colonial_company;Australia;;;;;;;;;;;;;x
AST_dominion;Dominion of Australia;;;;;;;;;;;;;x
AST_hms_government;Dominion of Australia;;;;;;;;;;;;;x
AST_prussian_constitutionalism;Dominion of Australia;;;;;;;;;;;;;x
ASY_fascist_dictatorship;Aramaea;;;;;;;;;;;;;x
ATH_theocracy;Monastic Republic of Athos;;;;;;;;;;;;;x
AUS_absolute_monarchy;Austrian Empire;;;;;;;;;;;;;x
AUS_prussian_constitutionalism;Austrian Empire;;;;;;;;;;;;;x
AZH_absolute_monarchy;Anazzah Sheikhdom;;;;;;;;;;;;;x
BAN_colonial_company;Freistaat Banat;;;;;;;;;;;;;x
BAN_democracy;Banat Republic;;;;;;;;;;;;;x
BAN_dominion;Freistaat Banat;;;;;;;;;;;;;x
BAV_proletarian_dictatorship;Bavarian R‰terepublik;R‰terepublik bavaroise;Bayerische R‰terepublik;;;;;;;;;;;x
BEL_colonial_company;Flandern-Wallonien;;;;;;;;;;;;;x
BEL_dominion;Flandern-Wallonien;;;;;;;;;;;;;x
BER_colonial_company;Gujarat Agency;;;;;;;;;;;;;x
BER_dominion;Gujarat Agency;;;;;;;;;;;;;x
BHM_colonial_company;Colony of The Bahamas;;;;;;;;;;;;;x
BHM_dominion;Commonwealth of The Bahamas;;;;;;;;;;;;;x
BHM_hms_government;The Bahamas;;;;;;;;;;;;;x
BHM_parliamentary_republic;The Bahamas;;;;;;;;;;;;;x
BIH_proletarian_dictatorship;Bihari Peopleís Republic;;;;;;;;;;;;;x
BLC_colonial_company;Baluchistan Agency;;;;;;;;;;;;;x
