CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
EVTDESC60000;By parliamentary class struggle, and as effect of intensified class struggle on account of the increasing exploitation of the proletariat by the capitalist classes, the gradual concentration of the means of production in the hands of the few, a club and a revolver, our so-called democracy has now transformed into a dictatorship of the proletariat.;Grâce à la lutte parlementaire, et comme effet de l'intensification de la lutte des classes qui répondait à l'exploitation croissante du prolétariat par les classes capitalistes et à la concentration progressive des moyens de production entre les mains de quelques-uns, notre soi-disante démocratie est désormais transformait en une dictature du prolétariat.;Durch den parlamentarischen Klassenkampf und als Effekt des sich intensivierenden Klassenkampfes aufgrund der zunehmenden Ausbeutung des Proletariats durch die kapitalistischen Klassen hat die allmähliche Konzentration der Produktion in den Händen weniger unsere so genannte Demokratie nun in eine Diktatur des Proletariats verwandelt.;;;;;;;;;;;x
EVTNAME60000;Communists Seize Power;;;;;;;;;;;;;x
EVTOPTA60000;Excellent, comrade!;Excellent, camarade !;Hervorragend, Genosse!;;;;;;;;;;;x
EVTDESC60010;Concerned by the growing chaos in $COUNTRY$, the $COUNTRY_ADJ$ leadership has stepped in to declare martial law and assume full control over the government. Civil freedoms have been curtailed, and already there is a growing certainty in the streets of $CAPITAL$ that this is the beginning of a military dictatorship. Will the new government be so quick to relinquish power once the current crisis has passed?;;;;;;;;;;;;;x
EVTNAME60010;Military Coup d’état;;;;;;;;;;;;;x
EVTOPTA60010;This is only temporary until the crisis passes.;;;;;;;;;;;;;x
EVTDESC60020;In the interests of protecting the principles of liberty from the crushing onslaught of democracy, plebeian aristocracy and mob rule, a committee of concerned citizens have seized power and transformed the country into a minimal government dictatorship. It’s only temporary, they say.;Dans but de protéger les principes de liberté de la démocratie contre l'offensive d'écrasement de l'aristocratie plébéienne et de la loi de la rue, un comité de citoyens concernés a pris le pouvoir et a transformé le pays en une dictature gouvernementale minimale. Ce n'est que temporaire, disent-ils.;Zum Schutz der Freiheitsprinzipien vor dem erdrückenden Ansturm von Demokratie, plebejischer Aristokratie und der Herrschaft des Pöbels hat ein Komitee besorgter Bürger die Macht übernommen und das Land in eine Diktatur mit minimaler Regierung umgewandelt. Sie sagen, es wäre nur vorübergehend.;;;;;;;;;;;x
EVTNAME60020;Radicals Seize Power!;;;;;;;;;;;;;x
EVTOPTA60020;I love democracy;J'aime la démocratie.;Ich liebe Demokratie.;;;;;;;;;;;x
EVTDESC60030;The voting rights have been curtailed, the party system gradually slips under state control, and, just yesterday, a bill on the expansion of the extraordinary powers of the state passed the house. The signs are clear and plain. The fascist ruling party has transformed our nation from a democracy to a fascist dictatorship.;Les droits de vote ont été réduits, le système des partis passe graduellement sous contrôle de l'Etat, et, hier, un projet de loi sur l'expansion des pouvoirs extraordinaires à l'Etat a été adopté par la Chambre. Les signes sont clairs et nets. Le parti au pouvoir fasciste a transformé notre nation d'une démocratie à une dictature.;Das Wahlrecht wurde eingeschränkt und das Parteiensystem gerät mehr und mehr unter staatliche Kontrolle. Erst gestern wurde ein Gesetz zur Erweiterung der Staatsmacht verabschiedet. Die Zeichen sind klar und eindeutig. Die faschistische Regierungspartei hat unsere Nation von einer Demokratie in eine faschistische Diktatur verwandelt.;;;;;;;;;;;x
