CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
anarchist_focus;Party loyalty towards §Yanarchist§!;;;;;;;;;;;;;x
anarchist_focus_short;§YAnarchist§! loyalty;;;;;;;;;;;;;x
anarchist_focus_short;§YRadical§! loyalty;;;;;;;;;;;;;x
anarcho_liberal_focus;Party loyalty towards §Yanarcho-liberal§!;Loyauté envers le parti §Ylibertaire§!;Parteiloyalität gegenüber §Yradical§!;;;;;;;;;;;x
anarcho_liberal_focus_short;§YAnarcho-liberal§! loyalty;Loyauté §Yanarcho-libérale§!;§YAnarcho-liberale§! Loyalität;;;;;;;;;;;x
armaments_focus;Encourage Armaments Industry;Industrie d'armement;Rüstungs Industrie;;;;;;;;;;;x
armaments_focus_short;Encourage Armaments Industry;Industrie d'armement;Rüstungs Industrie;;;;;;;;;;;x
assimilation_focus;Encourage Minority Assimilation;;;;;;;;;;;;;x
automation_focus;Encourage Automotive Industry;Industrie automobile;Automobil Industrie;;;;;;;;;;;x
automation_focus_short;Encourage Automotive Industry;Industrie automobile;Automobil Industrie;;;;;;;;;;;x
basic_industry_focus;Encourage Basic Industry;Industrie de base;Schwerindustrie;;;;;;;;;;;x
basic_industry_focus_short;Encourage Basic Industry;Industrie de base;Schwerindustrie;;;;;;;;;;;x
bottling_focus;Encourage Bottling Industry;;;;;;;;;;;;;x
bottling_focus_short;Encourage Bottling Industry;;;;;;;;;;;;;x
cavalry_focus;Encourage Cavalry;;;;;;;;;;;;;x
cavalry_focus_short;Encourage Cavalry;;;;;;;;;;;;;x
chemical_focus;Encourage Chemical Industry;Industrie chimique;Chemische Industrie;;;;;;;;;;;x
chemical_focus_short;Encourage Chemical Industry;Industrie chimique;Chemische Industrie;;;;;;;;;;;x
commercial_focus;Commercial Focus;;;;;;;;;;;;;x
commercial_focus_short;Commercial Focus;;;;;;;;;;;;;x
communist_focus;Party loyalty towards §Ycommunist§!;Loyauté envers le parti §Ycommuniste§!;Parteiloyalität gegenüber §Ycommunist§!;;;;;;;;;;;x
communist_focus_short;§YCommunists§! loyalty;Loyauté §Ycommuniste§!;§YKommunistische§! Loyalität;;;;;;;;;;;x
communist_technology;Research Focus;;;;;;;;;;;;;x
conservative_focus;Party loyalty towards §Yconservative§!;Loyauté envers le parti §Yconservateur§!;Parteiloyalität gegenüber §Yconservative§!;;;;;;;;;;;x
conservative_focus_short;§YConservative§! loyalty;Loyauté §Yconservatrice§!;§YKonservative§! Loyalität;;;;;;;;;;;x
consumer_focus;Consumer Goods Focus;;;;;;;;;;;;;x
consumer_focus_short;Consumer Goods Focus;Biens de consommation;Konsumgüter Industrie;;;;;;;;;;;x
diplomatic_focus;Diplomacy Focus;;Diplomatie;;;;;;;;;;;x
education_focus;Encourage Education (GLOBAL EFFECT!);;;;;;;;;;;;;x
electrical_focus;Encourage Electrical Industry;Industrie électrique;Elektro Industrie;;;;;;;;;;;x
electrical_focus_short;Encourage Electrical Industry;Industrie électrique;Elektro Industrie;;;;;;;;;;;x
electricity_focus;Encourage Electrical Power;;;;;;;;;;;;;x
emigration_focus;Encourage Emigration;;;;;;;;;;;;;x
emigration_focus_desc;Pops will be §Y$VAL$§W% more likely to leave this region.;;;;;;;;;;;;;x
encourage_agriculture;Encourage Agriculture;;;;;;;;;;;;;x
encourage_business;Encourage Business;;;;;;;;;;;;;x
encourage_mining;Encourage Mining;;;;;;;;;;;;;x
encourage_rail;Build Railroads;;;;;;;;;;;;;x
fascist_focus;Party loyalty towards §Yfascist§!;Loyauté envers le parti §Yfasciste§!;Parteiloyalität gegenüber §Yfascist§!;;;;;;;;;;;x
fascist_focus_short;§YFascist§! loyalty;Loyauté §Yfasciste§!;§YFaschistische§! Loyalität;;;;;;;;;;;x
FOCUS_OWNED_BY;You cannot place national focus in someone else’s province unless it is a potential flashpoint for your cores. Encouraging flashpoint tension requires Revolution & Counterrevolution to be researched.;;;;;;;;;;;;;x
food_focus;Encourage Food Industry;;;;;;;;;;;;;x
furniture_focus;Encourage Furniture Industry;;;;;;;;;;;;;x
growth_focus;Encourage Population Growth (GLOBAL EFFECT!);;;;;;;;;;;;;x
heavy_industry_focus;Encourage Heavy Industry;;;;;;;;;;;;;x
immigration;Attract Immigrants;;;;;;;;;;;;;x
immigration_colonization_focus;Immigration & Colonization;;;;;;;;;;;;;x
immigration_focus;Immigration;;;;;;;;;;;;;x
immigration_focus_desc;Migrants §Y$VAL$§W% more likely to choose this state. This focus makes immigrants more likely to settle in this state, it doesn’t make more likely for them to choose our country.;;;;;;;;;;;;;x
increase_tension;Increase tension;;Spannung erhöhen;;;;;;;;;;;x
increase_tension_focus_desc;Increase flashpoint tension by about §Y$VAL$§W% each month.;;Erhöht die Unruhe-Spannungen um etwa §Y$VAL$§W% pro Monat.;;;;;;;;;;;x
leather_focus;Encourage Leather Industry;;;;;;;;;;;;;x
liberal_focus;Party loyalty towards §Yliberal§!;Loyauté envers le parti §Ylibéral§!;Parteiloyalität gegenüber §Yliberal§!;;;;;;;;;;;x
liberal_focus_short;§YLiberal§! loyalty;Loyauté §Ylibérale§!;§YLiberale§! Loyalität;;;;;;;;;;;x
mass_deport;Mass Deportation;;;;;;;;;;;;;x
mechanical_industry_focus;Encourage Mechanical Industry;;;;;;;;;;;;;x
military_goods_focus;Military Industry;;;;;;;;;;;;;x
munitions_focus;Encourage Munitions Industry;;;;;;;;;;;;;x
oil_focus;Encourage Oil Industry;;;;;;;;;;;;;x
order_focus;Encourage Order;;;;;;;;;;;;;x
party_loyalty_focus;Party Loyalty;Loyauté du parti;Parteiloyalität;;;;;;;;;;;x
pharmaceuticals_focus;Encourage Pharmaceutical Industry;;;;;;;;;;;;;x
production_focus;Production;;;;;;;;;;;;;x
progress_focus;Encourage Progress;;;;;;;;;;;;;x
promote_aristocrats;Encourage Landowners;;;;;;;;;;;;;x
promote_artisans;Encourage Artisans;;;;;;;;;;;;;x
promote_bureaucrats;Encourage Bureaucrats;;;;;;;;;;;;;x
promote_capitalists;Encourage Capitalists;;;;;;;;;;;;;x
promote_clergymen;Encourage Intellectuals;Encourager les membres du clergé;Geistliche fördern;;;;;;;;;;;x
promote_clerks;Encourage Clerks;;;;;;;;;;;;;x
promote_craftsmen;Encourage Craftsmen;;;;;;;;;;;;;x
promote_farmers;Encourage Farmers;;;;;;;;;;;;;x
promote_labourers;Encourage Labourers;;;;;;;;;;;;;x
promote_officers;Encourage Officers;;;;;;;;;;;;;x
promote_serfs;Encourage Serfs;;;;;;;;;;;;;x
promote_slaves;Encourage Slaves;;;;;;;;;;;;;x
promote_soldiers;Encourage Soldiers;;;;;;;;;;;;;x
promotion_focus;Promotion;;;;;;;;;;;;;x
protectionism;Protectionism;Protectionnisme;Protektionismus;;;;;;;;;;;x
protectionism_desc;Trade between nations is restricted.;Le commerce entre les États est limité.;Der Handel zwischen Staaten ist eingeschränkt.;;;;;;;;;;;x
protectionism_l;Protectionism;Protectionnisme;Protektionismus;;;;;;;;;;;x
radical_focus;Party loyalty towards §Yradical§!;;;;;;;;;;;;;x
rail_focus;Colonial Policy;;;;;;;;;;;;;x
reactionary_focus;Party loyalty towards §Yreactionary§!;Loyauté envers le parti §Yréactionnaire§!;Parteiloyalität gegenüber §Yreactionary§!;;;;;;;;;;;x
reactionary_focus_short;§YReactionary§! loyalty;Loyauté §Yréactionnaire§!;§YReaktionäre§! Loyalität;;;;;;;;;;;x
shipping_focus;Encourage Shipping Industry;Industrie du transport maritime;Schiffsbau Industrie;;;;;;;;;;;x
shipping_focus_short;Encourage Shipping Industry;Industrie du transport maritime;Schiffsbau Industrie;;;;;;;;;;;x
social_development_focus;Social Development;;;;;;;;;;;;;x
socialist_focus;Party loyalty towards §Ysocialist§!;Loyauté envers le parti §Ysocialiste§!;Parteiloyalität gegenüber §Ysocialist§!;;;;;;;;;;;x
socialist_focus_short;§YSocialist§! loyalty;Loyauté §Ysocialiste§!;§YSozialistische§! Loyalität;;;;;;;;;;;x
textile_focus;Encourage Textile Industry;;;;;;;;;;;;;x
textile_focus_short;Encourage Textile Industry;Industrie textile;Textil Industrie;;;;;;;;;;;x
tobacco_focus;Encourage Tobacco Industry;;;;;;;;;;;;;x
wood_focus;Encourage Wood Industry;Industrie du bois;Holzverarbeitungs Industrie;;;;;;;;;;;x
wood_focus_short;Encourage Wood Industry;Industrie du bois;Holzverarbeitungs Industrie;;;;;;;;;;;x
