CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
PROV1;Novo-Arkhangelsk;;;;;;;;;;;;;x
PROV2;Redut Sent-Dionisiya;;;;;;;;;;;;;x
PROV3;Pavlovskaya Gavan;;;;;;;;;;;;;x
PROV4;Fort Nikolaevskaia;;;;;;;;;;;;;x
PROV5;Redut Sent-Maykl;;;;;;;;;;;;;x
PROV6;Klondike River;;;;;;;;;;;;;x
PROV7;Pelly River;;;;;;;;;;;;;x
PROV8;Kuala Kelantan;;;;;;;;;;;;;x
PROV9;Fort Mistassini;;;;;;;;;;;;;x
PROV10;San Khew Jong;;;;;;;;;;;;;x
PROV11;Fort Resolution;;;;;;;;;;;;;x
PROV12;Liwa;;;;;;;;;;;;;x
PROV13;Fort Langley;;;;;;;;;;;;;x
PROV14;Vancouver Island;;;;;;;;;;;;;x
PROV15;Fort McLaughlin;;;;;;;;;;;;;x
PROV16;Fort St. James;;;;;;;;;;;;;x
PROV17;Teslin Post;;;;;;;;;;;;;x
PROV18;Fort St. John;;;;;;;;;;;;;x
PROV19;Fort George;;;;;;;;;;;;;x
PROV20;Fort Thompson;;;;;;;;;;;;;x
PROV21;Kootenay House;;;;;;;;;;;;;x
PROV22;Fort Assiniboine;;;;;;;;;;;;;x
PROV23;Fort McMurray;;;;;;;;;;;;;x
PROV24;Milk River;;;;;;;;;;;;;x
PROV25;Old Bow River Fort;;;;;;;;;;;;;x
PROV26;Rocky Mountain House;;;;;;;;;;;;;x
PROV27;Fort Vermilion;;;;;;;;;;;;;x
PROV28;Fort Simpson;;;;;;;;;;;;;x
PROV29;Kyzylkum;;;;;;;;;;;;;x
PROV30;Burning Hills;;;;;;;;;;;;;x
PROV31;Fort Fond du Lac;;;;;;;;;;;;;x
PROV32;Cumberland House;;;;;;;;;;;;;x
PROV33;Cartlon House;;;;;;;;;;;;;x
PROV34;Fort Qu’Apelle;;;;;;;;;;;;;x
PROV35;Fort Pitt;;;;;;;;;;;;;x
PROV36;Buffalo Point;;;;;;;;;;;;;x
PROV37;Fort Alexander;;;;;;;;;;;;;x
PROV38;Fuerte Santa Maria;;;;;;;;;;;;;x
PROV39;Santo Tomás;;;;;;;;;;;;;x
PROV40;Cedar Lake House;;;;;;;;;;;;;x
PROV41;Fort Ellice;;;;;;;;;;;;;x
PROV42;Upper Fort Garry;;;;;;;;;;;;;x
PROV43;Clarksville;;;;;;;;;;;;;x
PROV44;Guantanámo;;;;;;;;;;;;;x
PROV45;Marigot;;;;;;;;;;;;;x
PROV46;Toronto;;;;;;;;;;;;;x
PROV47;Fort Severn;;;;;;;;;;;;;x
PROV48;Fort Albany;;;;;;;;;;;;;x
PROV49;Fort William;;;;;;;;;;;;;x
PROV50;Nipigon House;;;;;;;;;;;;;x
PROV51;Sault Ste. Marie;;;;;;;;;;;;;x
PROV52;Orillia;;;;;;;;;;;;;x
PROV53;Barrie;;;;;;;;;;;;;x
PROV54;Windsor;;;;;;;;;;;;;x
PROV55;Hamilton;;;;;;;;;;;;;x
PROV56;Kingston;;;;;;;;;;;;;x
PROV57;Bytown;;;;;;;;;;;;;x
PROV58;Montreal;;;;;;;;;;;;;x
PROV59;York Factory;;;;;;;;;;;;;x
PROV60;Richmond;;;;;;;;;;;;;x
PROV61;Tadoussac;;;;;;;;;;;;;x
PROV62;Seven Islands;;;;;;;;;;;;;x
PROV63;Fort Lake St. John;;;;;;;;;;;;;x
PROV64;Three Rivers;;;;;;;;;;;;;x
PROV65;Quebec City;;;;;;;;;;;;;x
PROV66;Sherbrooke;;;;;;;;;;;;;x
PROV67;Rimouski;;;;;;;;;;;;;x
PROV68;Fredericton;;;;;;;;;;;;;x
PROV69;Little Falls;;;;;;;;;;;;;x
PROV70;Prince Edward Island;;;;;;;;;;;;;x
PROV71;Halifax;;;;;;;;;;;;;x
PROV72;Truro;;;;;;;;;;;;;x
PROV73;Cape Breton Island;;;;;;;;;;;;;x
PROV74;St. John’s;;;;;;;;;;;;;x
PROV75;Little Macatina;;;;;;;;;;;;;x
PROV76;North West River;;;;;;;;;;;;;x
PROV77;Saint-Pierre-et-Miquelon;;;;;;;;;;;;;x
PROV78;Fort Nisqually;;;;;;;;;;;;;x
PROV79;Fort Vancouver;;;;;;;;;;;;;x
PROV80;Fort Nez Percés;;;;;;;;;;;;;x
PROV81;Fort Astoria;;;;;;;;;;;;;x
PROV82;Klamath;;;;;;;;;;;;;x
PROV83;Fort Umpqua;;;;;;;;;;;;;x
PROV84;Wiyot;;;;;;;;;;;;;x
PROV85;Cabo Mednocino;;;;;;;;;;;;;x
PROV86;Sierra Nevada;;;;;;;;;;;;;x
PROV87;Monterey;;;;;;;;;;;;;x
PROV88;Desierto de Mojave;;;;;;;;;;;;;x
PROV89;Los Angeles;;;;;;;;;;;;;x
PROV90;San Diego;;;;;;;;;;;;;x
PROV91;Fort Hall;;;;;;;;;;;;;x
PROV92;Fort Boisé;;;;;;;;;;;;;x
PROV93;Western Bannock;;;;;;;;;;;;;x
PROV94;Washo;;;;;;;;;;;;;x
PROV95;Isogwiyuyugi;;;;;;;;;;;;;x
PROV96;Las Vegas;;;;;;;;;;;;;x
PROV97;Timpanogos;;;;;;;;;;;;;x
PROV98;Barbones;;;;;;;;;;;;;x
PROV99;Yutas Occidentales;;;;;;;;;;;;;x
PROV100;Gileños;;;;;;;;;;;;;x
PROV101;Gran Cañón;;;;;;;;;;;;;x
PROV102;Presidio de Tucsón;;;;;;;;;;;;;x
PROV103;Fuerte Talpa;;;;;;;;;;;;;x
PROV104;Presidio de San Francisco;;;;;;;;;;;;;x
PROV105;Santa Fe;;;;;;;;;;;;;x
PROV106;Bent’s Fort;;;;;;;;;;;;;x
PROV107;Shoshónes Occidentales;;;;;;;;;;;;;x
PROV108;Yutas Orientales;;;;;;;;;;;;;x
