CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
arctic;Tundra;;;;;;;;;;;;;x
boreal;Taiga;;;;;;;;;;;;;x
kiel;Grassland;;;;;;;;;;;;;x
panama;Montane Tropical Rainforest;;;;;;;;;;;;;x
suez;Semidesert;;;;;;;;;;;;;x
coastal_desert;Coastal Desert;;;;;;;;;;;;;x
coral_island;Atoll;;;;;;;;;;;;;x
desert;Desert;;;;;;;;;;;;;x
dry_mountains;Dry Mountains;;;;;;;;;;;;;x
dryhills;Dry Grassland Hills;;;;;;;;;;;;;x
farmlands;Farmlands;;;;;;;;;;;;;x
floodplain;Floodplain Farmlands;;;;;;;;;;;;;x
floodplain_farmlands;Floodplain Farmlands;;;;;;;;;;;;;x
forest;Forest;;;;;;;;;;;;;x
hills;Grassland Hills;;;;;;;;;;;;;x
himalayan_mountains;Himalayan Mountains;;;;;;;;;;;;;x
jungle;Tropical Forest;;;;;;;;;;;;;x
jungle_farmland;Tropical Farmlands;;;;;;;;;;;;;x
jungle_hills;Tropical Highlands;;;;;;;;;;;;;x
jungle_mountains;Montane Tropical Forest;;;;;;;;;;;;;x
marsh;Wetlands;;;;;;;;;;;;;x
montane_forest;Montane Forest;;;;;;;;;;;;;x
montane_tundra;Montane Tundra;;;;;;;;;;;;;x
mountain;Montane Grassland;;;;;;;;;;;;;x
new_world_arctic;Tundra;;;;;;;;;;;;;x
new_world_bayou;Bayou;;;;;;;;;;;;;x
new_world_boreal;Boreal Forest;;;;;;;;;;;;;x
new_world_coastal_steppe;Coastal Scrublands;;;;;;;;;;;;;x
new_world_cold_island;Cold-Water Island;;;;;;;;;;;;;x
new_world_cold_marsh;Cold Wetlands;;;;;;;;;;;;;x
new_world_desert;Desert;;;;;;;;;;;;;x
new_world_dry_forest;Tropical Broadleaf Forest;;;;;;;;;;;;;x
new_world_dryhills;Highland Scrublands;;;;;;;;;;;;;x
new_world_fl_marsh;Tropical Wetlands;;;;;;;;;;;;;x
new_world_hills;Grassland Hills;;;;;;;;;;;;;x
new_world_jungle;Tropical Rainforest;;;;;;;;;;;;;x
new_world_jungle_hills;Tropical Highlands;;;;;;;;;;;;;x
new_world_jungle_mountains;Montane Tropical Rainforest;;;;;;;;;;;;;x
