CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
african_diaspora_cultures;African Diaspora Cultures;Cultures de la diaspora africaine;Afrikanische Diasporakulturen;;;;;;;;;;;x
american_cultures;American Cultures;Cultures américaines;Amerikanische Kulturen;;;;;;;;;;;x
arabic;Arabic;;;;;;;;;;;;;x
baltic;Baltic;Balte;Baltisch;;;;;;;;;;;x
bears;Bears;;Bären;;;;;;;;;;;x
beneluxian;Low Countries;Pays-Bas;Niederländisch;;;;;;;;;;;x
caucasian;Caucasian;;;;;;;;;;;;;x
central_african;Central African;Centre-africain;Zentralafrikanisch;;;;;;;;;;;x
central_asian;Central Asian;Centre-asiatique;Zentralasiatisch;;;;;;;;;;;x
czecho_slovak_culture_group;Czecho-Slovak;Tchécoslovaque;Tschechoslowakisch;;;;;;;;;;;x
east_african;East African;Africain oriental;Ostafrikanisch;;;;;;;;;;;x
east_asian;East Asian;Est-asiatique;Ostasiatisch;;;;;;;;;;;x
east_slavic;East Slavic;Slave de l'est;Ostslawisch;;;;;;;;;;;x
far_east_asian;Far East Asian;;;;;;;;;;;;;x
germanic;Germanic;Germanique;Germanisch;;;;;;;;;;;x
hungarian_culture_group;Hungarian;Hongrois;Ungarisch;;;;;;;;;;;x
iberian;Iberian;Ibérique;Iberisch;;;;;;;;;;;x
indo_iranian;Indo-Iranian;;;;;;;;;;;;;x
iranian_turanian;Iranian Turanian;Irano-turanien;Iranisch Turanisch;;;;;;;;;;;x
italian;Italian;Italien;Italienisch;;;;;;;;;;;x
jewish_cultures;Jewish Cultures;;;;;;;;;;;;;x
latin_american_cultures;Latin American Cultures;Cultures latino-américaines;Lateinamerikanische Kulturen;;;;;;;;;;;x
levantine;Levantine;Levantin;Levantinisch;;;;;;;;;;;x
native_american;Native American;Amérindien;Amerikanische Ureinwohner;;;;;;;;;;;x
neo_european_cultures;Neo European Cultures;Cultures néo-européennes;Neoeuropäische Kulturen;;;;;;;;;;;x
oceanic;Oceanic;Océanique;Ozeanisch;;;;;;;;;;;x
pan_albanian;Albanian;;;;;;;;;;;;;x
pan_british;British;Britannique;Britisch;;;;;;;;;;;x
pan_french;French;Français;Französisch;;;;;;;;;;;x
pan_romanian;Romanian;Roumain;Rumänisch;;;;;;;;;;;x
pan_swiss;Swiss;Suisse;Schweizerisch;;;;;;;;;;;x
polish_culture_group;Polish;Polonais;Polnisch;;;;;;;;;;;x
scandinavian;Scandinavian;Scandinave;Skandinavisch;;;;;;;;;;;x
south_asian;South Asian;Sud-asiatique;Südasiatisch;;;;;;;;;;;x
south_slavic;South Slavic;Slave du sud;Südslawisch;;;;;;;;;;;x
southeast_asian;Southeast Asian;Sud-est asiatique;Südostaasisch;;;;;;;;;;;x
southern_african;Southern African;Sud-africain;Südafrikanisch;;;;;;;;;;;x
turko_semitic;Turko Semitic;Turco-sémite;Turkosemitisch;;;;;;;;;;;x
west_african;West African;Ouest-africain;Westafrikanisch;;;;;;;;;;;x
