code;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
13in_main_battery;13.5-Inch Main Battery;;;;;;;;;;;;;x
13in_main_battery_desc;Our dreadnoughts are now equipped with 13.5-inch main guns, rather than 12-inch guns. This gives them more firepower.;;;;;;;;;;;;;x
15_inch_main_armament;15-inch Main Armament;;;;;;;;;;;;;x
15_inch_main_armament_desc;The main armament of the first dreadnoughts consisted in most cases of 12-inch or 13.5-inch guns, but modern navies soon began to desire a larger calibre main armament. This resulted in later battleships being armed with 15-inch or 16-inch main guns, which had significantly greater destructive power and range than their predecessors.;;;;;;;;;;;;;x
76_millimeter_gun;76 Millimetre Gun;;;;;;;;;;;;;x
76_millimeter_gun_desc;Artillery weapons have become even larger, and capable of delivering even larger ordinance. These weapons are the future of modern warfare.;;;;;;;;;;;;;x
8in_secondary_guns;8-Inch Secondary Guns;;;;;;;;;;;;;x
8in_secondary_guns_desc;Pre-dreadnought battleships adopted heavier and heavier secondary guns in accordance with the ‘hail of fire’ principle. The same guns served as the main armament for armoured cruisers.;;;;;;;;;;;;;x
9in_secondary_guns;9-Inch Secondary Guns;;;;;;;;;;;;;x
9in_secondary_guns_desc;Pre-dreadnought battleships adopted heavier and heavier secondary guns in accordance with the ‘hail of fire’ principle. The same guns served as the main armament for armoured cruisers.;;;;;;;;;;;;;x
abraham_maslow;Abraham Maslow;;;;;;;;;;;;;x
abraham_maslow_desc;Abraham Harold Maslow was an American psychologist who was best known for creating Maslow’s hierarchy of needs, a theory of psychological health predicated on fulfilling innate human needs in priority, culminating in self-actualization. Maslow was a psychology professor at Brandeis University, Brooklyn College, New School for Social Research and Columbia University. He stressed the importance of focusing on the positive qualities in people, as opposed to treating them as a ‘bag of symptoms’.;;;;;;;;;;;;;x
academic_training;Naval Academic Training;;;;;;;;;;;;;x
academic_training_desc;This meant that to become an officer it was no longer enough to be of gentle blood. You also had to attend a formal education which could at best be as good as any college. This was one of the most important causes behind the professionalization of the officers corps.;;;;;;;;;;;;;x
accelerated_vulcanization;Accelerated Vulcanization;;;;;;;;;;;;;x
accelerated_vulcanization_desc;It was discovered in the early Twentieth Century that the addition of the organic compound aniline produced an accelerating effect. The active zinc salts in the aniline react strongly with the zinc oxide present in sulphur-vulcanized rubber to decrease the cure time necessary. Other compounds were later used that provided even faster cure times.;;;;;;;;;;;;;x
ad_hoc_money_bill_printing;Ad-Hoc Banknote Printing;;;;;;;;;;;;;x
ad_hoc_money_bill_printing_desc;Ad-Hoc Banknote Printing;;;;;;;;;;;;;x
ad_hoc_naval_design;Ad-Hoc Naval Design;;;;;;;;;;;;;x
ad_hoc_naval_design_desc;You’ve got a ship, you’ve got a ship, and you’ve got a ship, we’ve all got a ship!;;;;;;;;;;;;;x
adam_smith;Adam Smith;;;;;;;;;;;;;x
adam_smith_desc;Adam Smith was a Scottish Enlightenment philosopher of political economy. He was author of The Theory of Moral Sentiments and An Inquiry into the Nature and Causes of the Wealth of Nations. Smith promoted the central tenement of Capitalism as the individual pursuing his own self-interest, and in so doing, promoting the greater good. He talked about the ‘invisible hand’ that would guide the actions of individuals and argued against government interference in all but a few aspects of the economy.;;;;;;;;;;;;;x
adolph_wagner;Adolph Wagner;;;;;;;;;;;;;x
adolph_wagner_desc;Although one of the more active members of Schmoller’s Verein, Wagner actually supported Menger in the Methodenstreit. His work on public finance is what he is best known for in economics. Outside economics, he was a companion of Lassalle and Rodbertus—although not sharing wholly in their socialist ideals and of more conservative instincts in political matters, Wagner was a severe critic of unfettered capitalism and recommended state alleviation of the burden upon labour. He wrote ‘Science of Finance Vol 1–4’ (1877–1901), and ‘Foundations of Political Economy’ (1876).;;;;;;;;;;;;;x
advanced_battlecruisers;Advanced Battlecruisers;;;;;;;;;;;;;x
advanced_battlecruisers_desc;In the immediate aftermath of the First World War, many battlecruisers under construction were scrapped or converted to aircraft cruisers. Those battlecruisers that remained were refitted with improved main armament and enhanced armour protection.;;;;;;;;;;;;;x
advanced_battleships;Advanced Battleships;;;;;;;;;;;;;x
advanced_battleships_desc;The experiences of the First World War lead to a series of design improvements for battleships, including a more effective use of armour protection to defend against plunging fire, improved protection against torpedoes, the widespread use of oil-driven propulsion, and further refinements in armament and fire control. Though few battleships were constructed in the first years after the First World War, due to economic constraints and treaty limitations, existing battleships were refitted to incorporate these advances in design.;;;;;;;;;;;;;x
advanced_cruisers;Advanced Cruisers;;;;;;;;;;;;;x
advanced_cruisers_desc;By the early 1920s cruiser design focussed on two main types: light cruisers, generally with 6-inch main armament, and heavy cruisers, generally with 8-inch main armament. Their primary roles were fleet support in combination with destroyers, defence of sea lanes, and raiding.;;;;;;;;;;;;;x
advanced_destroyers;Advanced Destroyers;;;;;;;;;;;;;x
advanced_destroyers_desc;The evolution of the submarine into a potent threat to warships and merchant ships alike resulted in the evolution of destroyers to assume the primary role for defending against them, as opposed to their former role of defending the main battle fleet from torpedo boats. Thus, the first years after the First World War saw improvements in destroyer design that aimed to enhance their ability to find and sink submarines, such as the implementation and refinement of SONAR.;;;;;;;;;;;;;x
advanced_drilling_techniques;Advanced Drilling Techniques;;;;;;;;;;;;;x
advanced_drilling_techniques_desc;New methods of pumping oil from the ground are becoming available, meaning that oil can be harvested in a far more efficient manner.;;;;;;;;;;;;;x
advanced_fire_control;Advanced Fire Control;;;;;;;;;;;;;x
advanced_fire_control_desc;Advances in main armament and warship construction resulted in capital ships with more and larger main guns, capable of firing shells over great distances. It became increasingly important to simultaneously develop advanced methods of measuring where shells landed and deriving, from these observations, accurate measurements of where the main guns should be aimed in order to achieve hits on enemy warships.;;;;;;;;;;;;;x
advanced_machining_techniques;Advanced Machinery Techniques;;;;;;;;;;;;;x
advanced_machining_techniques_desc;As our country’s familiarity with machinery production grows, so too does the development of new techniques in producing machine parts advance. Already new methods have been introduced which reduce the reliance on human labour in order to produce industrial parts.;;;;;;;;;;;;;x
advanced_metallurgy;Open-Hearth Furnace;;;;;;;;;;;;;x
advanced_metallurgy_desc;Advanced Metallurgy;;;;;;;;;;;;;x
advanced_naval_design;Advanced Naval Design;;;;;;;;;;;;;x
advanced_naval_design_desc;Advanced Naval Design;;;;;;;;;;;;;x
advanced_ore_grinding_processes;Advanced Ore-Grinding Processes;;;;;;;;;;;;;x
advanced_ore_grinding_processes_desc;This process cleaned the ore from by products that tended to defect the latter finished metal. By using this technique, the finished metal would have higher quality, durability and because of the large quantity turnover lower price.;;;;;;;;;;;;;x
advanced_ore_roasting_processes;Advanced Ore-Roasting Processes;;;;;;;;;;;;;x
advanced_ore_roasting_processes_desc;This process cleaned the ore from by products that tended to defect the latter finished metal. By using this technique, the finished metal would have higher quality, durability and because of the large quantity turnover lower price.;;;;;;;;;;;;;x
advanced_ore_smelting_processes;Advanced Ore-Smelting Processes;;;;;;;;;;;;;x
advanced_ore_smelting_processes_desc;This process cleaned the ore from by products that tended to defect the latter finished metal. By using this technique, the finished metal would have higher quality, durability and because of the large quantity turnover lower price.;;;;;;;;;;;;;x
advanced_riflemaking;Advanced Rifle-Smithing;;;;;;;;;;;;;x
advanced_riflemaking_desc;We have perfected small arms manufacturing to an artform.;;;;;;;;;;;;;x
advanced_submarines;Advanced Submarines;;;;;;;;;;;;;x
advanced_submarines_desc;The lessons learned from submarine warfare during the First World War were applied to submarine construction in the 1920s and 1930s, further enhancing the submarine as a weapon of naval warfare.;;;;;;;;;;;;;x
advanced_target_practice;Advanced Target Practice;;;;;;;;;;;;;x
advanced_target_practice_desc;Fore!;;;;;;;;;;;;;x
aerial_bacteria_and_antiseptic_principle;Aerial Bacteria And The Antiseptic Principle;;;;;;;;;;;;;x
aerial_bacteria_and_antiseptic_principle_desc;The discovery of aerial bacteria and the development of antiseptics revolutionized life for humanity. No longer open wounds meant amputation or death, but infections even fevers could be cured with medicine.;;;;;;;;;;;;;x
aerial_support;Aerial Support;;;;;;;;;;;;;x
aerial_support_desc;The use of aircraft in the close air support of ground forces dates back to World War I, the first significant use of aerial units in warfare. Air warfare, and indeed aviation itself, was still in its infancy—and the direct effect of rifle calibre machine guns and light bombs of World War I aircraft was very limited compared with the power of a World War II fighter bomber, but close support aircraft still had a powerful psychological impact.;;;;;;;;;;;;;x
