CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
anarchist_rebels_army;Anarchist Revolutionaries;;;;;;;;;;;;;x
anarchist_rebels_desc;Anarchists want to remove any form of government.;;;;;;;;;;;;;x
anarchist_rebels_name;Anarchists;;;;;;;;;;;;;x
anarchist_rebels_title;Syndicalists;;;;;;;;;;;;;x
anarcho_liberal_rebels_army;$COUNTRY_ADJ$ Citizen Guard;Garde citoyenne $COUNTRY_ADJ$;$COUNTRY_ADJ$ Bürgerwache;;;;;;;;;;;x
anarcho_liberal_rebels_desc;The Citizen Guard are militant liberals who have risen up in rebellion against the, real or perceived, oppressive practices of the government and the state apparatus, seeking to protect their personal liberty whatever the cost. Fighting against the tyrannical state, these revolutionaries consider themselves freedom-fighters in the true sense of the word.;;Die Bürgerwache sind militante Liberale, die sich in offener Rebellion gegen die—echten oder angenommenen—unterdrückenden Praktiken der Regierung und des Staatsapparats befinden und danach streben, ihre persönliche Freiheit um jeden Preis zu verteidigen. Diese Revolutionäre sehen sich im Kampf gegen den Tyrannen als Freiheitskämpfer im eigentlichen Sinne.;;;;;;;;;;;x
anarcho_liberal_rebels_name;$COUNTRY$ Libertarians;$COUNTRY$—Anarcho-libéraux;$COUNTRY$-Radicale;;;;;;;;;;;x
anarcho_liberal_rebels_title;Libertarian;Anarcho-libéraux;Libertarian;;;;;;;;;;;x
apache_army;Apache War Party;Expédition guerrière Apache;Apache-Kriegspartei;;;;;;;;;;;x
apache_desc;The Apache rise to defend their ancestral lands from the encroachment of American settlers and soldiers. They are angered by broken promises from Washington and will fight fiercely to halt the colonization of the West.;;Die Apachen erheben sich und verteidigen das Land ihrer Vorfahren gegen das Vordringen der amerikanischen Siedler und Soldaten. Die gebrochenen Versprechen Washingtons befeuern ihren Zorn und sie werden entschlossen kämpfen, um die Kolonisation des Westens aufzuhalten.;;;;;;;;;;;x
apache_name;Apache;Apache;Apache;;;;;;;;;;;x
apache_raiders;Apache Raiders;;;;;;;;;;;;;x
apache_title;Apache;Apache;Apache;;;;;;;;;;;x
blanco_rebels_army;Blanco Rebels;;;;;;;;;;;;;x
blanco_rebels_desc;Blancos seek to topple the Colorado government and install their own party in power.;;;;;;;;;;;;;x
blanco_rebels_name;Blanco Rebels;;;;;;;;;;;;;x
blanco_rebels_title;Blancos;;;;;;;;;;;;;x
boxer_rebels_army;Boxer Rebels;Rebelles Boxeurs;Boxer-Rebellen;;;;;;;;;;;x
boxer_rebels_desc;The Righteous Society of Harmonious Fists, known among westerners as ‘Boxers’, is a Chinese movement dedicated to the restoration of Chinese independence from the, real or perceived, incursions foreign imperialism. Shunning no means in accomplishing their goal of a ‘purer’ China, this traditionalist movement will-under the slogan ‘Support the Qing, destroy the foreign’-massacre Europeans and Chinese Christian converts at any chance they get.;"Les Poings de la justice et de la concorde (ou Boxeurs) est un mouvement chinois luttant pour permettre à la Chine de regagner l'indépendance perdue face aux incursions de l'impérialisme étranger. Ne reculant devant rien pour ""purifier"" la Chine, ce mouvement traditionnaliste saisira la moindre occasion pour massacrer des Européens et des Chinois convertis au christianisme (en appelant à détruire les étrangers pour soutenir les Qing).";Die 'In Rechtschaffenheit vereinigten Faustkämpfer', unter Westlern als 'Boxer' bekannt, sind eine chinesische Bewegung, die sich für die Restaurierung der chinesischen Unabhängigkeit angesichts der vermeintlichen Übergriffe des ausländischen Imperialismus einsetzt. Diese traditionelle Bewegung wird unter dem Slogan 'Unterstützt die Qing, vernichtet die Ausländer' vor keinem Mittel zurückschrecken und Europäer wie chinesische Christen bei jeder sich bietenden Gelegenheit massakrieren.;;;;;;;;;;;x
boxer_rebels_name;Boxer Rebels;Rebelles Boxeurs;Boxer-Rebellen;;;;;;;;;;;x
boxer_rebels_title;Boxers;Boxeurs;Boxer;;;;;;;;;;;x
carlist_rebels_army;Carlist Requetés;Requetés carlistes;Karlistische Requetés;;;;;;;;;;;x
