agrarian_reform_communist_title;Begin the Agrarian Land Reform;L'Frenchie faggy;Krautfest!!!;;;;;;;;;;;;x;;;;;;;;;;;;;;
agrarian_reform_communist_desc;We are fifty or a hundred years behind the rest of the world. We must make up for this in ten.;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
agrarian_reform_beginning;The Agrarian Reform has begun!;Faggots are french;Mein Kampf: by /pol/;;;;;;;;;;;;x;;;;;;;;;;;;;;
industrialization_communist_title;Start the industrialization of the oppressed!;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
industrialization_communist_desc;Fuel the fires of industry! The might of the proletariat shall be forged in the steel flames of our future!;?Oui?;Achtung! Sozialistiche WELTREPUBLIK;;;;;;;;;;;;x;;;;;;;;;;;;;;
industrial_reform;Industrial Reform for the proletariat!;Munch munch is a pussy for speaking French;Untermenschen!;;;;;;;;;;;;x;;;;;;;;;;;;;;
communist_propaganda_title;Forge the flames of Marx;Slop;bub;;;;;;;;;;;;x;;;;;;;;;;;;;;
communist_propaganda_desc;Build the minds of our youth!;fdd;ddf;;;;;;;;;;;;x;;;;;;;;;;;;;;
remove_fifth_pillar_title;Crush the Fifth Collumn of resistance!;FUCKFRANCE;SomesomethingPolandinvasion;;;;;;;;;;;;x;;;;;;;;;;;;;;
remove_fifth_pillar_desc;The opponents of the state have bade their time to long--they must be crushed!;Du;DU;;;;;;;;;;;;x;;;;;;;;;;;;;;
mass_line;Mass Line Thought;Ddo;Fuck the chinks;;;;;;;;;;;;x;;;;;;;;;;;;;;
AUS_communist_2;Deutschen Sozialitszche Weltrepublik Partei;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
post_revolt_bureau;Investable Bureaucrats;d;d;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
5yp_industry;Five Year Plan: Industry;Ducks;DUDU;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
5yp_army;Five Year Plan: Army;DuckDUckGOOoseE!?;SS;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
5yp_rank;Five Year Plan: Rank;d;dd;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
kill_the_commies_title;Kill the Communist agitators;BloodyWeek;SpartakistsInVain;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
kill_the_commies_desc;We must slay these agitators and operators of disorder!;Fuck;Jews(?);;;;;;;;;;;;;;x;;;;;;;;;;;;;;
chart_our_own_course_title;Chart our own course!;D;dd;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
chart_our_own_course_desc;We must forge our own revolution!;d;d;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
rightunify;The Unified Right!;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
therightstrikes1;The Right has Struck!;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
therightstrikes2;The Right has Struck against us!;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
strikeback;The Red Terror!;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
clerksresist;Counter-Revolution: Clerks;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
bureaucratsresist;Counter-Revolution: Bureaucrats!;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
bureaucratsresist2;Bureaucratic Disorder!;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
peasantryresist;The Peasants Resist!;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
clerksresist_desc;Clerks have locked down stores and banks, and keep the worker in poverty!;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
bureaucratsresist_desc;Bureaucrats have stolen vital papers, burned logs, and hidden vital information while they hide from duty!;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
peasantryresist;The various Counter-Revolutionary forces have blinded the peasants, who now work against us and the revolution!;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
bureaucratsresist2_desc;The bureaucracy is in revolutionary shambles!;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
