##################################################;;;;;;;;;;;;;;x;;;;
# Ideologies;;;;;;;;;;;;;;x;;;;
##################################################;;;;;;;;;;;;;;x;;;;
anarchist;Anarchist;;;;;;;;;;;;;x;;;;
communist;Communists;;;;;;;;;;;;;x;;;;
revolutionary_socialist;Revolutionary Socialist;;;;;;;;;;;;;x;;;;
socialist;Socialist;;;;;;;;;;;;;x;;;;
social_democrat;Social Democrat;;;;;;;;;;;;;x;;;;
anarcho_liberal;Radical;;;;;;;;;;;;;x;;;;
liberal;Liberal;;;;;;;;;;;;;x;;;;
liberal_conservative;Centrist;;;;;;;;;;;;;x;;;;
conservative;Conservative;;;;;;;;;;;;;x;;;;
reactionary;Reactionary;;;;;;;;;;;;;x;;;;
national_syndicalist;National Populist;;;;;;;;;;;;;x;;;;
fascist;Fascist;;;;;;;;;;;;;x;;;;
ethnic_nationalist;Ethnic Nationalist;;;;;;;;;;;;;x;;;;
##################################################;;;;;;;;;;;;;;x;;;;
# Coalitions;;;;;;;;;;;;;;x;;;;
##################################################;;;;;;;;;;;;;;x;;;;
anarchist_group;Anarchist Federations & Trade Unions;;;;;;;;;;;;;x
communist_group;Far-Left Parties;;;;;;;;;;;;;x
liberal_group;Liberal Parties;;;;;;;;;;;;;x
conservative_group;Conservative Parties;;;;;;;;;;;;;x
reactionary_group;Reactionary Parties;;;;;;;;;;;;;x
fascist_group;Nationalist & Fascist Parties;;;;;;;;;;;;;x
