;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;;
firepower_doctrine;Firepower Doctrine;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
firepower_doctrine_desc;A doctrine of warfare that takes advantage of new types of weapons, and the ability to overwhelm an enemy with superior firepower.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
superior_mobility_doctrine;Superior Mobility Doctrine;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
superior_mobility_doctrine_desc;No longer are armies reliant on horses to provide greater mobility. The invention of tanks and motorized infantry means an army's ability to outflank the enemy has greatly increased. Warfare is about to be changed forever.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
motorised_infantry;Motorized Infantry;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
motorised_infantry_desc;Motorising infantry is the first stage towards the mechanisation of an army. Civilian trucks are readily adaptable to military uses of transporting soldiers, towing guns, and carrying equipment and supplies. This greatly increases the strategic mobility of infantry units, which would otherwise rely on marches or railroads.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
motorised_infantry_doctrine;Motorized Infantry Doctrine;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
motorised_infantry_doctrine_desc;Supplying units of infantry with vehicles that could speedily transport them from one war zone to the next is the first step in the evolution of a truly modern armed forces.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
heavy_support_doctrine;Heavy Support Doctrine;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
heavy_support_doctrine_desc;The addition of heavy artillery to our arsenal of weaponry means changing the way we provide attrition in war.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
siege_doctrine;Siege Doctrine;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
siege_doctrine_desc;Methods of improving fortifications have improved rapidly since the days of castles and forts, thus the way we lay siege must also change.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
grand_battle_plan_doctrine;Grand Battle Plan Doctrine;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
grand_battle_plan_doctrine_desc;The traditional ways of planning our battles has changed, primarily because the old ways of thinking no longer apply. Our generals must remain up-to-date, or all our advanced technology will be useless.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
superior_firepower_doctrine;Superior Firepower Doctrine;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
superior_firepower_doctrine_desc;As our weapons continue to advance in strength and the ability to inflict damage, so too must our ability to take those changes into account. We must develop new doctines of warfare to compensate not only for our superior firepower, but for that of other nations.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
human_wave_doctrine;Human Wave Doctrine;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
human_wave_doctrine_desc;Not every nation has the ability to field mass amounts of soldiers, poorly-equipped or no, but those that are must learn to take advantage of the 'human wave' that results. Even the most advanced defenders cannot endure an assault that simply never ends.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
spearhead_doctrine;Spearhead Doctrine;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
spearhead_doctrine_desc;The increasing mobility of our armed forces means the development of a 'spearhead' maneuver which allows us to thrust our forces past the enemy's front lines, allowing them to flank and surround enemy forces before they're even aware what's happened. This is the future of armed combat.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
iron_small_arms_production;Iron Small Arms Production;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
iron_small_arms_production_desc;We have developed means of producing new firearms. These should be communicated to our factories, so they may be mass-produced.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
steel_small_arms_production;Steel Small Arms Production;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
steel_small_arms_production_desc;We have developed means of producing new firearms. These should be communicated to our factories, so they may be mass-produced.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
bronze_artillery_production;Bronze Artillery Production;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
bronze_artillery_production_desc;We have advanced our methods of producing artillery. These must be communicated to our factories,so modern artillery may be mass-produced for our armies.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
carronade;Carronade;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
carronade_desc;The carronade was a short smoothbore,cast iron cannon, It was used from the 1770s to the 1850s. Its main function was to serve as a powerful, short-range anti-ship and anti-crew weapon. While considered very successful early on, carronades eventually disappeared as long-range naval artillery led to fewer and fewer close-range engagements.;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
iron_artillery_production;Iron Artillery Production;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
iron_artillery_production_desc;We have advanced our methods of producing artillery. These must be communicated to our factories,so modern artillery may be mass-produced for our armies.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
twelve_pounder;Twelve Pounder;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
twelve_pounder_desc;The twelve-pound cannon is a cannon that fires twelve-pound projectiles from its barrel, as well as grapeshot,chainshot, shrapnel, and later shells and canister shot.;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
rifled_barrels;Rifled Barrels;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
rifled_barrels_desc;Rifling is the process of making helical grooves in the barrel of a gun or firearm, which imparts a spin to a projectile around its long axis. This spin serves to gyroscopically stabilize the projectile, improving its aerodynamic stability and accuracy.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
76_millimeter_gun;76 Millimeter Gun;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
