CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
EVTDESC80000;The Russians have demanded that we acquiesce to their theft of our rightful territory. This is outrageous, but we may have no recourse but to accept their demands. If we do, they shall help ensure our sovereignty vis-à-vis the other Europeans. Also, we may be incapable of defeating them if the Russians decide to resolve this issue by force.;Les Russes exigent que nous acquiescions au vol de notre territoire légitime. C’est un outrage, mais nous n’avons pas d’autre choix que de céder à leurs exigences. Si nous cédons, nous assurerons par là notre souveraineté à l’égard des autres européens. De plus, nous serions dans l’incapacité de vaincre si les Russes décidait de résoudre la situation par la force.;Die Russen haben verlangt, dass wir ihren Diebstahl unseres rechtmäßigen Territoriums anerkennen. Dies ist unerhört, aber uns wird vermutlich keine andere Wahl bleiben, als ihren Forderungen zu entsprechen. Falls wir das tun, werden sie uns bei der Behauptung unserer Souveränität den anderen Europäern gegenüber helfen. Sollten sich die Russen entscheiden, diesen Disput mit Waffengewalt zu lösen, würden wir sie vermutlich sowieso nicht schlagen können.;;;;;;;;;;;x
EVTNAME80000;The Convention of Peking;La convention de Pékin;Die Pekinger Konvention;;;;;;;;;;;x
EVTOPTA80000;We have no choice, sign their treaty.;Nous n’avons pas d’autre choix que de signer le traité.;Wir haben keine Wahl. Vertrag unterzeichnen!;;;;;;;;;;;x
EVTOPTB80000;The Czar can go to hell!;Que le tsar aille au diable!;Der Zar soll in der Hölle schmoren!;;;;;;;;;;;x
EVTDESC80001;The ungrateful Chinese would rather watch their cities burn than agree to our rightful demands. We may just have to accommodate the desires of our wayward Asiatic neighbours.;Les Chinois ingrats préfèrent voir leurs villes brûler que d’accéder à nos demandes légitimes. Peut-être devrons-nous nous accommoder des désirs de nos voisins asiatiques butés.;Die undankbaren Chinesen möchten lieber ihre Städte in Flammen sehen, als unseren rechtmäßigen Forderungen zu entsprechen. Wir müssen den Wünschen unserer widerspenstigen asiatischen Nachbarn wohl nachkommen …;;;;;;;;;;;x
EVTNAME80001;China rejects the Convention;La Chine rejette la convention;China lehnt die Konvention ab;;;;;;;;;;;x
EVTOPTA80001;Where once the Russian flag is raised, it must not be lowered!;Là où a été hissé le drapeau russe, il ne peut être amené!;Wo einmal die russische Flagge gehisst wurde, darf sie nicht mehr verschwinden!;;;;;;;;;;;x
EVTDESC80101;$FROMCOUNTRY$ has accepted our proposal. Their border with Russia has been adjusted and the treaty signed.;;;;;;;;;;;;;x
EVTNAME80101;$FROMCOUNTRY$ Accepts;;;;;;;;;;;;;x
EVTOPTA80101;Good news!;;;;;;;;;;;;;x
EVTDESC80102;$FROMCOUNTRY$ has foolishly refused our claims and threatened to execute $COUNTRY_ADJ$ diplomats. An outrage!;;;;;;;;;;;;;x
EVTNAME80102;$FROMCOUNTRY$ Defies Us!;;;;;;;;;;;;;x
EVTOPTA80102;This cannot stand.;;;;;;;;;;;;;x
EVTDESC80103;The Amban, our Imperial representative from Peking and effectively the governor of $COUNTRY$, has informed our government that $FROMCOUNTRY$ has concluded a treaty with Russia-a treaty that includes portions of $COUNTRY_ADJ$ territory, with now must be handed over without comment. Should we refuse, we face war with $FROMCOUNTRY$ and Russia both.;;;;;;;;;;;;;x
EVTNAME80103;The Amban’s Demand;;;;;;;;;;;;;x
EVTOPTA80103;We have no choice but to comply.;;;;;;;;;;;;;x
EVTOPTB80103;Never! They must take it from us!;;;;;;;;;;;;;x
EVTDESC80104;$FROMCOUNTRY$ has refused to surrender its territory to Russia. They have ejected our Imperial governor and armed their soldiers against us!;;;;;;;;;;;;;x
EVTNAME80104;$FROMCOUNTRY$ Defies the Emperor!;;;;;;;;;;;;;x
EVTOPTA80104;This cannot be permitted!;;;;;;;;;;;;;x
EVTDESC80110;A diplomat from Russia has arrived in $COUNTRY$ with an infuriating demand: they wish to readjust the borders on our north-eastern frontier, agreed upon almost two hundred years ago. They wish access to a southern port upon the Sea of Japan, meaning all of Haishenwai would be turned over to them. Any $FROMCOUNTRY_ADJ$-claimed territory would be handed over by us and our vassals. This is surely a wicked threat, capitalizing on our current perceived weakness. Accepting it will also mean any of our vassals in the region will have to be integrated back into our country, to avoid this situation in the future.;;;;;;;;;;;;;x
EVTNAME80110;The Convention of Peking;;;;;;;;;;;;;x
EVTOPTA80110;We have no choice but to accept.;;;;;;;;;;;;;x
EVTOPTB80110;Reject their outrageous demands.;;;;;;;;;;;;;x
EVTDESC80111;Now that the rebellion in distant Xinjiang is finished, there appears to be some question as to who has ownership over the Dungan basin. The western half of the basin, in Qaratal, is occupied by the wicked Russians… but they wish control over the eastern half in Ili, as well. Should we surrender the basin peacefully, or fight for $COUNTRY_ADJ$ honour?;;;;;;;;;;;;;x
EVTNAME80111;The Dungan Basin;;;;;;;;;;;;;x
EVTDESC80115;$COUNTRY$ is a nation hovering between two powers that could crush us without thought. A Russian diplomat has arrived in $CAPITAL$, offering us protection in return for our fealty. Considering the alternative is possible invasion by the Chinese, some think we should consider it.;;;;;;;;;;;;;x
EVTNAME80115;The Russian Protectorate;;;;;;;;;;;;;x
EVTOPTA80115;We accept their offer.;;;;;;;;;;;;;x
EVTOPTB80115;$COUNTRY$ shall not submit!;;;;;;;;;;;;;x
EVTDESC80116;$FROMCOUNTRY$ has foolishly refused kind offer of protection.;;;;;;;;;;;;;x
EVTNAME80116;$FROMCOUNTRY$ Has Refused;;;;;;;;;;;;;x
EVTOPTA80116;So be it.;;;;;;;;;;;;;x
EVTDESC80120;Though tolerant of religious practices, the Hui Muslims in $PROVINCENAME$ are resentful of discrimination by the Qing government. Unrest in the province has stirred up anti-Manchu sentiment, even among non-Muslims. The violence is threatening to spread throughout all of $STATENAME$.;;;;;;;;;;;;;x
EVTNAME80120;Hui Unrest in $STATENAME$;;;;;;;;;;;;;x
EVTOPTA80120;Send in troops to quell the violence.;;;;;;;;;;;;;x
EVTOPTB80120;We will tolerate this for now.;;;;;;;;;;;;;x
EVTDESC80121;Have Peace with Han Chinese! \n Down with Qing court! \n \n A rebellion has erupted in the southern province of Yunnan, led by a rebel named Du Wenxiu. Foreign ambassadors are calling this event the ‘Panthay Rebellion’, a revolt from the Muslims in Yunnan. The man’s forces have already captured Dali and driven out the Qing governor, forcing our government to deal with the matter directly.;;;;;;;;;;;;;x
EVTNAME80121;Panthay Rebellion;;;;;;;;;;;;;x
EVTOPTA80121;The rebels must be destroyed!;;;;;;;;;;;;;x
EVTDESC80122;With Qing forces marching into Kunming, the Panthay Rebellion is officially over. The rebels and their leaders have been routed, and already measures are being taken to ensure there are no further disturbances.;;;;;;;;;;;;;x
EVTNAME80122;Panthay Rebellion Crushed;;;;;;;;;;;;;x
EVTDESC80123;We have driven the hated Manchu from Yunnan. At last, victory is ours!;;;;;;;;;;;;;x
EVTNAME80123;Panthay Rebellion Victorious!;;;;;;;;;;;;;x
EVTOPTA80123;But for how long?;;;;;;;;;;;;;x
EVTDESC80125;With Muslim-led unrest existing throughout the province of Xinjiang, a Tajik adventurer by the name of Yaqub Beg has led rebels to seize the capital of Kashgar and has driven Qing governors away. The situation in the frontier appears to be out of hand, with these Muslims having declared an independent state and full Jihad against the Emperor. This rebellion against our rule is being referred to as the Dungan Revolt by the Amban of Xinjiang.;;;;;;;;;;;;;x
EVTNAME80125;Dungan Revolt;;;;;;;;;;;;;x
EVTOPTA80125;The rebels must be destroyed!;;;;;;;;;;;;;x
EVTOPTB80125;Out with the Manchu!;;;;;;;;;;;;;x
EVTDESC80126;With Qing forces marching into Kashgar, the Dungan Revolt is officially over. The rebels and their leaders have been routed, and already measures are being taken to ensure there are no further disturbances.;;;;;;;;;;;;;x
EVTNAME80126;Dungan Revolt Crushed;;;;;;;;;;;;;x
EVTOPTA80126;Victory is ours!;;;;;;;;;;;;;x
EVTDESC80127;We have driven the hated Manchu from Kashgaria. At last, victory is ours!;;;;;;;;;;;;;x
EVTNAME80127;Dungan Revolt Victorious!;;;;;;;;;;;;;x
EVTDESC80128;After rival Sufi Naqshbandi spiritual orders had fought and accused each other of various misdeeds, instead of continuing the violence they decided to use $COUNTRY$ legal system to solve the dispute. They filed opposing lawsuits through the office of the Xining Prefect and the judge in the case decided not to issue a ruling on which group was superior to the other in matters of all Islamic affairs, and urged them to behave. As a result, both groups resorted to violence. A taotai was sent by $COUNTRY$ to crush the perpetrators of the violence, which ended in several deaths. This led the involved parties in the dispute to rebel against $COUNTRY$. In Xunhua, Qinghai, masses of Hui, Dongxiang, Bao’an, and Salars were incited to revolt against the Qing by the Multi-coloured Mosque leader Ma Yonglin.;;;;;;;;;;;;;x
EVTNAME80128;Dungan Revolt in Qinghai;;;;;;;;;;;;;x
EVTOPTA80128;Crush the rebels!;;;;;;;;;;;;;x
EVTDESC85000;There has been increasing violence against French missionaries in Korea, recently culminating in the execution of Bishop Siméon-François Berneux-head of the fledgling Korean Catholic Church-and the subsequent killing of almost all priests in the country as well as thousands of Catholic Koreans. One surviving priest fled to the Qing Empire, relaying his tale to a French war vessel which then launched a punitive expedition with the support of the French consul in Beijing. There is a call for France to go to war against Korea-but this is complicated by the fact that Korea is a tributary state of the Qing. If we press the matter, we risk war with the Koreans’ master, but if we back down it will be a great blow to our prestige.;;;;;;;;;;;;;x
EVTNAME85000;Catholics Slain in Korea;;;;;;;;;;;;;x
EVTOPTA85000;This cannot go unpunished.;;;;;;;;;;;;;x
EVTOPTB85000;We cannot afford to escalate the matter.;;;;;;;;;;;;;x
EVTDESC85001;The foolish Koreans have begun executing Catholics within their territory, and this has included a number of $FROMCOUNTRY_ADJ$ missionaries-and now the French have demanded retribution. The problem, naturally, is that Korea is a Qing tributary. We are obligated to come to the Koreans’ defence, even if this means war with $FROMCOUNTRY$. Of course, there are those who say the Koreans have brought this on themselves. We would lose little sleep if we left them to their own devices, and earn favour with the $FROMCOUNTRY_ADJ$ government.;;;;;;;;;;;;;x
EVTNAME85001;$FROMCOUNTRY$ Demands Retribution;;;;;;;;;;;;;x
EVTOPTA85001;The Koreans are on their own.;;;;;;;;;;;;;x
EVTOPTB85001;We will not abandon the Koreans!;;;;;;;;;;;;;x
EVTDESC85002;One of our rulers has executed a group of French missionaries, resulting in French outrage and a punitive expedition against $COUNTRY$-which should have brought our Qing allies to our defence. Frustratingly, and perhaps not unexpectedly, the Qing have responded by severing their ties to $COUNTRY$ and abandoning us to our fate. War with the French seems likely.;;;;;;;;;;;;;x
EVTNAME85002;$FROMCOUNTRY$ Abandons $COUNTRY$;;;;;;;;;;;;;x
EVTOPTA85002;Outrageous!;;;;;;;;;;;;;x
EVTOPTB85002;We must maintain good relations with the Qing, no matter what.;;;;;;;;;;;;;x
EVTDESC85003;Not unexpectedly, $FROMCOUNTRY$ has agreed to abandon Korea to its fate in order to curry favour with us.;;;;;;;;;;;;;x
EVTNAME85003;$FROMCOUNTRY$ Abandons Korea;;;;;;;;;;;;;x
EVTOPTA85003;Excellent news!;;;;;;;;;;;;;x
EVTDESC85004;One of our rulers has executed a group of French missionaries, resulting in French outrage and a punitive expedition against $COUNTRY$-which has brought our Qing allies to bear. Instead of abandoning us, they have threatened war with the French should they intrude on our sovereignty. This may mean war with the French, but at least we know our allies remain strong.;;;;;;;;;;;;;x
EVTNAME85004;$FROMCOUNTRY$ Will Defend $COUNTRY$;;;;;;;;;;;;;x
EVTOPTA85004;That is a relief.;;;;;;;;;;;;;x
EVTDESC85005;Negotiations with the $FROMCOUNTRY_ADJ$ have not gone well. They are determined to protect their Korean vassals, even if it means war with France.;;;;;;;;;;;;;x
EVTNAME85005;$FROMCOUNTRY$ Will Defend Korea;;;;;;;;;;;;;x
EVTOPTA85005;Then war it is!;;;;;;;;;;;;;x
EVTOPTB85005;We will not push the matter further.;;;;;;;;;;;;;x
EVTDESC85010;A $COUNTRY_ADJ$ vessel, surveying the Korean coastline and damaged by a storm, was drawing near Ganghwa Island in search of safe harbour when it was fired on by the coastal Korean fortress. In a fury, our ship returned fire and then landed a party to battle the Koreans on land. After victory, they returned home-but word of the assault has spread. This is yet another example of Korea flaunting its disrespect for $COUNTRY_ADJ$ authority. Many within the government are suggesting we demand not only an apology, but force a treaty upon the Koreans which will see their nation forced to open itself to our influence.;;;;;;;;;;;;;x
EVTNAME85010;The Ganghwa Incident;;;;;;;;;;;;;x
EVTOPTA85010;Demand an apology as well as the treaty.;;;;;;;;;;;;;x
EVTOPTB85010;This is not in our interest.;;;;;;;;;;;;;x
