CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
EVTDESC100018;A nationalist diplomat going by the name of Hassan Taqizadeh has opened a new publication with friends of his to support our cause to modernize the country. It is called ‘Kaveh’. This journal emphasizes the need for national independence, and internal reforms, especially secular and educational ones. Among Kaveh’s topics are public education, equality for women, the need for a strong central government and to control the tribes, and advocacy of sports and more translations from Western languages. This seems like a good initiative but could get out of hand. What should we do?;;;;;;;;;;;;;x
EVTNAME100018;Kaveh;;;;;;;;;;;;;x
EVTOPTA100018;They’ll write what we tell them to write.;;;;;;;;;;;;;x
EVTOPTB100018;Just keep an eye on it.;;;;;;;;;;;;;x
EVTOPTC100018;Freedom is the heart of a great country.;;;;;;;;;;;;;x
EVTDESC100019;$FROMCOUNTRY_ADJ$ envoys have arrived in $CAPITAL$ with a message from the $FROMCOUNTRY_ADJ$ government. They demand that we surrender Geok Tepe, Ashkhabad and that we forfeit our claims over Turkestan. They demand immediate and irrevocable recognition of $FROMCOUNTRY_ADJ$ sovereignty over Turkmenia and all of Turkestan. The envoys tell us of the existence of a column of $FROMCOUNTRY_ADJ$ soldiers advancing towards Ashkhabad to enforce these demands and they threaten us with war lest we accept their conditions.;;;;;;;;;;;;;x
EVTNAME100019;The $FROMCOUNTRY_ADJ$ Column;;;;;;;;;;;;;x
EVTOPTA100019;We cannot risk war.;;;;;;;;;;;;;x
EVTOPTB100019;Decapitate the envoys and mount their heads at the gates of Ashkhabad.;;;;;;;;;;;;;x
EVTDESC101532;In 1837, the so-called Ruthenian Triad led by Markiyan Shashkevych, published ‘The Mermaid of the Dniester’, a collection of folksongs and other materials in the common Ruthenian tongue. Alarmed by such democratism, the authorities and the Greek Catholic Metropolitan sought to ban the book.;;;;;;;;;;;;;x
EVTNAME101532;The Ruthenian Triad Publishes ‘The Mermaid of the Dniester’;;;;;;;;;;;;;x
EVTOPTA101532;Ban the book!;;;;;;;;;;;;;x
EVTOPTB101532;Let them have their book;;;;;;;;;;;;;x
EVTDESC101533;A prominent Hungarian liberal, Lajos Kossuth, has finally been released from jail, along with other notable liberals. Since his release he has become something of a national hero to many Hungarians, and he has continued his opposition towards our government. As the editor of the Pesti Hirlap he has talked about the great economic and societal problems within Hungary, advocated full national autonomy within the Habsburg Empire, the immediate emancipation of the serfs-with no compensation to aristocrats-and an end of noble privileges. He has also promoted industrialization by founding the Gyáralapito és Kereskedelmi Társaság (Factory-Founding and Commercial Society).;;;;;;;;;;;;;x
EVTNAME101533;Lajos Kossuth Released;;;;;;;;;;;;;x
EVTOPTA101533;Another mouthpiece for the nationalists…;;;;;;;;;;;;;x
EVTDESC101534;We have tried to put an end to Kossuth’s hostility to our rule for some time now. His criticism of our rule in Hungary is highly influential and therefore highly damaging for us. His chief political weapon is a liberal rag, the Pesti Hirlap, in which he has been able to express his radical views. Perhaps if we were to purchase the newspaper, we could put an end to Kossuth’s ramblings?;;;;;;;;;;;;;x
EVTNAME101534;End the Publication of the Pesti Hirlap?;;;;;;;;;;;;;x
EVTOPTA101534;We must stop this anti-government drivel!;;;;;;;;;;;;;x
EVTOPTB101534;Let it continue to circulate;;;;;;;;;;;;;x
